# Optical emission spectrum of Ce:GdLiF4 (Ce:GdLiF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by GA on 15 August 1994 and was 
# annotated on  4 April 1995.  The sample name was "" was a 9.990
# long piece of :.  
# The incident light was unpolarized.
#
# Spectra were recorded from 260nm to 499.2nm
# every 0.1nm at room temperature.  The
# excitation wavelength was unknown.
#
# SLIT WIDTH IS 1500 MICRONS, SAMPLE SHAPE IS CYLINDRICAL, C-AXIS PERP. TO LONG CYLINDER AXIS, PUMP IS ALONG A(=B AXIS & LONG AXIS) OF CRYSTAL. SAMPLE IS PLACED SUCH THAT C-AXIS IS IN THE SAME DIRECTION AS EMISSION (S-POL) DATA MISSING FROM 12 POINTS ON INPUT DATA FILE. SET MISSING DATA POINTS TO ZERO. FORMAT(1X,G15.8).
#
##Wavelength (nm)	Absorbance (/meter) 
260	0.0049954
260.1	0.0044475
260.2	0.0050398
260.3	0.0044644
260.4	0.0043666
260.5	0.0042276
260.6	0.0051756
260.7	0.0051634
260.8	0.0053264
260.9	0.0056392
261	0.0051792
261.1	0.0048721
261.2	0.0049101
261.3	0.00495
261.4	0.0055042
261.5	0.004569
261.6	0.0049725
261.7	0.0048818
261.8	0.0053196
261.9	0.0046303
262	0.0056726
262.1	0.0051755
262.2	0.0051834
262.3	0.0048787
262.4	0.0053341
262.5	0.0064906
262.6	0.0050386
262.7	0.0052925
262.8	0.0048007
262.9	0.0056792
263	0.0057693
263.1	0.0056052
263.2	0.0053625
263.3	0.0052133
263.4	0.0059092
263.5	0.0051568
263.6	0.006235
263.7	0.0059232
263.8	0.0053274
263.9	0.0051768
264	0.0057745
264.1	0.0061305
264.2	0.0053629
264.3	0.0056302
264.4	0.0053732
264.5	0.0049474
264.6	0.0054217
264.7	0.005157
264.8	0.0052319
264.9	0.005435
265	0.0060118
265.1	0.0057223
265.2	0.0061177
265.3	0.005605
265.4	0.0052321
265.5	0.0050819
265.6	0.0049611
265.7	0.0061786
265.8	0.005624
265.9	0.0059854
266	0.005243
266.1	0.0052797
266.2	0.005731
266.3	0.0055917
266.4	0.0055902
266.5	0.0050807
266.6	0.0055413
266.7	0.0053854
266.8	0.0055441
266.9	0.0054688
267	0.0053878
267.1	0.0053637
267.2	0.0057661
267.3	0.0065352
267.4	0.0055819
267.5	0.0052723
267.6	0.0055871
267.7	0.0051249
267.8	0.0057864
267.9	0.0054889
268	0.0060678
268.1	0.0050929
268.2	0.0056619
268.3	0.0054785
268.4	0.0051407
268.5	0.0049531
268.6	0.0054733
268.7	0.0046795
268.8	0.0049568
268.9	0.0057535
269	0.0052539
269.1	0.0050096
269.2	0.0051847
269.3	0.0050912
269.4	0.005187
269.5	0.0042944
269.6	0.0049831
269.7	0.0041676
269.8	0.0038199
269.9	0.0035791
270	0.0037821
270.1	0.0033914
270.2	0.0032423
270.3	0.0027801
270.4	0.0031809
270.5	0.0033301
270.6	0.0025832
270.7	0.0025175
270.8	0.0020793
270.9	0.0021984
271	0.0026628
271.1	0.0021467
271.2	0.0021911
271.3	0.0011745
271.4	0.0012577
271.5	0.0010718
271.6	0.0017883
271.7	0.0011322
271.8	0.0011053
271.9	0.00033697
272	0.00056689
272.1	0.001603
272.2	0.00065846
272.3	9.271e-05
272.4	8.8533e-05
272.5	0.00065019
272.6	0.00061955
272.7	0.00022836
272.8	0.00061532
272.9	0
273	7.5637e-05
273.1	0
273.2	0.00036873
273.3	0
273.4	0.00027079
273.5	0
273.6	0.00036092
273.7	0.00084478
273.8	0.00047411
273.9	2.0852e-05
274	0
274.1	0.00035841
274.2	0.00053914
274.3	0.0005943
274.4	0.00063514
274.5	0.0002791
274.6	0.00047633
274.7	0.00063964
274.8	0.0013714
274.9	0.00026928
275	0.00064682
275.1	0
275.2	0.00040496
275.3	0
275.4	0
275.5	0.00033034
275.6	0.000332
275.7	0
275.8	0.0009093
275.9	6.4537e-05
276	0.00058741
276.1	0
276.2	0.00033722
276.3	0.00024444
276.4	0.0016505
276.5	0.00077903
276.6	0.00072274
276.7	0.00031692
276.8	0.00065609
276.9	0.0014601
277	0.00080818
277.1	0.00083931
277.2	0.00020031
277.3	0.00058513
277.4	0.0010603
277.5	0.0011964
277.6	0.00095299
277.7	0.00027521
277.8	0.00070165
277.9	0.00062327
278	0.0012452
278.1	0.00028971
278.2	0.00036794
278.3	0
278.4	0.0002476
278.5	0.0016838
278.6	0.00040883
278.7	0.00036554
278.8	0
278.9	0
279	0.00063657
279.1	0
279.2	0.00087036
279.3	0
279.4	0.00080598
279.5	0.0002855
279.6	0.0012009
279.7	0.00025857
279.8	0.00031077
279.9	0
280	9.3146e-05
280.1	0.0017211
280.2	3.2378e-05
280.3	6.5514e-05
280.4	0.00017782
280.5	3.9976e-05
