# Optical emission spectrum of Ce:GdLiF4 (Ce:GdLiF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by GA on 15 August 1994 and was 
# annotated on  6 April 1995.  The sample name was "" was a 9.990
# long piece of :.  
# The incident light was unpolarized.
#
# Spectra were recorded from 260nm to 499.2nm
# every 0.1nm at room temperature.  The
# excitation wavelength was unknown.
#
# SLIT WIDTH IS 1500 MICRONS, SAMPLE SHAPE IS CYLINDRICAL, C-AXIS PERP. TO LONG CYLINDER AXIS, PUMP IS ALONG A(=B AXIS & LONG AXIS) OF CRYSTAL. POLARIZER IS PLACED AFTER SAMPLE PARALLEL TO THE C-AX (Pi-POL). INTENSITY MISSING FOR 9 DATA POINTS. INSERTED 0.0 FOR ALL POINTS. FORMAT(1X,G15.8).
#
##Wavelength (nm)	Absorbance (/meter) 
260	0.0012846
260.1	0.00045962
260.2	0.00054219
260.3	0.00065679
260.4	0.00094486
260.5	0.00076379
260.6	0.00091452
260.7	0.0007493
260.8	0.00074826
260.9	0.0016326
261	0.00077582
261.1	0.00068061
261.2	0.00076083
261.3	0.00087434
261.4	0.00079737
261.5	0.00025613
261.6	0.00084989
261.7	0.0009961
261.8	0.0008819
261.9	0.00074078
262	0.0013005
262.1	0.00097708
262.2	0.00052341
262.3	0.00018916
262.4	0.00055237
262.5	0
262.6	0
262.7	0.00053182
262.8	0.0004969
262.9	0.0010625
263	0.0019271
263.1	0.0010518
263.2	0.00182
263.3	0.0011685
263.4	0.0013678
263.5	0.0010952
263.6	0.0021323
263.7	0.00058104
263.8	0.0014482
263.9	0.00079865
264	0.00086997
264.1	0.0019396
264.2	0.0016565
264.3	0.00086158
264.4	0.00092111
264.5	0.0013786
264.6	0.0011096
264.7	0.00032732
264.8	0.00077097
264.9	0.00087734
265	0.0010048
265.1	0.0010933
265.2	0.0018431
265.3	0.0014316
265.4	0.001389
265.5	0.00084491
265.6	0.00086673
265.7	0.0021639
265.8	0.0018687
265.9	0.0011217
266	0.0016504
266.1	0.0016691
266.2	0.0014581
266.3	0.00080536
266.4	0.0010561
266.5	0.00041231
266.6	0.0011347
266.7	0.0007697
266.8	0.0013436
266.9	0.0011984
267	0.0014436
267.1	0.0013159
267.2	0.0013805
267.3	0.0017079
267.4	0.0015598
267.5	0.0015711
267.6	0.00081193
267.7	0.0010783
267.8	0.0014466
267.9	0.0009685
268	0.0011938
268.1	0.0010641
268.2	0.0011387
268.3	0.0013707
268.4	0.001533
268.5	0.00091731
268.6	0.0011229
268.7	0.000951
268.8	0.0011816
268.9	0.0017103
269	0.0011461
269.1	0.00081065
269.2	0.00090016
269.3	0.0011133
269.4	0.0013035
269.5	0.00092431
269.6	0.0015767
269.7	0.0011622
269.8	0.00081808
269.9	0.0011481
270	0.0017294
270.1	0.0004512
270.2	0.00099794
270.3	0.00058873
270.4	0.00061326
270.5	0.0011261
270.6	0.00026003
270.7	0
270.8	0
270.9	0
271	0.0002646
271.1	0.0003372
271.2	0.00014342
271.3	0
271.4	0
271.5	8.0401e-05
271.6	0.0014133
271.7	0
271.8	0
271.9	0
272	0
272.1	0.00017087
272.2	0
272.3	0
272.4	0
272.5	0
272.6	0
272.7	0
272.8	0
272.9	0
273	0
273.1	0
273.2	0
273.3	0
273.4	0
273.5	0
273.6	2.2228e-05
273.7	0.00058768
273.8	0
273.9	0
274	0
274.1	0
274.2	0
274.3	0
274.4	0
274.5	0
274.6	0
274.7	0
274.8	0
274.9	0
275	0
275.1	0
275.2	0
275.3	0
275.4	0
275.5	0
275.6	0
275.7	0
275.8	0
275.9	0
276	0
276.1	0
276.2	0
276.3	0
276.4	0
276.5	0
