# Optical emission spectrum of Ce:LiSrALF6 (Ce:LiSrAlF6)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by GA on 15 August 1994 and was 
# annotated on  6 April 1995.  The sample name was "" was a 9.990
# long piece of :.  
# The incident light was unpolarized.
#
# Spectra were recorded from 260nm to 399.6nm
# every 0.1nm at room temperature.  The
# excitation wavelength was unknown.
#
# SLIT WIDTH IS 1500 MICRONS, SAMPLE IS CYLINDRICAL SHAPE. C-AXIS IS CUT PERP. TO LONG AXIS OF CYLINDER. PUMP LIGHT IS ALONG A(=B & LONG AXIS ) OF CRYSTAL. POLARIZER AFTER CRYSTAL IS PLACED PARALLEL TO THE C-AXIS (P-POL). CONCENTRATION IS ATOMIC PERCENT. TEN (10) INTENSITY VALUES MISSING FROM MIDDLE OF FILE. POINTS SET TO ZERO. FORMAT(1X,G15.8).
#
##Wavelength (nm)	Absorbance (/meter) 
260	0
260.1	0
260.2	0
260.3	0
260.4	0
260.5	0
260.6	0
260.7	0
260.8	0
260.9	0
261	0
261.1	0
261.2	0
261.3	0
261.4	0
261.5	0
261.6	0
261.7	0
261.8	0
261.9	0
262	0
262.1	0
262.2	0
262.3	0
262.4	0
262.5	0
262.6	0
262.7	0
262.8	0
262.9	0
263	0
263.1	0
263.2	0
263.3	0
263.4	0
263.5	0
263.6	0
263.7	0
263.8	0
263.9	0
264	0
264.1	0
264.2	0
264.3	0
264.4	0
264.5	0
264.6	0
264.7	0
264.8	0
264.9	0
265	0
265.1	0
265.2	0
265.3	0
265.4	0.000116994047619048
265.5	0
265.6	0
265.7	0
265.8	0
265.9	0
266	0
266.1	0
266.2	0
266.3	0
266.4	0
266.5	0
266.6	0
266.7	0
266.8	0
266.9	0
267	0
267.1	0
267.2	0
267.3	0
267.4	0
267.5	0
267.6	0
267.7	0
267.8	0
267.9	0
268	0
268.1	0
268.2	0
268.3	0
268.4	0
268.5	0
268.6	0
268.7	0
268.8	0
268.9	0
269	0
269.1	0
269.2	0
269.3	0
269.4	0
269.5	0
269.6	0
269.7	0
269.8	0
269.9	0
270	0
270.1	0
270.2	0
270.3	0
270.4	0
270.5	0
270.6	0
270.7	0
270.8	0
270.9	0.000573164682539682
271	0.00220446428571429
271.1	0.00390406746031746
271.2	0.00449990079365079
271.3	0.00442460317460317
271.4	0.00326210317460317
271.5	0.00130882936507937
271.6	0
271.7	0
271.8	0.000300327380952381
271.9	0.00148105158730159
272	0.00259940476190476
272.1	0.00399394841269841
272.2	0.00431795634920635
272.3	0.00484642857142857
272.4	0.00521547619047619
272.5	0.00584742063492064
272.6	0.00620436507936508
272.7	0.00673402777777778
272.8	0.00708759920634921
272.9	0.00729474206349206
273	0.00776051587301587
273.1	0.00752529761904762
273.2	0.00731160714285714
273.3	0.00694970238095238
273.4	0.00624414682539683
273.5	0.00557410714285714
273.6	0.00479563492063492
273.7	0.00450039682539682
273.8	0.00461845238095238
273.9	0.00525952380952381
274	0.00611031746031746
274.1	0.00702599206349206
274.2	0.00763938492063492
274.3	0.00854603174603175
274.4	0.00962013888888889
274.5	0.00986190476190476
274.6	0.0112589285714286
274.7	0.0121696428571429
274.8	0.0128869047619048
274.9	0.0134503968253968
275	0.0150873015873016
275.1	0.0163134920634921
275.2	0.0180089285714286
275.3	0.0196071428571429
275.4	0.0211289682539683
275.5	0.0220992063492063
275.6	0.022906746031746
275.7	0.0238115079365079
275.8	0.0253472222222222
275.9	0.0275089285714286
276	0.0298938492063492
276.1	0.0308928571428571
276.2	0.0311875
276.3	0.0307301587301587
276.4	0.0299751984126984
276.5	0.0302152777777778
276.6	0.0327986111111111
276.7	0.036796626984127
276.8	0.0405902777777778
276.9	0.0438115079365079
277	0.0464107142857143
277.1	0.0483660714285714
277.2	0.0490744047619048
277.3	0.0512083333333333
277.4	0.0533164682539683
277.5	0.0549950396825397
277.6	0.0561865079365079
277.7	0.0569236111111111
277.8	0.0570347222222222
277.9	0.0581011904761905
278	0.0596835317460317
278.1	0.0624523809523809
278.2	0.0662916666666667
278.3	0.0696666666666667
278.4	0.0729553571428571
278.5	0.0749295634920635
278.6	0.0765496031746032
278.7	0.0792559523809524
278.8	0.0811855158730159
278.9	0.0822787698412698
279	0.0843224206349206
279.1	0.0866200396825397
279.2	0.088718253968254
279.3	0.091953373015873
279.4	0.0966676587301587
279.5	0.103482142857143
279.6	0.109513888888889
279.7	0.113303571428571
279.8	0.115287698412698
279.9	0.116458333333333
280	0.117867063492064
280.1	0.11889880952381
280.2	0.121934523809524
280.3	0.128095238095238
280.4	0.134027777777778
280.5	0.137222222222222
280.6	0.143204365079365
280.7	0.148730158730159
280.8	0.151686507936508
280.9	0.15484126984127
281	0.157837301587302
281.1	0.157152777777778
281.2	0
281.3	0
281.4	0
281.5	0
