# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LISAF (Cr:LiSrAlF6)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by DJR on 16 October 1994 and was 
# annotated on 16 October 1994.  The sample name was "" was a 2.1400
# long piece of :.   
# The incident light had P-polarization.
#
# Spectra were recorded from 300 to 900nm
# every 1nm at room temperature.
#
# FILE NAME ON PC = lisaf2.dx NO_POINTS = 601. pts DATA_INTV = .001000 µm MIN_LAMBDA = .300000 µm MIN_DATA = .15920 MAX_LAMBDA = .900000 µm MAX_DATA = .92930 SCANSPEED = 60.000000 nm/min SLITWIDTH= 1.00000 nm RESP TIME = .5 sec SENSITIVITY = 2 DATE=94/10/16 vertical polorization No correction for index since index for LiSAF not in table. Following corrections made using the PLOT program: C 1; M(900.nM,0.9293) R; M(350.nM,0.8009 L; S M; T1; U; W.
#
##Wavelength (nm)	Absorbance (/meter) 
300	4571
301	3862
302	3496
303	2983
304	2615
305	2218
306	1908
307	1565
308	1359
309	1042
310	755
311	608
312	450
313	490
314	298
315	134
316	8
317	1
318	1
319	414
320	988
321	943
322	869
323	767
324	739
325	695
326	644
327	583
328	578
329	548
330	526
331	516
332	466
333	414
334	429
335	390
336	375
337	328
338	362
339	316
340	331
341	329
342	299
343	316
344	303
345	310
346	261
347	270
348	251
349	263
350	275
351	224
352	280
353	289
354	276
355	296
356	311
357	289
358	304
359	321
360	405
361	442
362	476
363	482
364	572
365	640
366	694
367	678
368	847
369	955
370	1018
371	1093
372	1271
373	1427
374	1561
375	1704
376	1969
377	2235
378	2455
379	2631
380	2892
381	3213
382	3540
383	3806
384	4146
385	4554
386	5030
387	5445
388	5853
389	6340
390	6875
391	7458
392	7974
393	8559
394	9179
395	9910
396	10592
397	11228
398	11947
399	12734
400	13520
401	14335
402	15137
403	15920
404	16841
405	17736
406	18612
407	19478
408	20345
409	21269
410	22247
411	23094
412	23981
413	24889
414	25792
415	26698
416	27481
417	28312
418	29105
419	29917
420	30661
421	31375
422	31985
423	32612
424	33209
425	33772
426	34259
427	34653
428	34948
429	35207
430	35414
431	35624
432	35726
433	35800
434	35738
435	35635
436	35560
437	35337
438	35063
439	34702
440	34334
441	33997
442	33542
443	33060
444	32565
445	32128
446	31620
447	31125
448	30651
449	30145
450	29569
451	29018
452	28393
453	27796
454	27223
455	26603
456	26071
457	25534
458	24911
459	24241
460	23568
461	22878
462	22151
463	21392
464	20591
465	19785
466	19003
467	18279
468	17537
469	16802
470	15993
471	15246
472	14502
473	13804
474	13132
475	12476
476	11826
477	11165
478	10523
479	9888
480	9319
481	8757
482	8225
483	7709
484	7187
485	6699
486	6243
487	5828
488	5424
489	5010
490	4608
491	4242
492	3895
493	3587
494	3306
495	3009
496	2765
497	2520
498	2226
499	1990
500	1811
501	1648
502	1524
503	1385
504	1203
505	1020
506	841
507	715
508	627
509	574
510	577
511	538
512	480
513	377
514	262
515	171
516	124
517	138
518	202
519	245
520	272
521	270
522	218
523	130
524	84
525	64
526	141
527	228
528	312
529	398
530	435
531	433
532	410
533	372
534	438
535	495
536	591
537	738
538	859
539	998
540	1069
541	1083
542	1143
543	1157
544	1226
545	1372
546	1546
547	1694
548	1856
549	1978
550	2105
551	2208
552	2334
553	2423
554	2527
555	2716
556	2898
557	3069
558	3298
559	3472
560	3671
561	3882
562	4039
563	4194
564	4390
565	4611
566	4769
567	5038
568	5265
569	5511
570	5785
571	5996
572	6328
573	6585
574	6919
575	7219
576	7497
577	7819
578	8145
579	8450
580	8748
581	9123
582	9320
583	9618
584	9967
585	10273
586	10609
587	10974
588	11307
589	11641
590	11979
591	12292
592	12718
593	13087
594	13476
595	13901
596	14359
597	14872
598	15355
599	15902
600	16447
601	16944
602	17351
603	17668
604	17932
605	18158
606	18328
607	18511
608	18552
609	18671
610	18905
611	19129
612	19214
613	19422
614	19651
615	19977
616	20237
617	20436
618	20662
619	20910
620	21088
621	21114
622	21428
623	21979
624	22552
625	23082
626	23617
627	24196
628	24775
629	25402
630	25938
631	26002
632	25606
633	25136
634	24842
635	24660
636	24457
637	24209
638	23958
639	23627
640	23309
641	22952
642	22651
643	22403
644	22158
645	21992
646	21922
647	21778
648	21641
649	21505
650	21238
651	20888
652	20551
653	20257
654	20042
655	20099
656	20510
657	21186
658	21842
659	22336
660	22700
661	22798
662	22768
663	22625
664	22449
665	22177
666	21909
667	21624
668	21349
669	21046
670	20766
671	20483
672	20147
673	19860
674	19443
675	19100
676	18680
677	18239
678	17802
679	17363
680	16862
681	16473
682	16044
683	15609
684	15192
685	14735
686	14344
687	13951
688	13593
689	13132
690	12779
691	12405
692	11969
693	11567
694	11193
695	10805
696	10392
697	9991
698	9601
699	9253
700	8902
701	8539
702	8262
703	7948
704	7636
705	7329
706	7087
707	6784
708	6505
709	6224
