# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LISAF (Cr:LiSrAlF6)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by DJR on 16 October 1994 and was 
# annotated on 16 October 1994.  The sample name was "" was a 2.1400
# long piece of :.   
# The incident light had P-polarization.
#
# Spectra were recorded from 300 to 900nm
# every 1nm at room temperature.
#
# FILE NAME ON PC = LISAF1.dx NO_POINTS = 601. pts DATA_INTV = .001000 µm MIN_LAMBDA = .300000 µm MIN_DATA = .06150 MAX_LAMBDA = .900000 µm MAX_DATA = .92810 SCANSPEED = 60.000000 nm/min SLITWIDTH= 1.00000 nm RESP TIME = .5 sec SENSITIVITY = 2 DATE=94/10/16 horizontal polarization No correction for index since LiSAF not in table; following corrections made using the PLOT program: C 1, M (900nM) R; M (350nM) L; S M; S 1; T 1; U; W.
#
##Wavelength (nm)	Absorbance (/meter) 
300	2681
301	2355
302	2102
303	1925
304	1724
305	1578
306	1411
307	1231
308	1107
309	1027
310	907
311	774
312	684
313	707
314	723
315	565
316	569
317	457
318	301
319	513
320	541
321	497
322	534
323	504
324	515
325	529
326	477
327	434
328	411
329	402
330	421
331	382
332	383
333	337
334	382
335	362
336	371
337	289
338	318
339	288
340	361
341	318
342	332
343	322
344	365
345	345
346	348
347	329
348	309
349	258
350	349
351	332
352	289
353	380
354	384
355	400
356	409
357	405
358	403
359	393
360	436
361	452
362	521
363	517
364	611
365	604
366	681
367	701
368	836
369	863
370	912
371	1008
372	1052
373	1152
374	1249
375	1390
376	1535
377	1714
378	1842
379	1990
380	2203
381	2333
382	2538
383	2754
384	2955
385	3213
386	3453
387	3722
388	3996
389	4281
390	4586
391	4928
392	5274
393	5586
394	5977
395	6391
396	6782
397	7169
398	7599
399	8016
400	8418
401	8888
402	9357
403	9844
404	10278
405	10777
406	11276
407	11725
408	12237
409	12679
410	13158
411	13695
412	14133
413	14606
414	15018
415	15448
416	15881
417	16307
418	16649
419	17090
420	17394
421	17731
422	18067
423	18326
424	18612
425	18835
426	19061
427	19253
428	19397
429	19480
430	19545
431	19604
432	19651
433	19623
434	19577
435	19463
436	19357
437	19226
438	19066
439	18883
440	18696
441	18540
442	18297
443	18092
444	17861
445	17705
446	17505
447	17286
448	17024
449	16836
450	16564
451	16280
452	15993
453	15701
454	15377
455	15002
456	14639
457	14301
458	13893
459	13511
460	13117
461	12685
462	12288
463	11881
464	11457
465	11032
466	10627
467	10230
468	9794
469	9404
470	8980
471	8597
472	8221
473	7823
474	7414
475	7051
476	6684
477	6330
478	5991
479	5639
480	5330
481	5019
482	4704
483	4411
484	4150
485	3886
486	3663
487	3417
488	3202
489	2983
490	2796
491	2618
492	2431
493	2245
494	2127
495	1966
496	1828
497	1709
498	1567
499	1477
500	1392
501	1282
502	1211
503	1136
504	1042
505	991
506	944
507	911
508	871
509	835
510	810
511	800
512	783
513	789
514	782
515	798
516	804
517	828
518	865
519	877
520	908
521	940
522	972
523	1028
524	1073
525	1139
526	1205
527	1235
528	1307
529	1381
530	1438
531	1534
532	1631
533	1715
534	1826
535	1926
536	2060
537	2159
538	2325
539	2467
540	2623
541	2767
542	2906
543	3065
544	3240
545	3420
546	3645
547	3830
548	4026
549	4254
550	4478
551	4717
552	4974
553	5259
554	5531
555	5843
556	6152
557	6453
558	6798
559	7138
560	7476
561	7827
562	8187
563	8527
564	8903
565	9265
566	9638
567	10021
568	10455
569	10876
570	11331
571	11783
572	12361
573	12892
574	13501
575	14117
576	14760
577	15443
578	16163
579	16870
580	17529
581	18135
582	18711
583	19273
584	19868
585	20416
586	20914
587	21470
588	22040
589	22597
590	23134
591	23705
592	24389
593	25212
594	26010
595	26847
596	27804
597	28924
598	30203
599	31623
600	33131
601	34606
602	35740
603	36659
604	37398
605	38135
606	38825
607	39298
608	39481
609	39679
610	40063
611	40314
612	40163
613	40120
614	40293
615	40609
616	40675
617	40490
618	40167
619	39894
620	39701
621	39734
622	40822
623	42698
624	44711
625	46596
626	48364
627	50337
628	52559
629	55247
630	57581
631	58421
632	57691
633	56557
634	55855
635	55607
636	55147
637	54638
638	54023
639	53341
640	52680
641	51933
642	51186
643	50463
644	49693
645	48811
646	48030
647	47192
648	46343
649	45371
650	44236
651	42964
652	41517
653	40190
654	39380
655	39591
656	41078
657	43442
658	46133
659	48428
660	50105
661	51147
662	51741
663	51927
664	51826
665	51518
666	51088
667	50567
668	50035
669	49375
670	48667
671	47959
672	47189
673	46528
674	45668
675	44918
676	44064
677	43225
678	42349
679	41475
680	40557
681	39632
682	38759
683	37823
684	36900
685	35939
686	35128
687	34240
688	33388
689	32461
690	31582
691	30717
692	29800
693	28948
694	28075
695	27160
696	26299
697	25439
698	24605
699	23765
700	22909
701	22098
702	21343
703	20556
704	19780
705	19030
706	18334
707	17583
708	16858
709	16166
710	15565
711	14869
712	14256
713	13633
714	13040
715	12514
716	11913
717	11402
718	10883
719	10391
720	9941
721	9436
722	9031
723	8579
724	8172
725	7769
726	7451
727	7028
728	6717
729	6389
730	6094
731	5731
732	5475
733	5229
734	4983
735	4743
736	4446
737	4264
738	4020
739	3836
740	3608
741	3445
742	3327
743	3105
744	2956
745	2811
746	2711
747	2522
748	2388
749	2263
750	2186
751	2081
752	1947
753	1848
754	1794
755	1745
756	1621
757	1563
758	1466
759	1436
760	1349
761	1335
762	1226
763	1156
764	1167
765	1102
766	1067
767	978
768	978
769	946
770	892
771	856
772	836
773	790
774	771
775	717
776	703
777	679
778	697
779	634
780	645
781	601
782	580
783	615
784	584
785	592
786	546
787	574
788	545
789	543
790	591
791	545
792	507
793	495
794	479
795	446
796	490
797	462
798	465
799	434
800	491
801	531
802	495
803	481
804	506
805	461
806	464
807	450
808	488
809	501
810	421
811	470
812	466
813	511
814	461
815	432
816	467
817	458
818	464
819	465
820	475
821	517
822	455
823	492
824	483
825	433
826	427
827	473
828	508
829	509
830	471
831	477
832	511
833	527
834	571
835	506
836	527
837	426
838	499
839	500
840	539
841	562
842	531
843	525
844	521
845	427
846	442
847	540
848	514
849	600
850	537
851	631
852	476
853	416
854	531
855	527
856	588
857	504
858	507
859	764
860	691
861	604
862	494
863	584
864	638
865	457
866	589
867	281
868	736
869	608
870	929
871	522
872	1004
873	411
874	580
875	468
876	461
877	633
878	290
879	536
880	1008
881	340
882	771
883	650
884	683
885	430
886	476
887	912
888	654
889	962
890	602
891	1
892	493
893	250
894	768
895	522
896	378
897	465
898	688
899	546
900	1052
