# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YAG (Er:Y3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by ?? on  1 January 1980 and was 
# annotated on  1 January 1980.  The sample name was "" was a 0.0000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 330 to 1904nm
# every 0.2nm at room temperature.
#
# Original header lost and recreated by hand. Assumed 1 percent concentration.
#
##Wavelength (nm)	Absorbance (/meter) 
330	466
330.2	476
330.4	412
330.6	429
330.8	391
331	394
331.2	434
331.4	395
331.6	431
331.8	471
332	439
332.2	444
332.4	519
332.6	471
332.8	1
333	378
333.2	404
333.4	427
333.6	467
333.8	463
334	480
334.2	541
334.4	389
334.6	443
334.8	402
335	534
335.2	408
335.4	460
335.6	359
335.8	438
336	513
336.2	428
336.4	360
336.6	418
336.8	377
337	369
337.2	427
337.4	423
337.6	422
337.8	397
338	375
338.2	325
338.4	392
338.6	432
338.8	435
339	355
339.2	312
339.4	389
339.6	454
339.8	381
340	400
340.2	426
340.4	422
340.6	428
340.8	394
341	397
341.2	420
341.4	430
341.6	408
341.8	432
342	333
342.2	313
342.4	365
342.6	331
342.8	373
343	399
343.2	409
343.4	407
343.6	401
343.8	330
344	326
344.2	329
344.4	312
344.6	345
344.8	361
345	339
345.2	416
345.4	320
345.6	417
345.8	305
346	386
346.2	341
346.4	335
346.6	425
346.8	341
347	348
347.2	409
347.4	382
347.6	378
347.8	323
348	421
348.2	371
348.4	408
348.6	374
348.8	451
349	410
349.2	314
349.4	365
349.6	371
349.8	355
350	351
350.2	412
350.4	359
350.6	429
350.8	423
351	368
351.2	410
351.4	436
351.6	469
351.8	465
352	487
352.2	522
352.4	467
352.6	431
352.8	533
353	564
353.2	505
353.4	556
353.6	568
353.8	529
354	592
354.2	685
354.4	706
354.6	767
354.8	871
355	1049
355.2	1630
355.4	2043
355.6	3110
355.8	5521
356	4071
356.2	4933
356.4	3490
356.6	4262
356.8	4099
357	2849
357.2	2723
357.4	2406
357.6	1900
357.8	1549
358	1402
358.2	1352
358.4	1276
358.6	1220
358.8	1222
359	1283
359.2	1419
359.4	1459
359.6	1423
359.8	1497
360	1489
360.2	1409
360.4	1414
360.6	1571
360.8	1461
361	1234
361.2	1154
361.4	1000
361.6	999
361.8	1059
362	1168
362.2	1286
362.4	1669
362.6	2485
362.8	2766
363	1728
363.2	1480
363.4	2437
363.6	5124
363.8	8563
364	13700
364.2	8582
364.4	3526
364.6	2081
364.8	6093
365	7549
365.2	2067
365.4	1678
365.6	2344
365.8	2308
366	2606
366.2	4317
366.4	8619
366.6	3600
366.8	3271
367	3378
367.2	5446
367.4	2341
367.6	1296
367.8	979
368	1051
368.2	1047
368.4	944
368.6	866
368.8	1313
369	1899
369.2	1828
369.4	2103
369.6	1882
369.8	1457
370	1246
370.2	1398
370.4	1926
370.6	1650
370.8	1755
371	2382
371.2	2255
371.4	1959
371.6	2416
371.8	2920
372	2502
372.2	2245
372.4	1978
372.6	1739
372.8	1795
373	1754
373.2	1861
373.4	1912
373.6	2044
373.8	1941
374	1649
374.2	1583
374.4	2023
374.6	2325
374.8	2692
375	3618
375.2	3504
375.4	3477
375.6	4062
375.8	4291
376	5671
376.2	6014
376.4	6167
376.6	8581
376.8	9951
377	10074
377.2	7560
377.4	13354
377.6	21800
377.8	9798
378	4728
378.2	3292
378.4	2931
378.6	2667
378.8	2775
379	2709
379.2	2424
379.4	2346
379.6	2202
379.8	2094
380	3730
380.2	5872
380.4	15159
380.6	6437
380.8	15770
381	36867
381.2	19462
381.4	7814
381.6	26981
381.8	23581
382	14502
382.2	6126
382.4	9569
382.6	10127
382.8	7275
383	2859
383.2	2201
383.4	1734
383.6	1523
383.8	1431
384	1724
384.2	1785
384.4	1341
384.6	1689
384.8	1455
385	746
385.2	675
385.4	662
385.6	596
385.8	597
386	1048
386.2	1332
386.4	911
386.6	746
386.8	1239
387	1473
387.2	725
387.4	548
387.6	737
387.8	1079
388	819
388.2	557
388.4	1299
388.6	832
388.8	306
389	297
389.2	325
389.4	303
389.6	289
389.8	389
390	1248
390.2	768
390.4	246
390.6	200
390.8	127
391	132
391.2	163
391.4	126
391.6	148
391.8	164
392	110
392.2	126
392.4	108
392.6	98
392.8	93
393	140
393.2	145
393.4	178
393.6	137
393.8	145
394	129
394.2	139
394.4	155
394.6	142
394.8	166
395	185
395.2	155
395.4	101
395.6	120
395.8	164
396	158
396.2	137
396.4	78
396.6	99
396.8	109
397	107
397.2	140
397.4	72
397.6	118
397.8	179
398	170
398.2	164
398.4	155
398.6	174
398.8	149
399	154
399.2	176
399.4	199
399.6	112
399.8	131
400	155
400.2	171
400.4	135
400.6	161
400.8	150
401	162
401.2	236
401.4	168
401.6	233
401.8	208
402	215
402.2	239
402.4	235
402.6	235
402.8	174
403	319
403.2	341
403.4	461
403.6	952
403.8	1784
404	6032
404.2	1280
404.4	546
404.6	503
404.8	769
405	1616
405.2	707
405.4	498
405.6	425
405.8	400
406	373
406.2	408
406.4	625
406.6	893
406.8	2897
407	3851
407.2	6971
407.4	4211
407.6	718
407.8	1474
408	1378
408.2	1639
408.4	2542
408.6	548
408.8	397
409	351
409.2	398
409.4	585
409.6	2559
409.8	915
410	969
410.2	403
410.4	682
410.6	1818
410.8	1045
411	787
411.2	419
411.4	266
411.6	151
411.8	140
412	203
412.2	224
412.4	211
412.6	156
412.8	221
413	325
413.2	443
413.4	374
413.6	320
413.8	274
414	312
414.2	335
414.4	204
414.6	200
414.8	116
415	134
415.2	149
415.4	110
415.6	92
415.8	104
416	96
416.2	115
416.4	297
416.6	523
416.8	429
417	197
417.2	136
417.4	51
417.6	26
417.8	70
418	80
418.2	78
418.4	81
418.6	148
418.8	59
419	138
419.2	194
419.4	263
419.6	146
419.8	89
420	97
420.2	88
420.4	82
420.6	78
420.8	25
421	122
421.2	93
421.4	75
421.6	50
421.8	104
422	53
422.2	91
422.4	11
422.6	2
422.8	51
423	58
423.2	77
423.4	20
423.6	101
423.8	46
424	63
424.2	98
424.4	2
424.6	65
424.8	111
425	84
425.2	43
425.4	39
425.6	14
425.8	95
426	29
426.2	25
426.4	58
426.6	35
426.8	77
427	66
427.2	64
427.4	35
427.6	33
427.8	93
428	1
428.2	62
428.4	109
428.6	93
428.8	112
429	57
429.2	60
429.4	49
429.6	54
429.8	98
430	78
430.2	90
430.4	118
430.6	84
430.8	78
431	46
431.2	37
431.4	49
431.6	71
431.8	50
432	49
432.2	70
432.4	50
432.6	78
432.8	51
433	72
433.2	72
433.4	82
433.6	99
433.8	71
434	58
434.2	68
434.4	73
434.6	124
434.8	111
435	97
435.2	96
435.4	115
435.6	115
435.8	120
436	91
436.2	133
436.4	124
