# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LUAG (Ho:Lu3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on 10 February 1993 and was 
# annotated on 10 February 1993.  The sample name was "" was a 9.9300
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 300 to 600nm
# every 0.1nm at room temperature.
#
# FILE NAME ON PC = LUAG5.SP NO_POINTS = 3001. pts DATA_INTV = .000100 æm MIN_LAMBDA = .300000 æm MIN_DATA = .09440 MAX_LAMBDA = .600000 æm MAX_DATA = .86070 SCANSPEED = 15.000000 NM/MIN SLITWIDTH= .20000 NM RESP TIME = .5 sec SENSITIVITY = 5 DATE=93/02/10 16:32:05 93/02/10 LUAG5.
#
##Wavelength (nm)	Absorbance (/meter) 
300	1041
300.1	1062
300.2	551
300.3	696
300.4	792
300.5	765
300.6	436
300.7	353
300.8	1286
300.9	855
301	796
301.1	760
301.2	1113
301.3	903
301.4	695
301.5	1161
301.6	909
301.7	931
301.8	792
301.9	807
302	1208
302.1	635
302.2	1276
302.3	599
302.4	733
302.5	1164
302.6	395
302.7	298
302.8	1073
302.9	813
303	363
303.1	939
303.2	741
303.3	352
303.4	859
303.5	965
303.6	274
303.7	621
303.8	359
303.9	460
304	381
304.1	472
304.2	482
304.3	749
304.4	149
304.5	777
304.6	1299
304.7	956
304.8	443
304.9	101
305	497
305.1	611
305.2	879
305.3	549
305.4	638
305.5	1023
305.6	1001
305.7	1051
305.8	926
305.9	987
306	916
306.1	350
306.2	692
306.3	792
306.4	415
306.5	747
306.6	1022
306.7	1427
306.8	1057
306.9	670
307	576
307.1	44
307.2	812
307.3	715
307.4	464
307.5	641
307.6	477
307.7	350
307.8	458
307.9	727
308	1145
308.1	958
308.2	772
308.3	1248
308.4	932
308.5	545
308.6	644
308.7	766
308.8	886
308.9	681
309	772
309.1	887
309.2	1
309.3	979
309.4	1031
309.5	476
309.6	879
309.7	737
309.8	787
309.9	721
310	782
310.1	812
310.2	923
310.3	717
310.4	820
310.5	1316
310.6	723
310.7	309
310.8	826
310.9	967
311	812
311.1	818
311.2	587
311.3	505
311.4	1104
311.5	787
311.6	473
311.7	659
311.8	642
311.9	633
312	823
312.1	354
312.2	1017
312.3	873
312.4	557
312.5	664
312.6	562
312.7	749
312.8	476
312.9	510
313	934
313.1	714
313.2	812
313.3	724
313.4	514
313.5	842
313.6	747
313.7	599
313.8	885
313.9	848
314	673
314.1	927
314.2	521
314.3	548
314.4	568
314.5	568
314.6	823
314.7	685
314.8	386
314.9	639
315	664
315.1	471
315.2	667
315.3	909
315.4	508
315.5	770
315.6	661
315.7	625
315.8	1043
315.9	667
316	650
316.1	747
316.2	993
316.3	1101
316.4	892
316.5	736
316.6	406
316.7	387
316.8	553
316.9	655
317	443
317.1	566
317.2	983
317.3	802
317.4	671
317.5	869
317.6	832
317.7	943
317.8	889
317.9	858
318	819
318.1	799
318.2	615
318.3	967
318.4	852
318.5	806
318.6	393
318.7	704
318.8	487
318.9	661
319	805
319.1	866
319.2	705
319.3	723
319.4	665
319.5	830
319.6	921
319.7	668
319.8	695
319.9	562
320	430
320.1	837
320.2	757
320.3	696
320.4	593
320.5	425
320.6	736
320.7	739
320.8	1058
320.9	637
321	742
321.1	823
321.2	307
321.3	516
321.4	746
321.5	878
321.6	656
321.7	785
321.8	756
321.9	467
322	611
322.1	808
322.2	889
322.3	821
322.4	487
322.5	912
322.6	781
322.7	920
322.8	844
322.9	933
323	1037
323.1	794
323.2	775
323.3	654
323.4	741
323.5	800
323.6	935
323.7	837
323.8	943
323.9	992
324	1148
324.1	873
324.2	914
324.3	900
324.4	676
324.5	1063
324.6	906
324.7	1009
324.8	855
324.9	975
325	794
325.1	998
325.2	1025
325.3	981
325.4	783
325.5	1090
325.6	762
325.7	401
325.8	933
325.9	768
326	697
326.1	565
326.2	802
326.3	580
326.4	655
326.5	735
326.6	799
326.7	680
326.8	704
326.9	502
327	478
327.1	832
327.2	701
327.3	906
327.4	508
327.5	738
327.6	663
327.7	555
327.8	758
327.9	550
328	662
328.1	759
328.2	825
328.3	913
328.4	774
328.5	852
328.6	845
328.7	1010
328.8	995
328.9	792
329	783
329.1	609
329.2	849
329.3	633
329.4	735
329.5	566
329.6	468
329.7	719
329.8	719
329.9	834
330	1109
330.1	908
330.2	984
330.3	1145
330.4	1685
330.5	1916
330.6	1220
330.7	917
330.8	1231
330.9	1082
331	1181
331.1	901
331.2	769
331.3	796
331.4	1012
331.5	1173
331.6	1428
331.7	1734
331.8	2108
331.9	2343
332	2246
332.1	2291
332.2	1810
332.3	1492
332.4	1599
332.5	1415
332.6	1604
332.7	1338
332.8	1739
332.9	1845
333	1261
333.1	1477
333.2	1951
333.3	2106
333.4	1761
333.5	2055
333.6	2198
333.7	2146
333.8	2139
333.9	2090
334	1560
