# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LUAG (Ho:Lu3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on 10 February 1993 and was 
# annotated on 10 February 1993.  The sample name was "" was a 9.9300
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 600 to 700nm
# every 0.1nm at room temperature.
#
# FILE NAME ON PC = LUAG4.SP NO_POINTS = 1001. pts DATA_INTV = .000100 æm MIN_LAMBDA = .600000 æm MIN_DATA = .18650 MAX_LAMBDA = .700000 æm MAX_DATA = .98530 SCANSPEED = 15.000000 NM/MIN SLITWIDTH= .00000 æm RESP TIME = .5 sec SENSITIVITY = 5 DATE=93/02/10 15:01:22 93/02/10 LUAG4.
#
##Wavelength (nm)	Absorbance (/meter) 
600	420
600.1	239
600.2	336
600.3	379
600.4	413
600.5	176
600.6	197
600.7	290
600.8	509
600.9	282
601	257
601.1	304
601.2	287
601.3	285
601.4	393
601.5	326
601.6	421
601.7	306
601.8	272
601.9	246
602	273
602.1	273
602.2	339
602.3	356
602.4	373
602.5	410
602.6	321
602.7	508
602.8	413
602.9	182
603	258
603.1	202
603.2	332
603.3	292
603.4	578
603.5	280
603.6	302
603.7	511
603.8	482
603.9	450
604	217
604.1	428
604.2	258
604.3	365
604.4	522
604.5	442
604.6	394
604.7	268
604.8	526
604.9	271
605	444
605.1	440
605.2	396
605.3	337
605.4	359
605.5	313
605.6	416
605.7	410
605.8	364
605.9	316
606	312
606.1	353
606.2	444
606.3	425
606.4	440
606.5	224
606.6	460
606.7	273
606.8	212
606.9	345
607	455
607.1	151
607.2	392
607.3	405
607.4	353
607.5	294
607.6	512
607.7	385
607.8	386
607.9	502
608	499
608.1	343
608.2	495
608.3	329
608.4	205
608.5	357
608.6	401
608.7	414
608.8	404
608.9	331
609	130
609.1	241
609.2	231
609.3	227
609.4	320
609.5	310
609.6	346
609.7	380
609.8	372
609.9	305
610	412
610.1	360
610.2	394
610.3	392
610.4	252
610.5	246
610.6	297
610.7	207
610.8	260
610.9	394
611	302
611.1	444
611.2	326
611.3	574
611.4	214
611.5	308
611.6	441
611.7	359
611.8	257
611.9	379
612	283
612.1	489
612.2	386
612.3	340
612.4	278
612.5	436
612.6	268
612.7	200
612.8	311
612.9	511
613	531
613.1	518
613.2	362
613.3	289
613.4	269
613.5	501
613.6	425
613.7	310
613.8	510
613.9	489
614	445
614.1	345
614.2	461
614.3	226
614.4	531
614.5	367
614.6	344
614.7	321
614.8	232
614.9	550
615	360
615.1	335
615.2	229
615.3	328
615.4	435
615.5	463
615.6	417
615.7	308
615.8	521
615.9	562
616	442
616.1	274
616.2	316
616.3	420
616.4	420
616.5	366
616.6	246
616.7	427
616.8	453
616.9	447
617	460
617.1	424
617.2	429
617.3	366
617.4	329
617.5	270
617.6	477
617.7	408
617.8	328
617.9	417
618	506
618.1	419
618.2	342
618.3	467
618.4	541
618.5	442
618.6	417
618.7	529
618.8	466
618.9	530
619	439
