# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LUAG (Ho:Lu3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on 10 February 1993 and was 
# annotated on 10 February 1993.  The sample name was "" was a 9.9300
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 860 to 910nm
# every 0.1nm at room temperature.
#
# FILE NAME ON PC = LUAG3.SP NO_POINTS = 501. pts DATA_INTV = .000100 æm MIN_LAMBDA = .860000 æm MIN_DATA = .77230 MAX_LAMBDA = .910000 æm MAX_DATA = 1.08810 SCANSPEED = 15.000000 NM/MIN SLITWIDTH= .00000 æm RESP TIME = .5 sec SENSITIVITY = 5 DATE=93/02/10 14:56:15 93/02/10 LUAG3.
#
##Wavelength (nm)	Absorbance (/meter) 
860	1
860.1	1
860.2	1
860.3	1
860.4	1
860.5	1
860.6	1
860.7	1
860.8	1
860.9	6
861	44
861.1	13
861.2	1
861.3	1
861.4	1
861.5	100
861.6	32
861.7	93
861.8	32
861.9	40
862	86
862.1	15
862.2	54
862.3	28
862.4	32
862.5	42
862.6	1
862.7	76
862.8	105
862.9	13
863	1
863.1	42
863.2	6
863.3	76
863.4	35
863.5	3
863.6	69
863.7	23
863.8	35
863.9	1
864	50
864.1	11
864.2	25
864.3	1
864.4	1
864.5	30
864.6	1
864.7	1
864.8	1
864.9	72
865	1
865.1	4
865.2	1
865.3	4
865.4	28
865.5	38
865.6	72
865.7	1
865.8	1
865.9	43
866	9
866.1	9
866.2	45
866.3	72
866.4	82
866.5	38
866.6	1
866.7	1
866.8	86
866.9	50
867	6
867.1	16
867.2	1
867.3	1
867.4	1
867.5	1
867.6	1
867.7	62
867.8	60
867.9	79
868	4
868.1	31
868.2	1
868.3	19
868.4	21
868.5	74
868.6	65
868.7	1
868.8	21
868.9	1
869	1
869.1	1
869.2	9
869.3	36
869.4	92
869.5	1
869.6	1
869.7	31
869.8	1
869.9	67
870	65
870.1	26
870.2	1
870.3	38
870.4	1
870.5	1
870.6	80
870.7	16
870.8	1
870.9	46
871	1
871.1	85
871.2	12
871.3	1
871.4	1
871.5	75
871.6	51
871.7	14
871.8	1
871.9	1
872	1
872.1	1
872.2	46
872.3	5
872.4	22
872.5	1
872.6	1
872.7	17
872.8	99
872.9	1
873	1
873.1	2
873.2	60
873.3	48
873.4	151
873.5	187
