# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LUAG (Ho:Lu3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on 12 February 1993 and was 
# annotated on 12 February 1993.  The sample name was "" was a 9.9300
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 1050 to 1250nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PC = LUAG2.SP NO_POINTS = 1001. pts DATA_INTV = .000200 æm MIN_LAMBDA = 1.050000 æm MIN_DATA = .61790 MAX_LAMBDA = 1.250000 æm MAX_DATA = .85300 SCANSPEED = 15.000000 NM/MIN SLITWIDTH= .00000 æm RESP TIME = .5 sec SENSITIVITY = 5 DATE=93/02/12 12:07:12 93/02/12 LUAG2.
#
##Wavelength (nm)	Absorbance (/meter) 
1050	293
1050.2	236
1050.4	219
1050.6	188
1050.8	275
1051	228
1051.2	316
1051.4	218
1051.6	213
1051.8	282
1052	224
1052.2	262
1052.4	217
1052.6	203
1052.8	219
1053	138
1053.2	261
1053.4	209
1053.6	142
1053.8	216
1054	161
1054.2	213
1054.4	294
1054.6	175
1054.8	258
1055	222
1055.2	307
1055.4	207
1055.6	212
1055.8	266
1056	238
1056.2	188
1056.4	213
1056.6	304
1056.8	301
1057	318
1057.2	382
1057.4	267
1057.6	346
1057.8	257
1058	198
1058.2	210
1058.4	91
1058.6	166
1058.8	204
1059	187
1059.2	249
1059.4	270
1059.6	282
1059.8	313
1060	203
1060.2	263
1060.4	279
1060.6	179
1060.8	276
1061	262
1061.2	219
1061.4	359
1061.6	316
1061.8	247
1062	376
1062.2	304
1062.4	263
1062.6	265
1062.8	225
1063	258
1063.2	303
1063.4	193
1063.6	298
1063.8	228
1064	285
1064.2	300
1064.4	268
1064.6	316
1064.8	232
1065	196
1065.2	213
1065.4	203
1065.6	296
1065.8	296
1066	334
1066.2	322
1066.4	372
1066.6	252
1066.8	324
1067	283
1067.2	211
1067.4	364
1067.6	197
1067.8	206
1068	249
1068.2	113
1068.4	213
1068.6	234
1068.8	222
1069	245
1069.2	271
1069.4	233
1069.6	254
1069.8	247
1070	192
1070.2	161
1070.4	142
1070.6	289
1070.8	275
1071	177
1071.2	234
1071.4	167
1071.6	179
1071.8	205
1072	171
1072.2	195
1072.4	245
1072.6	230
1072.8	237
1073	232
1073.2	206
1073.4	294
1073.6	108
1073.8	265
1074	270
1074.2	106
1074.4	207
1074.6	160
1074.8	195
1075	221
1075.2	178
1075.4	223
1075.6	266
1075.8	275
1076	223
1076.2	210
1076.4	144
1076.6	213
1076.8	80
1077	65
1077.2	183
1077.4	110
1077.6	186
1077.8	235
1078	178
1078.2	178
1078.4	187
1078.6	180
1078.8	263
1079	241
1079.2	201
1079.4	182
1079.6	227
1079.8	191
1080	255
1080.2	247
1080.4	247
1080.6	214
1080.8	180
1081	197
1081.2	159
1081.4	163
1081.6	151
1081.8	115
1082	258
1082.2	229
1082.4	248
1082.6	224
1082.8	150
1083	174
1083.2	176
1083.4	107
1083.6	168
1083.8	161
1084	135
1084.2	163
1084.4	237
1084.6	368
1084.8	332
1085	241
1085.2	248
1085.4	162
1085.6	176
1085.8	181
1086	164
1086.2	142
1086.4	126
1086.6	159
1086.8	225
1087	268
1087.2	260
1087.4	225
1087.6	205
1087.8	212
1088	293
1088.2	286
1088.4	205
1088.6	102
1088.8	171
1089	195
1089.2	228
1089.4	163
1089.6	249
1089.8	232
1090	277
1090.2	158
1090.4	243
1090.6	226
1090.8	248
1091	198
1091.2	326
1091.4	316
1091.6	257
1091.8	259
1092	230
1092.2	244
1092.4	242
1092.6	163
1092.8	225
1093	163
1093.2	265
1093.4	219
1093.6	283
1093.8	264
1094	393
1094.2	352
1094.4	333
1094.6	249
1094.8	299
1095	168
1095.2	85
1095.4	125
1095.6	227
1095.8	231
1096	312
1096.2	236
1096.4	231
1096.6	331
1096.8	331
1097	364
1097.2	271
1097.4	326
1097.6	330
1097.8	273
1098	239
1098.2	258
1098.4	248
1098.6	241
1098.8	310
1099	286
1099.2	274
1099.4	288
1099.6	200
1099.8	333
1100	280
1100.2	316
1100.4	237
1100.6	275
1100.8	260
1101	284
1101.2	224
1101.4	200
1101.6	288
1101.8	145
1102	274
1102.2	343
1102.4	271
1102.6	326
1102.8	311
1103	335
1103.2	364
1103.4	265
1103.6	330
1103.8	409
1104	262
1104.2	279
1104.4	250
1104.6	322
1104.8	290
1105	176
1105.2	312
1105.4	335
1105.6	306
1105.8	323
1106	344
1106.2	270
1106.4	334
1106.6	294
1106.8	332
1107	339
1107.2	245
1107.4	255
1107.6	305
1107.8	247
1108	403
1108.2	318
1108.4	302
1108.6	304
1108.8	311
1109	397
1109.2	294
1109.4	248
1109.6	360
1109.8	408
1110	360
1110.2	331
1110.4	288
1110.6	290
1110.8	393
1111	261
1111.2	309
1111.4	361
1111.6	229
1111.8	322
1112	315
1112.2	322
1112.4	336
1112.6	375
1112.8	322
1113	374
1113.2	360
1113.4	352
1113.6	180
1113.8	199
1114	270
1114.2	282
1114.4	313
1114.6	368
1114.8	274
1115	334
1115.2	423
1115.4	379
1115.6	475
1115.8	333
1116	384
1116.2	403
1116.4	419
1116.6	388
1116.8	407
1117	390
1117.2	549
1117.4	551
1117.6	556
1117.8	694
1118	733
1118.2	772
1118.4	1066
1118.6	1331
1118.8	1686
1119	2046
1119.2	2287
1119.4	2382
1119.6	2229
1119.8	1957
1120	1629
1120.2	1355
1120.4	1154
1120.6	1051
1120.8	927
1121	940
1121.2	1004
1121.4	1021
1121.6	1095
1121.8	1065
1122	1023
1122.2	966
1122.4	882
1122.6	805
1122.8	798
1123	805
1123.2	753
1123.4	797
1123.6	876
1123.8	1039
1124	1106
1124.2	1273
1124.4	1513
1124.6	1579
1124.8	1761
1125	1918
1125.2	1784
1125.4	1645
1125.6	1438
1125.8	1262
1126	1134
1126.2	1034
1126.4	1041
1126.6	1086
1126.8	1223
1127	1562
1127.2	2117
1127.4	2613
1127.6	3522
1127.8	4607
1128	5578
1128.2	6223
1128.4	6514
1128.6	6181
1128.8	5343
1129	4256
1129.2	3408
1129.4	2649
1129.6	2120
1129.8	2002
1130	1831
1130.2	1981
1130.4	2343
1130.6	2848
1130.8	3460
1131	4100
1131.2	4453
1131.4	4488
1131.6	4335
1131.8	4039
1132	3884
1132.2	3886
1132.4	4180
1132.6	4364
1132.8	4402
1133	4261
1133.2	3848
1133.4	3472
1133.6	2954
1133.8	2556
1134	2327
1134.2	2145
1134.4	1944
1134.6	1853
1134.8	1796
1135	1829
1135.2	1904
1135.4	2118
1135.6	2472
1135.8	2727
1136	3089
1136.2	3394
1136.4	3598
1136.6	3675
1136.8	3799
1137	3691
1137.2	3491
1137.4	3240
1137.6	2901
1137.8	2593
1138	2197
1138.2	1899
1138.4	1580
1138.6	1336
1138.8	1147
1139	1057
1139.2	916
1139.4	948
1139.6	889
1139.8	871
1140	952
1140.2	908
1140.4	977
1140.6	1019
1140.8	1121
1141	1306
1141.2	1618
1141.4	2018
1141.6	2490
1141.8	2794
1142	3230
1142.2	3106
1142.4	2935
1142.6	2737
1142.8	2391
1143	2263
1143.2	2314
1143.4	2521
1143.6	2986
1143.8	3609
1144	4272
1144.2	4744
1144.4	5048
1144.6	5203
1144.8	5008
1145	4776
1145.2	4385
1145.4	3903
1145.6	3402
1145.8	2973
1146	2799
1146.2	2728
1146.4	2877
1146.6	3157
1146.8	3370
1147	3448
1147.2	3454
1147.4	3134
1147.6	2852
1147.8	2458
1148	2106
1148.2	1934
1148.4	1714
1148.6	1686
1148.8	1835
1149	1853
1149.2	1988
1149.4	1988
1149.6	1852
1149.8	1744
1150	1531
1150.2	1379
1150.4	1013
1150.6	913
1150.8	748
1151	687
1151.2	521
1151.4	524
1151.6	446
1151.8	414
1152	562
1152.2	438
1152.4	416
1152.6	518
