# Optical emission spectrum of Ho:Lu3Al5O12 (Ho:Lu3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by GA on 15 October 1993 and was 
# annotated on  4 April 1995.  The sample name was "" was a 9.990
# long piece of :.  
# The incident light was horizontally polarized.
#
# Spectra were recorded from 1750.1nm to 2199.7nm
# every 0.1nm at room temperature.  The
# excitation wavelength was 633nm.
#
# SOURCE POLARIZATION IS HORIZONTAL, SLIT WIDTH IS 2000 MICRONS.
#
##Wavelength (nm)	Absorbance (/meter) 
1750.1	0
1750.2	0.00212321024868124
1750.3	0
1750.4	0
1750.5	0.00506669178598342
1750.6	0.00365655614167295
1750.7	0.00231556141672946
1750.8	0.00132620572720422
1750.9	0.00755105501130369
1751	0.00943764129615674
1751.1	0
1751.2	0.00609881311228334
1751.3	0
1751.4	0
1751.5	0
1751.6	0
1751.7	0
1751.8	0.00853212132629992
1751.9	0.00457912584777694
1752	0
1752.1	0
1752.2	0
1752.3	0.00638931801055011
1752.4	0
1752.5	0
1752.6	0
1752.7	0
1752.8	0
1752.9	0
1753	0
1753.1	0.000214713639788998
1753.2	0
1753.3	0
1753.4	0.00528033157498116
1753.5	0.00335766767143934
1753.6	0.012766578749058
1753.7	0.0172371891484552
1753.8	0.00577901281085154
1753.9	0
1754	0
1754.1	0
1754.2	0.0078740580256217
1754.3	0
1754.4	0
1754.5	0
1754.6	0
1754.7	0
1754.8	0
1754.9	0
1755	0.00263809344385833
1755.1	0.0184871891484552
1755.2	0.00355896759608139
1755.3	0
1755.4	0
1755.5	0
1755.6	0
1755.7	0
1755.8	0
1755.9	0
1756	0
1756.1	0
1756.2	0
1756.3	0.00562933308214016
1756.4	0.0111963074604371
1756.5	0
1756.6	0.00332611152976639
1756.7	0.0032043142426526
1756.8	0.00120714016578749
1756.9	0.00312029012810852
1757	0
1757.1	0
1757.2	0
1757.3	0
1757.4	0
1757.5	0
1757.6	0
1757.7	0.0108289374529013
1757.8	0.00685041446872645
1757.9	0.00400499246420497
1758	0
1758.1	0
1758.2	0
1758.3	0
1758.4	0
1758.5	0
1758.6	0.00318387339864356
1758.7	0
1758.8	0.00725207234363225
1758.9	0.0122089299171063
1759	0.0157121326299925
1759.1	0.0013248869630746
1759.2	0.000551064431047475
1759.3	0.00610823285606631
1759.4	0.00914383948756594
1759.5	0.00741013564431047
1759.6	0.00125207234363225
1759.7	0.0021215146948003
1759.8	0.00631480783722683
1759.9	0
1760	0
1760.1	0.000525056518462698
1760.2	0.0148926149208742
1760.3	0.0129493217784476
1760.4	0.00175979653353429
1760.5	0
1760.6	0
1760.7	0.00369253956292389
1760.8	0.00503419366993218
1760.9	0.00106264129615674
1761	0.00574180482290882
1761.1	0.00411510926902788
1761.2	0.00679389600602864
1761.3	0
1761.4	0
1761.5	0.00175423888470234
1761.6	0
1761.7	0
1761.8	0
