# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YAG (Ho:Y3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by TLL on 25 July 1988 and was 
# annotated on 10 August 1988.  The sample name was "" was a 4.8400
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 300 to 860nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PE-3600 = 002T9.SP ON PC = 002T0009.SP NO_POINTS = 2801. pts DATA_INTV = .000200 æm MIN_LAMBDA = .300000 æm MIN_DATA = .00000 MAX_LAMBDA = .860000 æm MAX_DATA = 43301.00 SCANSPEED = .03000000 æm/min SLITWIDTH= .00020 æmITA = 0. RESP = .500 sec ISMS = 0. DATE=88/07/25 INST = 509. ? = 0.
#
##Wavelength (nm)	Absorbance (/meter) 
300	683
300.2	700
300.4	595
300.6	577
300.8	426
301	465
301.2	536
301.4	392
301.6	387
301.8	428
302	394
302.2	607
302.4	502
302.6	621
302.8	600
303	349
303.2	477
303.4	453
303.6	497
303.8	297
304	331
304.2	457
304.4	329
304.6	361
304.8	446
305	424
305.2	585
305.4	419
305.6	406
305.8	449
306	326
306.2	541
306.4	398
306.6	436
306.8	405
307	433
307.2	307
307.4	412
307.6	426
307.8	389
308	439
308.2	492
308.4	402
308.6	320
308.8	354
309	383
309.2	348
309.4	352
309.6	495
309.8	328
310	368
310.2	304
310.4	606
310.6	467
310.8	404
311	364
311.2	347
311.4	357
311.6	312
311.8	376
312	356
312.2	320
312.4	366
312.6	330
312.8	474
313	400
313.2	362
313.4	446
313.6	462
313.8	351
314	220
314.2	462
314.4	440
314.6	378
314.8	336
315	292
315.2	355
315.4	313
315.6	421
315.8	254
316	402
316.2	392
316.4	327
316.6	441
316.8	377
317	420
317.2	347
317.4	430
317.6	371
317.8	438
318	342
318.2	336
318.4	409
318.6	303
318.8	347
319	389
319.2	471
319.4	311
319.6	237
319.8	332
320	303
320.2	358
320.4	333
320.6	346
320.8	334
321	254
321.2	344
321.4	302
321.6	340
321.8	351
322	330
322.2	265
322.4	267
322.6	369
322.8	344
323	369
323.2	393
323.4	430
323.6	367
323.8	441
324	653
324.2	281
324.4	370
324.6	452
324.8	515
325	714
325.2	431
325.4	365
325.6	580
325.8	320
326	396
326.2	422
326.4	434
326.6	425
326.8	351
327	308
327.2	279
327.4	430
327.6	399
327.8	407
328	328
328.2	384
328.4	349
328.6	294
328.8	381
329	435
329.2	401
329.4	395
329.6	367
329.8	509
330	780
330.2	1005
330.4	1017
330.6	1783
330.8	940
331	1026
331.2	677
331.4	499
331.6	805
331.8	1486
332	1645
332.2	2266
332.4	1853
332.6	1120
332.8	1194
333	1334
333.2	1315
333.4	2194
333.6	1973
333.8	1692
334	2492
334.2	1904
334.4	1262
334.6	3193
334.8	2216
335	5200
335.2	4228
335.4	1917
335.6	3407
335.8	1133
336	843
336.2	833
336.4	1600
336.6	917
336.8	723
337	629
337.2	620
337.4	693
337.6	698
337.8	684
338	608
338.2	645
338.4	679
338.6	575
338.8	475
339	453
339.2	502
339.4	495
339.6	633
339.8	553
340	457
340.2	662
340.4	556
340.6	509
340.8	590
341	646
341.2	654
341.4	1011
341.6	1204
341.8	1111
342	1054
342.2	767
342.4	713
342.6	722
342.8	851
343	1267
343.2	1794
343.4	1540
343.6	1184
343.8	862
344	922
344.2	983
344.4	1130
344.6	1766
344.8	1854
345	1481
345.2	1166
345.4	1441
