# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YAG (Ho:Y3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by TLL on 12 August 1988 and was 
# annotated on 16 August 1988.  The sample name was "" was a 4.8400
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 840 to 1400nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PE-3600 = 002T17.SP ON PC = 002T0017.SP NO_POINTS = 2801. pts DATA_INTV = .000200 æm MIN_LAMBDA = .840000 æm MIN_DATA = 0.00010 MAX_LAMBDA = 1.400000 æm MAX_DATA = 5297.400 SCANSPEED = .03000000 æm/min SLITWIDTH= .00020 æmITA = 0. RESP = .500 sec ISMS = 0. DATE=88/08/12 INST = 509. ? = 0.
#
##Wavelength (nm)	Absorbance (/meter) 
840	1
840.2	1
840.4	1
840.6	1
840.8	1
841	1
841.2	1
841.4	1
841.6	1
841.8	1
842	1
842.2	1
842.4	1
842.6	1
842.8	1
843	1
843.2	1
843.4	1
843.6	1
843.8	1
844	1
844.2	1
844.4	1
844.6	1
844.8	1
845	1
845.2	1
845.4	1
845.6	1
845.8	1
846	1
846.2	1
846.4	1
846.6	1
846.8	1
847	1
847.2	1
847.4	1
847.6	1
847.8	1
848	1
848.2	1
848.4	1
848.6	1
848.8	1
849	1
849.2	1
849.4	1
849.6	178
849.8	182
850	177
850.2	175
850.4	172
850.6	173
850.8	166
851	164
851.2	164
851.4	161
851.6	154
851.8	153
852	149
852.2	143
852.4	144
852.6	140
852.8	130
853	129
853.2	132
853.4	127
853.6	125
853.8	124
854	120
854.2	117
854.4	123
854.6	122
854.8	115
855	112
855.2	103
855.4	110
855.6	109
855.8	105
856	103
856.2	101
856.4	102
856.6	101
856.8	95
857	101
857.2	94
857.4	100
857.6	95
857.8	93
858	90
858.2	89
858.4	85
858.6	90
858.8	89
859	88
859.2	86
859.4	81
859.6	80
859.8	83
860	85
860.2	81
860.4	80
860.6	82
860.8	83
861	88
861.2	81
861.4	80
861.6	81
861.8	84
862	83
862.2	78
862.4	79
862.6	77
862.8	83
863	85
863.2	78
863.4	76
863.6	78
863.8	79
864	79
864.2	77
864.4	80
864.6	74
864.8	84
865	80
865.2	86
865.4	84
865.6	87
865.8	92
866	93
866.2	101
866.4	96
866.6	92
866.8	102
867	102
867.2	107
867.4	108
867.6	105
867.8	108
868	108
868.2	118
868.4	116
868.6	121
868.8	134
869	132
869.2	133
869.4	136
869.6	143
869.8	150
870	151
870.2	158
870.4	156
870.6	162
870.8	176
871	183
871.2	186
871.4	195
871.6	196
871.8	198
872	214
872.2	215
872.4	219
872.6	229
872.8	234
873	245
873.2	256
873.4	257
873.6	271
873.8	275
874	289
874.2	296
874.4	306
874.6	313
874.8	316
875	328
875.2	345
875.4	348
875.6	356
875.8	365
876	387
876.2	391
876.4	403
876.6	413
876.8	415
877	425
877.2	441
877.4	452
877.6	462
877.8	469
878	473
878.2	484
878.4	498
878.6	501
878.8	507
879	509
879.2	521
879.4	531
879.6	541
879.8	553
880	551
880.2	555
880.4	569
880.6	576
880.8	576
881	583
881.2	595
881.4	598
881.6	601
881.8	607
882	608
882.2	602
882.4	609
882.6	617
882.8	616
883	616
883.2	623
883.4	653
883.6	667
883.8	666
884	666
884.2	659
884.4	654
884.6	654
884.8	662
885	655
885.2	651
885.4	649
885.6	645
885.8	649
886	644
886.2	643
886.4	637
886.6	628
886.8	629
887	626
887.2	619
887.4	613
887.6	607
887.8	601
888	606
888.2	603
888.4	601
888.6	598
888.8	594
889	596
889.2	595
889.4	593
889.6	589
889.8	589
890	581
890.2	579
890.4	574
890.6	562
890.8	562
891	560
891.2	561
891.4	558
891.6	553
891.8	547
892	549
892.2	549
892.4	546
892.6	543
892.8	540
893	533
893.2	527
893.4	523
893.6	522
893.8	518
894	511
894.2	504
894.4	504
894.6	503
894.8	496
895	487
895.2	479
895.4	470
895.6	471
895.8	458
896	453
896.2	437
896.4	422
896.6	418
896.8	406
897	398
897.2	390
897.4	373
897.6	364
897.8	350
898	347
898.2	336
898.4	325
898.6	315
898.8	300
899	286
899.2	273
899.4	263
899.6	255
899.8	242
900	233
900.2	225
900.4	219
900.6	207
900.8	195
901	188
901.2	184
901.4	174
901.6	170
901.8	164
902	154
902.2	154
902.4	149
902.6	149
902.8	142
903	138
903.2	133
903.4	132
903.6	135
903.8	129
904	127
904.2	124
904.4	126
904.6	127
904.8	126
905	123
905.2	122
905.4	122
905.6	124
905.8	124
906	121
906.2	123
906.4	127
906.6	125
906.8	131
907	132
907.2	126
907.4	131
907.6	134
907.8	137
908	139
908.2	135
908.4	134
908.6	134
908.8	140
909	146
909.2	140
909.4	146
909.6	151
909.8	153
910	152
910.2	152
910.4	155
910.6	160
910.8	165
911	166
911.2	168
911.4	173
911.6	169
911.8	172
912	176
912.2	183
912.4	184
912.6	185
912.8	188
913	191
913.2	193
913.4	193
913.6	192
913.8	204
914	196
914.2	199
914.4	199
914.6	199
914.8	202
915	204
915.2	211
915.4	214
915.6	212
915.8	223
916	221
916.2	230
916.4	232
916.6	231
916.8	234
917	229
917.2	241
917.4	245
917.6	252
917.8	253
918	255
918.2	259
918.4	267
918.6	273
918.8	281
919	282
919.2	286
919.4	292
919.6	296
919.8	302
920	305
920.2	312
920.4	307
920.6	311
920.8	316
921	313
921.2	319
921.4	315
921.6	314
921.8	318
922	314
922.2	315
922.4	320
922.6	319
922.8	321
923	315
923.2	316
923.4	309
923.6	309
923.8	298
924	295
924.2	291
924.4	278
924.6	278
924.8	267
925	267
925.2	265
925.4	260
925.6	255
925.8	254
926	252
926.2	249
926.4	248
926.6	246
926.8	232
927	232
927.2	224
927.4	224
927.6	218
927.8	215
928	210
928.2	211
928.4	209
928.6	209
928.8	205
929	202
929.2	199
929.4	194
929.6	190
929.8	183
930	185
930.2	175
930.4	173
930.6	167
930.8	164
931	159
931.2	153
931.4	153
931.6	155
931.8	153
932	149
932.2	146
932.4	146
932.6	139
932.8	141
933	142
933.2	135
933.4	138
933.6	134
