# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YAG (Ho:Y3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by TLL on 16 August 1988 and was 
# annotated on 17 August 1988.  The sample name was "" was a 4.8400
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 1700 to 2250nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PE-3600 = 003T25.SP ON PC = 003T0025.SP NO_POINTS = 2751. pts DATA_INTV = .000200 æm MIN_LAMBDA = 1.700000 æm MIN_DATA = .00050 MAX_LAMBDA = 2.250000 æm MAX_DATA = 12600.00 SCANSPEED = .03000000 æm/min SLITWIDTH= .00020 æmITA = 0. RESP = .500 sec ISMS = 0. DATE=88/08/16 INST = 509. ? = 0.
#
##Wavelength (nm)	Absorbance (/meter) 
1700	83
1700.2	89
1700.4	92
1700.6	90
1700.8	92
1701	89
1701.2	89
1701.4	89
1701.6	87
1701.8	85
1702	79
1702.2	84
1702.4	82
1702.6	83
1702.8	80
1703	79
1703.2	80
1703.4	79
1703.6	83
1703.8	84
1704	87
1704.2	87
1704.4	90
1704.6	91
1704.8	91
1705	87
1705.2	88
1705.4	88
1705.6	88
1705.8	93
1706	89
1706.2	87
1706.4	86
1706.6	86
1706.8	86
1707	82
1707.2	78
1707.4	74
1707.6	85
1707.8	83
1708	87
1708.2	90
1708.4	90
1708.6	93
1708.8	93
1709	97
1709.2	97
1709.4	91
1709.6	93
1709.8	93
1710	95
1710.2	97
1710.4	97
1710.6	89
1710.8	90
1711	92
1711.2	88
1711.4	86
1711.6	82
1711.8	82
1712	84
1712.2	89
1712.4	93
1712.6	94
1712.8	95
1713	95
1713.2	100
1713.4	98
1713.6	96
1713.8	92
1714	95
1714.2	97
1714.4	97
1714.6	94
1714.8	87
1715	89
1715.2	83
1715.4	84
1715.6	84
1715.8	84
1716	87
1716.2	85
1716.4	91
1716.6	95
1716.8	99
1717	95
1717.2	92
1717.4	95
1717.6	96
1717.8	97
1718	96
1718.2	94
1718.4	95
1718.6	92
1718.8	92
1719	93
1719.2	88
1719.4	94
1719.6	93
1719.8	92
1720	93
1720.2	94
1720.4	96
1720.6	98
1720.8	103
1721	108
1721.2	103
1721.4	103
1721.6	97
1721.8	103
1722	107
1722.2	101
1722.4	99
1722.6	96
1722.8	97
1723	99
1723.2	103
1723.4	103
1723.6	99
1723.8	95
1724	98
1724.2	101
1724.4	101
1724.6	100
1724.8	102
1725	105
1725.2	108
1725.4	107
1725.6	95
1725.8	100
1726	101
1726.2	102
1726.4	99
1726.6	97
1726.8	97
1727	99
1727.2	100
1727.4	97
1727.6	99
1727.8	97
1728	96
1728.2	96
1728.4	104
1728.6	103
1728.8	103
1729	106
1729.2	108
1729.4	110
1729.6	112
1729.8	111
1730	108
1730.2	109
1730.4	106
1730.6	113
1730.8	112
1731	110
1731.2	108
1731.4	111
1731.6	115
1731.8	115
1732	108
1732.2	107
1732.4	107
1732.6	111
1732.8	115
1733	111
1733.2	114
1733.4	113
1733.6	117
1733.8	115
1734	116
1734.2	120
1734.4	115
1734.6	118
1734.8	115
1735	115
1735.2	116
1735.4	109
1735.6	115
1735.8	110
1736	111
1736.2	114
1736.4	109
1736.6	110
1736.8	110
1737	111
1737.2	112
1737.4	108
1737.6	112
1737.8	109
1738	114
1738.2	119
1738.4	119
1738.6	115
1738.8	113
1739	113
1739.2	114
1739.4	114
