# Optical emission spectrum of Ho:Y3Al5O12 (Ho:Y3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by GA on 15 January 1994 and was 
# annotated on  4 April 1995.  The sample name was "" was a 9.990
# long piece of :.  
# The incident light was horizontally polarized.
#
# Spectra were recorded from 1750nm to 2199.7nm
# every 0.1nm at room temperature.  The
# excitation wavelength was 633nm.
#
# SOURCE POLARIZATION IS HORIZONTAL, SLIT WIDTH IS 2000 MICRONS.
#
##Wavelength (nm)	Absorbance (/meter) 
1750	0
1750.1	0
1750.2	0
1750.3	0.000955720833693678
1750.4	0
1750.5	0
1750.6	0.00292008994205656
1750.7	0
1750.8	0
1750.9	0
1751	0
1751.1	0
1751.2	0
1751.3	0
1751.4	0
1751.5	0
1751.6	0
1751.7	0
1751.8	0
1751.9	0
1752	0.00302447461731385
1752.1	0
1752.2	0
1752.3	0
1752.4	0
1752.5	0.00310230908933668
1752.6	0.00193115973363314
1752.7	0.000694984000691862
1752.8	0
1752.9	0
1753	0
1753.1	0
1753.2	0
1753.3	0
1753.4	0
1753.5	0.0034103606330537
1753.6	0
1753.7	0
1753.8	0.0031161463288074
1753.9	0.00186638415636081
1754	0
1754.1	0
1754.2	0
1754.3	0
1754.4	0
1754.5	0
1754.6	0
1754.7	0
1754.8	0
1754.9	0
1755	0
1755.1	0
1755.2	0
1755.3	0
1755.4	0
1755.5	0
1755.6	0
1755.7	0
1755.8	0
1755.9	0.00240845801262648
1756	0
1756.1	0
1756.2	0
1756.3	0
1756.4	0
1756.5	0
1756.6	0.00612756205137075
1756.7	6.76649658393151e-05
1756.8	0
1756.9	0
1757	0
1757.1	0
1757.2	0
1757.3	0
1757.4	0
1757.5	0
1757.6	0
1757.7	0
1757.8	0
1757.9	0
1758	0.00557502378275534
1758.1	0.00201478854968434
1758.2	0
1758.3	0
1758.4	0
1758.5	0
1758.6	0
1758.7	0
1758.8	0
1758.9	0
1759	0
1759.1	0
1759.2	0.00117815445818559
1759.3	0
1759.4	0
1759.5	0
1759.6	0
1759.7	0.000983395312635129
