# Optical emission spectrum of Ho:Y3Al5O12 (Ho:Y3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by GA on 15 October 1993 and was 
# annotated on  6 April 1995.  The sample name was "" was a 9.990
# long piece of :.  
# The incident light was horizontally polarized.
#
# Spectra were recorded from 850.3nm to 949.8nm
# every 0.1nm at room temperature.  The
# excitation wavelength was 633nm.
#
# SLIT WIDTH IS 3000 MICRONS, RADIATIVE LIFETIME OF 7 MSEC WAS USED TO CALCULATE EMISSION CROSS-SECTION. DETECTOR: Ag-O-Cs (750).
#
##Wavelength (nm)	Absorbance (/meter) 
850.3	0.00398825552825553
850.4	0
850.5	0
850.6	0
850.7	0
850.8	0.0111076167076167
850.9	0.015807371007371
851	0.0255444717444717
851.1	0.0217046683046683
851.2	0.0402054054054054
851.3	0.0413685503685504
851.4	0.0489120393120393
851.5	0.0318692874692875
851.6	0.0162781326781327
851.7	0.00666830466830467
851.8	0.00564619164619165
851.9	0.0144638820638821
852	0.0339277641277641
852.1	0.0453199017199017
852.2	0.0604275184275184
852.3	0.0738329238329238
852.4	0.0850663390663391
852.5	0.0926093366093366
852.6	0.0953316953316953
852.7	0.0726633906633907
852.8	0.0535331695331695
852.9	0.0219896805896806
853	0.00475076167076167
853.1	0
853.2	0
853.3	0
853.4	0
853.5	0
853.6	0
853.7	0
853.8	0
853.9	0.0048777886977887
854	0.00357523341523342
854.1	0.0121076167076167
854.2	0.025763144963145
854.3	0.0222727272727273
854.4	0.026604914004914
854.5	0.0485223587223587
854.6	0.045804914004914
854.7	0.046839312039312
854.8	0.057985257985258
854.9	0.0582702702702703
855	0.0460584766584767
855.1	0.0378186732186732
855.2	0.0299213759213759
855.3	0.0217484029484029
855.4	0.0322334152334152
855.5	0.0300751842751843
855.6	0.0221371007371007
855.7	0.00831941031941032
855.8	0
855.9	0
856	0
856.1	0.01182457002457
856.2	0.0376692874692875
856.3	0.0282191646191646
856.4	0.00768353808353808
856.5	0
856.6	0
856.7	0
856.8	0
856.9	0
857	0
857.1	0
857.2	0
857.3	0
857.4	0
857.5	0
857.6	0
857.7	0
857.8	0
857.9	0
858	0.00781326781326781
858.1	0.00782113022113022
858.2	0.00696314496314496
858.3	0.0205837837837838
858.4	0.0216589680589681
858.5	0.00575429975429975
858.6	0
858.7	0
858.8	0
858.9	0
859	0
859.1	0
859.2	0
859.3	0.00222570024570025
859.4	0.0209862407862408
859.5	0.0271783783783784
859.6	0.019955773955774
859.7	0
859.8	0
859.9	0
860	0
860.1	0
860.2	0
860.3	0
860.4	0.0074009828009828
860.5	0.00742604422604423
860.6	0
860.7	0
860.8	0
860.9	0
861	0
861.1	0
861.2	0
861.3	0.01097542997543
861.4	0.0281262899262899
861.5	0.0331562653562654
861.6	0.0265474201474201
861.7	0.0148555282555283
861.8	0.0207316953316953
861.9	0.0368987714987715
862	0.0611056511056511
862.1	0.0779164619164619
862.2	0.0728353808353808
862.3	0.0617395577395577
862.4	0.0455292383292383
862.5	0.0269597051597052
862.6	0.0160835380835381
862.7	0.013995085995086
862.8	0.0104506142506143
862.9	0.0184668304668305
863	0.0213685503685504
863.1	0.0236103194103194
863.2	0.0286884520884521
863.3	0.0347523341523342
863.4	0.0337665847665848
863.5	0.0256683046683047
863.6	0.0130565110565111
863.7	0.00394132678132678
863.8	0
863.9	0
864	0
864.1	0.00432599508599509
864.2	0.0226422604422604
864.3	0.0382668304668305
