# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YLF (Ho:LiYF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on 27 April 1993 and was 
# annotated on 27 April 1993.  The sample name was "" was a 4.9200
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 620 to 670nm
# every 0.1nm at room temperature.
#
# FILE NAME ON PC = BR256.SP NO_POINTS = 501. pts DATA_INTV = .000100 æm MIN_LAMBDA = .620000 æm MIN_DATA = .72010 MAX_LAMBDA = .670000 æm MAX_DATA = .92870 SCANSPEED = 15.000000 NM/MIN SLITWIDTH= .20000 NM RESP TIME = .5 sec SENSITIVITY = 5 DATE=93/04/27 OSU SAMPLE--CONC CORRECTED .44%.
#
##Wavelength (nm)	Absorbance (/meter) 
620	166
620.1	242
620.2	1
620.3	227
620.4	1
620.5	46
620.6	398
620.7	333
620.8	353
620.9	449
621	272
621.1	141
621.2	510
621.3	262
621.4	26
621.5	192
621.6	277
621.7	318
621.8	464
621.9	398
622	152
622.1	338
622.2	545
622.3	424
622.4	535
622.5	429
622.6	207
622.7	444
622.8	172
622.9	51
623	480
623.1	338
623.2	167
623.3	253
623.4	258
623.5	581
623.6	601
623.7	708
623.8	460
623.9	233
624	217
624.1	248
624.2	182
624.3	238
624.4	465
624.5	182
624.6	238
624.7	546
624.8	480
624.9	142
625	253
625.1	384
625.2	369
625.3	183
625.4	430
625.5	203
625.6	208
625.7	233
625.8	163
625.9	541
626	138
626.1	344
626.2	268
626.3	440
626.4	405
626.5	349
626.6	415
626.7	425
626.8	98
626.9	486
627	541
627.1	253
627.2	811
627.3	248
627.4	420
627.5	365
627.6	587
627.7	314
627.8	623
627.9	674
628	602
628.1	279
628.2	173
628.3	410
628.4	350
628.5	826
628.6	461
628.7	522
628.8	694
628.9	577
629	436
629.1	730
629.2	234
629.3	598
629.4	481
629.5	710
629.6	214
629.7	174
629.8	486
629.9	446
630	451
630.1	1016
630.2	300
630.3	335
630.4	441
630.5	583
630.6	689
630.7	325
630.8	771
630.9	431
631	624
631.1	487
631.2	492
631.3	761
631.4	659
631.5	487
631.6	634
631.7	598
631.8	467
631.9	532
632	894
632.1	462
632.2	981
632.3	725
632.4	260
632.5	436
632.6	528
632.7	614
632.8	594
632.9	487
633	462
633.1	502
633.2	930
633.3	1001
633.4	644
633.5	650
633.6	604
633.7	568
633.8	879
633.9	935
634	976
634.1	1001
634.2	1027
634.3	731
634.4	777
634.5	1022
634.6	930
634.7	935
634.8	752
634.9	879
635	910
635.1	1027
635.2	691
635.3	625
635.4	1222
635.5	1192
635.6	1130
635.7	1269
635.8	946
635.9	1325
636	1089
636.1	1233
636.2	1012
636.3	1233
636.4	1408
636.5	1331
636.6	1331
636.7	1351
636.8	1362
636.9	1475
637	1382
637.1	1828
637.2	1563
637.3	1631
637.4	1787
637.5	1657
637.6	2079
637.7	2247
637.8	2216
637.9	2268
638	2490
638.1	2840
638.2	2989
638.3	3086
638.4	3403
638.5	3630
638.6	4356
638.7	5032
638.8	5138
638.9	6203
639	7646
639.1	8904
639.2	10166
639.3	11412
639.4	11437
639.5	10284
639.6	9123
639.7	7859
639.8	6913
639.9	6163
640	5753
640.1	5566
640.2	5589
640.3	5290
640.4	4732
640.5	4301
640.6	4241
640.7	3956
640.8	3934
640.9	3603
641	3376
641.1	3274
641.2	3151
641.3	3333
641.4	3452
641.5	3625
641.6	4555
641.7	5257
641.8	6267
641.9	7688
642	8965
642.1	10719
642.2	11374
642.3	11329
642.4	10776
642.5	10091
642.6	9191
642.7	7777
642.8	6549
642.9	5128
643	4379
643.1	3226
643.2	3199
643.3	2380
643.4	2322
643.5	2312
643.6	1695
643.7	1778
643.8	1436
643.9	1757
644	1783
644.1	1632
644.2	1690
644.3	1887
644.4	2055
644.5	1966
644.6	2291
644.7	2228
644.8	1841
644.9	1992
645	2018
645.1	2018
645.2	2613
645.3	2852
645.4	2687
645.5	2788
645.6	2863
645.7	2375
645.8	2186
645.9	2439
646	2534
646.1	2592
646.2	2381
646.3	2244
646.4	2555
646.5	1992
646.6	2376
646.7	2402
646.8	2386
646.9	3157
647	3686
647.1	3849
647.2	3313
647.3	3072
647.4	2842
647.5	2371
647.6	2019
647.7	1732
647.8	1328
647.9	1540
648	1462
648.1	1581
648.2	1297
648.3	1076
648.4	1261
648.5	1035
648.6	969
648.7	1036
648.8	801
648.9	1148
649	1442
649.1	984
649.2	852
649.3	1195
649.4	1092
649.5	1138
649.6	1087
649.7	1287
649.8	1308
649.9	1082
650	1072
650.1	1391
650.2	1303
650.3	1618
650.4	1453
650.5	1608
650.6	1422
650.7	1707
650.8	2009
650.9	1701
651	1952
651.1	2061
651.2	2303
651.3	2816
651.4	2414
651.5	2758
651.6	2726
651.7	2488
651.8	2689
651.9	2641
652	2525
652.1	2445
652.2	2472
652.3	2366
652.4	2119
652.5	2356
652.6	1900
652.7	2193
652.8	2546
652.9	2409
653	2125
653.1	2245
653.2	1931
653.3	1978
653.4	2267
653.5	2451
653.6	2282
653.7	2351
653.8	2870
653.9	3250
654	3052
654.1	3309
654.2	3829
654.3	4315
654.4	4359
654.5	4260
654.6	3315
654.7	3266
654.8	3234
654.9	2854
655	2568
655.1	2828
655.2	2356
655.3	2057
655.4	2451
655.5	1853
655.6	2473
655.7	2246
655.8	2241
655.9	2420
656	3084
656.1	3471
656.2	3954
656.3	3856
656.4	3661
656.5	3758
656.6	3542
656.7	3818
656.8	3434
656.9	3862
657	4184
657.1	4129
657.2	4514
657.3	4343
657.4	4830
657.5	4542
657.6	4531
657.7	5042
657.8	4658
657.9	5305
658	4925
658.1	5587
658.2	5547
658.3	5514
658.4	5154
658.5	4531
658.6	4004
658.7	3106
658.8	2531
658.9	2600
659	1792
659.1	1599
659.2	1615
659.3	1233
659.4	1243
659.5	941
659.6	1166
659.7	1028
659.8	671
659.9	772
660	895
660.1	483
660.2	900
660.3	493
660.4	803
660.5	564
660.6	226
660.7	498
660.8	438
660.9	251
661	296
661.1	488
661.2	569
661.3	635
661.4	196
661.5	276
661.6	661
661.7	40
661.8	266
661.9	377
662	560
662.1	191
662.2	388
662.3	20
662.4	322
662.5	241
662.6	246
662.7	141
662.8	438
662.9	257
663	388
663.1	166
663.2	171
663.3	1
663.4	51
663.5	191
663.6	378
663.7	287
663.8	363
663.9	530
664	136
664.1	267
664.2	358
664.3	267
664.4	176
664.5	469
664.6	86
664.7	176
664.8	182
664.9	373
665	232
665.1	368
665.2	16
665.3	71
665.4	116
665.5	217
665.6	292
665.7	242
665.8	11
665.9	66
666	162
666.1	81
666.2	192
666.3	106
666.4	505
666.5	288
666.6	434
666.7	267
666.8	257
666.9	343
667	1
667.1	1
667.2	1
667.3	464
667.4	157
667.5	1
667.6	227
667.7	328
667.8	177
667.9	237
668	647
668.1	253
668.2	147
668.3	222
668.4	212
668.5	243
668.6	268
668.7	399
668.8	434
668.9	1
669	273
669.1	233
669.2	293
669.3	233
669.4	576
669.5	208
669.6	152
669.7	354
669.8	551
669.9	1
670	152
