# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YLF (Ho:LiYF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on 23 August 1993 and was 
# annotated on  8 September 1993.  The sample name was "" was a 4.6500
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 865 to 935nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PC = BR263.SP NO_POINTS = 351. pts DATA_INTV = .000200 æm MIN_LAMBDA = .865000 æm MIN_DATA = .21080 MAX_LAMBDA = .935000 æm MAX_DATA = .89980 SCANSPEED = 15.000000 NM/MIN SLITWIDTH= .00000 PM RESP TIME = .5 sec SENSITIVITY = 5 DATE=93/08/23 20:21:11 93/08/23 BR263.
#
##Wavelength (nm)	Absorbance (/meter) 
865	71
865.2	75
865.4	72
865.6	62
865.8	68
866	72
866.2	69
866.4	67
866.6	74
866.8	79
867	76
867.2	67
867.4	87
867.6	79
867.8	75
868	76
868.2	78
868.4	75
868.6	75
868.8	85
869	70
869.2	64
869.4	80
869.6	89
869.8	81
870	73
870.2	72
870.4	82
870.6	82
870.8	69
871	76
871.2	67
871.4	77
871.6	77
871.8	90
872	81
872.2	75
872.4	74
872.6	94
872.8	82
873	81
873.2	71
873.4	80
873.6	82
873.8	71
874	76
874.2	90
874.4	88
874.6	92
874.8	88
875	79
875.2	86
875.4	85
875.6	81
875.8	83
876	85
876.2	76
876.4	89
876.6	85
876.8	85
877	81
877.2	96
877.4	105
877.6	87
877.8	88
878	83
878.2	90
878.4	97
878.6	85
878.8	93
879	94
879.2	92
879.4	93
879.6	99
879.8	111
880	90
880.2	117
880.4	104
880.6	116
880.8	99
881	117
881.2	127
881.4	111
881.6	118
881.8	115
882	120
882.2	137
882.4	128
882.6	136
882.8	149
883	150
883.2	168
883.4	189
883.6	177
883.8	225
884	239
884.2	299
884.4	334
884.6	382
884.8	416
885	410
885.2	397
885.4	345
885.6	329
885.8	318
886	339
886.2	342
886.4	411
886.6	482
886.8	592
887	763
887.2	1046
887.4	1283
887.6	1407
887.8	1327
888	1137
888.2	904
888.4	796
888.6	763
888.8	740
889	751
889.2	763
889.4	846
889.6	988
889.8	1205
890	1458
890.2	1645
890.4	1763
890.6	1811
890.8	1922
891	2083
891.2	2354
891.4	2600
891.6	2600
891.8	2233
892	1761
892.2	1312
892.4	975
892.6	746
892.8	570
893	529
893.2	425
893.4	383
893.6	360
893.8	318
894	285
894.2	292
894.4	289
894.6	312
894.8	347
895	349
895.2	357
895.4	351
895.6	384
895.8	481
896	495
896.2	562
896.4	511
896.6	461
896.8	401
897	309
897.2	261
897.4	242
897.6	213
897.8	183
898	167
898.2	147
898.4	153
898.6	163
898.8	142
899	141
899.2	156
899.4	136
899.6	133
899.8	126
900	143
900.2	150
900.4	138
900.6	141
900.8	141
901	143
901.2	122
901.4	147
901.6	147
901.8	127
902	127
902.2	134
902.4	133
902.6	146
902.8	129
903	127
903.2	136
903.4	142
903.6	139
903.8	142
904	119
904.2	115
904.4	115
904.6	108
904.8	147
905	145
905.2	126
905.4	144
905.6	186
905.8	158
906	177
906.2	178
906.4	215
906.6	241
906.8	237
907	242
907.2	248
907.4	251
907.6	272
907.8	263
908	255
908.2	275
908.4	274
908.6	347
908.8	370
909	371
909.2	415
909.4	467
909.6	518
909.8	529
910	540
910.2	522
910.4	481
910.6	455
910.8	400
911	371
911.2	373
911.4	366
911.6	394
911.8	386
912	403
912.2	454
912.4	551
912.6	672
912.8	813
913	1015
913.2	1149
913.4	1325
913.6	1347
913.8	1423
914	1409
914.2	1341
914.4	1270
914.6	1168
914.8	1082
915	970
915.2	920
915.4	816
915.6	814
915.8	804
916	801
916.2	818
916.4	832
916.6	760
916.8	685
917	666
917.2	588
917.4	541
917.6	452
917.8	396
918	364
918.2	323
918.4	257
918.6	218
918.8	182
919	208
919.2	199
919.4	194
919.6	149
919.8	115
920	138
920.2	124
920.4	124
920.6	113
920.8	120
921	79
921.2	113
921.4	75
921.6	101
921.8	77
922	106
922.2	104
922.4	75
922.6	99
922.8	57
923	69
923.2	44
923.4	80
923.6	72
923.8	69
924	33
924.2	87
924.4	84
924.6	99
924.8	72
925	101
925.2	87
925.4	76
925.6	62
925.8	67
926	47
926.2	17
926.4	44
926.6	70
926.8	107
927	52
927.2	77
927.4	42
927.6	52
927.8	22
928	70
928.2	49
928.4	46
928.6	92
928.8	18
929	15
929.2	83
929.4	43
929.6	73
929.8	58
930	49
930.2	63
930.4	17
930.6	23
930.8	50
931	63
931.2	17
931.4	52
931.6	58
931.8	26
932	28
932.2	66
932.4	51
932.6	65
932.8	79
933	25
933.2	46
933.4	23
933.6	29
933.8	77
934	64
934.2	37
934.4	64
934.6	56
934.8	59
935	1
