# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YLF (Ho:LiYF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on 27 April 1993 and was 
# annotated on 27 April 1993.  The sample name was "" was a 4.9200
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 1125 to 1225nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PC = BR254.SP NO_POINTS = 501. pts DATA_INTV = .000200 æm MIN_LAMBDA = 1.125000 æm MIN_DATA = .81920 MAX_LAMBDA = 1.225000 æm MAX_DATA = .94260 SCANSPEED = 15.000000 NM/MIN SLITWIDTH= .00000 æm RESP TIME = .5 sec SENSITIVITY = 5 DATE=93/04/27 OSU SAMPLE--CONC CORRECTED .44%.
#
##Wavelength (nm)	Absorbance (/meter) 
1125	193
1125.2	99
1125.4	69
1125.6	391
1125.8	143
1126	148
1126.2	460
1126.4	163
1126.6	292
1126.8	133
1127	138
1127.2	351
1127.4	391
1127.6	163
1127.8	287
1128	188
1128.2	183
1128.4	565
1128.6	203
1128.8	45
1129	500
1129.2	1
1129.4	173
1129.6	183
1129.8	183
1130	376
1130.2	381
1130.4	60
1130.6	183
1130.8	183
1131	188
1131.2	342
1131.4	1
1131.6	1
1131.8	307
1132	50
1132.2	282
1132.4	159
1132.6	50
1132.8	347
1133	511
1133.2	401
1133.4	550
1133.6	426
1133.8	164
1134	367
1134.2	526
1134.4	615
1134.6	785
1134.8	223
1135	352
1135.2	755
1135.4	590
1135.6	910
1135.8	690
1136	466
1136.2	775
1136.4	755
1136.6	805
1136.8	941
1137	695
1137.2	690
1137.4	860
1137.6	1112
1137.8	1082
1138	1370
1138.2	1056
1138.4	1354
1138.6	1466
1138.8	1329
1139	1654
1139.2	1552
1139.4	1405
1139.6	1828
1139.8	1884
1140	2023
1140.2	2327
1140.4	2618
1140.6	2754
1140.8	3432
1141	3896
1141.2	4180
1141.4	4364
1141.6	4277
1141.8	4089
1142	3987
1142.2	3955
1142.4	3544
1142.6	3210
1142.8	2895
1143	2749
1143.2	2660
1143.4	2749
1143.6	2488
1143.8	2044
1144	1916
1144.2	1639
1144.4	1553
1144.6	1319
1144.8	1183
1145	901
1145.2	1027
1145.4	1132
1145.6	1289
1145.8	1112
1146	956
1146.2	941
1146.4	1102
1146.6	1168
1146.8	1213
1147	1158
1147.2	1289
1147.4	1462
1147.6	1325
1147.8	1665
1148	1650
1148.2	1446
1148.4	1416
1148.6	1518
1148.8	1778
1149	1962
1149.2	2008
1149.4	2106
1149.6	2375
1149.8	2985
1150	3725
1150.2	4235
1150.4	4435
1150.6	5035
1150.8	5326
1151	5614
1151.2	5737
1151.4	5343
1151.6	5084
1151.8	5354
1152	5431
1152.2	6117
1152.4	6297
1152.6	6235
1152.8	5893
1153	5326
1153.2	4630
1153.4	4500
1153.6	3832
1153.8	3301
1154	3143
1154.2	2807
1154.4	3074
1154.6	3180
1154.8	2802
1155	2749
1155.2	2385
1155.4	2282
1155.6	2479
1155.8	2313
1156	2040
1156.2	2024
1156.4	1922
1156.6	1881
1156.8	2158
1157	1483
1157.2	1442
1157.4	1406
1157.6	1048
1157.8	1315
1158	1539
1158.2	1478
1158.4	1396
1158.6	1753
1158.8	1876
1159	2225
1159.2	2547
1159.4	2599
1159.6	2896
1159.8	2495
1160	2526
1160.2	2672
1160.4	2267
1160.6	2066
1160.8	1963
1161	1544
1161.2	1860
1161.4	1994
1161.6	1753
1161.8	1529
1162	1230
1162.2	1008
1162.4	1386
1162.6	1048
1162.8	802
1163	968
1163.2	752
1163.4	672
1163.6	922
1163.8	867
1164	697
1164.2	782
1164.4	374
1164.6	568
1164.8	812
1165	463
1165.2	364
1165.4	374
1165.6	329
1165.8	578
1166	389
1166.2	131
1166.4	538
1166.6	1
1166.8	428
1167	717
1167.2	349
1167.4	503
1167.6	543
1167.8	245
1168	568
1168.2	742
1168.4	404
1168.6	558
1168.8	453
1169	310
1169.2	643
1169.4	733
1169.6	493
1169.8	723
1170	349
1170.2	513
1170.4	768
1170.6	379
1170.8	593
1171	648
1171.2	290
1171.4	673
1171.6	598
1171.8	473
1172	538
1172.2	389
1172.4	459
1172.6	643
1172.8	548
1173	493
1173.2	543
1173.4	97
1173.6	558
1173.8	668
1174	389
1174.2	653
1174.4	449
1174.6	300
1174.8	518
1175	499
1175.2	340
1175.4	598
1175.6	489
1175.8	275
1176	713
1176.2	464
1176.4	593
1176.6	524
1176.8	399
1177	424
1177.2	663
1177.4	494
1177.6	693
1177.8	618
1178	554
1178.2	539
1178.4	514
1178.6	598
1178.8	663
1179	246
1179.2	549
