# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YLF (Ho:LiYF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by unk on 26 February 1993 and was 
# annotated on 26 February 1993.  The sample name was "" was a 4.9200
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 1850 to 2100nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PC = BR251.SP NO_POINTS = 1251. pts DATA_INTV = .000200 æm MIN_LAMBDA = 1.850000 æm MIN_DATA = .76470 MAX_LAMBDA = 2.100000 æm MAX_DATA = .91730 SCANSPEED = 15.000000 NM/MIN SLITWIDTH= .00000 æm RESP TIME = .5 sec SENSITIVITY = 5 DATE=93/02/26 15:28:42 93/02/26 BR251.
#
##Wavelength (nm)	Absorbance (/meter) 
1850	1
1850.2	1
1850.4	1
1850.6	1
1850.8	28
1851	104
1851.2	1
1851.4	3
1851.6	78
1851.8	1
1852	1
1852.2	68
1852.4	1
1852.6	1
1852.8	1
1853	1
1853.2	1
1853.4	1
1853.6	1
1853.8	1
1854	1
1854.2	1
1854.4	1
1854.6	1
1854.8	1
1855	1
1855.2	1
1855.4	14
1855.6	4
1855.8	136
1856	80
1856.2	1
1856.4	64
1856.6	79
1856.8	1
1857	1
1857.2	1
1857.4	1
1857.6	1
1857.8	1
1858	37
1858.2	58
1858.4	1
1858.6	57
1858.8	93
1859	72
1859.2	1
1859.4	1
1859.6	1
1859.8	1
1860	1
1860.2	1
1860.4	51
1860.6	1
1860.8	182
1861	243
1861.2	274
1861.4	233
1861.6	166
1861.8	1
1862	14
1862.2	1
1862.4	1
1862.6	1
1862.8	1
1863	109
1863.2	53
1863.4	68
1863.6	200
1863.8	7
1864	134
1864.2	174
1864.4	78
1864.6	37
1864.8	52
1865	42
1865.2	133
1865.4	112
1865.6	127
1865.8	117
1866	249
1866.2	208
1866.4	254
1866.6	40
1866.8	106
1867	1
1867.2	1
1867.4	90
1867.6	24
1867.8	75
1868	80
1868.2	1
1868.4	23
1868.6	155
1868.8	74
1869	150
1869.2	23
1869.4	68
1869.6	73
1869.8	2
1870	73
1870.2	1
1870.4	32
1870.6	57
1870.8	82
1871	1
1871.2	62
1871.4	1
1871.6	16
1871.8	61
1872	1
1872.2	259
1872.4	1
1872.6	142
1872.8	1
1873	172
1873.2	126
1873.4	136
1873.6	100
1873.8	1
1874	90
1874.2	90
1874.4	79
1874.6	54
1874.8	114
1875	308
1875.2	211
1875.4	134
1875.6	1
1875.8	1
1876	27
1876.2	1
1876.4	1
1876.6	1
1876.8	1
1877	72
1877.2	189
1877.4	133
1877.6	46
1877.8	229
1878	229
1878.2	1
1878.4	127
1878.6	86
1878.8	116
1879	75
1879.2	85
1879.4	80
1879.6	202
1879.8	207
1880	304
1880.2	161
1880.4	227
1880.6	196
1880.8	33
1881	38
1881.2	1
1881.4	1
1881.6	93
1881.8	58
1882	225
1882.2	215
1882.4	184
1882.6	317
1882.8	230
1883	250
1883.2	57
1883.4	112
1883.6	204
1883.8	132
1884	249
1884.2	157
1884.4	274
1884.6	218
1884.8	361
1885	447
1885.2	289
1885.4	381
1885.6	289
1885.8	263
1886	441
1886.2	283
1886.4	364
1886.6	267
1886.8	288
1887	441
1887.2	440
1887.4	533
1887.6	584
1887.8	522
1888	553
1888.2	619
1888.4	604
1888.6	830
1888.8	747
1889	783
1889.2	881
1889.4	809
1889.6	881
1889.8	896
1890	849
1890.2	1046
1890.4	1212
1890.6	1009
1890.8	1180
1891	1118
1891.2	1352
1891.4	1399
1891.6	1467
1891.8	1508
1892	1629
1892.2	1608
1892.4	2051
1892.6	1923
1892.8	2071
1893	2119
1893.2	1928
1893.4	2018
1893.6	2214
1893.8	2166
1894	2118
1894.2	2267
1894.4	2198
1894.6	2213
1894.8	2133
1895	1921
1895.2	1921
1895.4	1736
1895.6	1868
1895.8	1884
1896	1773
1896.2	1862
1896.4	1772
1896.6	1709
1896.8	1936
1897	1793
1897.2	1856
1897.4	1845
1897.6	1787
1897.8	1871
1898	2163
1898.2	2141
1898.4	2322
1898.6	2221
1898.8	2220
1899	2519
1899.2	2348
1899.4	2476
1899.6	2316
1899.8	2188
1900	2337
1900.2	2150
1900.4	1954
1900.6	1917
1900.8	1658
1901	1658
1901.2	1842
1901.4	1621
1901.6	1542
1901.8	1621
1902	1374
1902.2	1337
1902.4	1322
1902.6	1186
1902.8	1300
1903	1274
1903.2	1342
1903.4	1326
1903.6	1206
1903.8	1268
1904	1399
1904.2	1440
1904.4	1597
1904.6	1545
1904.8	1445
1905	1544
1905.2	1492
1905.4	1823
1905.6	1955
1905.8	1907
1906	2135
1906.2	2087
1906.4	2241
1906.6	2347
1906.8	2299
1907	2379
1907.2	2496
1907.4	2394
1907.6	2506
1907.8	2501
1908	2399
1908.2	2330
1908.4	2474
1908.6	2436
1908.8	2484
1909	2645
1909.2	2457
1909.4	2521
1909.6	2574
1909.8	2446
1910	2478
1910.2	2585
1910.4	2617
1910.6	2488
1910.8	2472
1911	2627
1911.2	2627
1911.4	2745
1911.6	2777
1911.8	2793
1912	2976
1912.2	2992
1912.4	3090
1912.6	3214
1912.8	3361
1913	3531
1913.2	3805
1913.4	3876
1913.6	4297
1913.8	4336
1914	4560
1914.2	4694
1914.4	4795
1914.6	4947
1914.8	5145
1915	5326
1915.2	5549
1915.4	5818
1915.6	5904
1915.8	5922
1916	6066
1916.2	6089
1916.4	6037
1916.6	5967
1916.8	5978
1917	5782
1917.2	5564
1917.4	5347
1917.6	5467
1917.8	5188
1918	5216
1918.2	4899
1918.4	4629
1918.6	4617
1918.8	4226
1919	4098
1919.2	4004
1919.4	3679
1919.6	3717
1919.8	3547
1920	3601
1920.2	3448
1920.4	3431
1920.6	3409
1920.8	3540
1921	3360
1921.2	3327
1921.4	3387
1921.6	3305
1921.8	3174
1922	3163
1922.2	3185
1922.4	3228
1922.6	3195
1922.8	3233
1923	3325
1923.2	3205
1923.4	3347
1923.6	2966
1923.8	2842
1924	2853
1924.2	2702
1924.4	2626
1924.6	2465
1924.8	2188
1925	2347
1925.2	2481
1925.4	2400
1925.6	2438
1925.8	2405
1926	2416
1926.2	2453
1926.4	2469
1926.6	2341
1926.8	2522
1927	2511
1927.2	2559
