# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YSAG (Ho:Y3Sc2Al3O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on 17 February 1993 and was 
# annotated on 21 February 1993.  The sample name was "" was a 10.500
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 300 to 375nm
# every 0.1nm at room temperature.
#
# FILE NAME ON PC = YSAG7.SP NO_POINTS = 751. pts DATA_INTV = .000100 æm MIN_LAMBDA = .300000 æm MIN_DATA = .12610 MAX_LAMBDA = .375000 æm MAX_DATA = .37620 SCANSPEED = 15.000000 NM/MIN SLITWIDTH= .00000 æm RESP TIME = .5 sec SENSITIVITY = 5 DATE=93/02/17 16:26:36 93/02/17 YSAG7.
#
##Wavelength (nm)	Absorbance (/meter) 
300	7818
300.1	7618
300.2	7406
300.3	7864
300.4	7575
300.5	7600
300.6	7478
300.7	7356
300.8	7062
300.9	7377
301	6898
301.1	6966
301.2	7350
301.3	7462
301.4	6984
301.5	6518
301.6	6598
301.7	6734
301.8	7168
301.9	6590
302	6559
302.1	6310
302.2	6362
302.3	6550
302.4	6303
302.5	6192
302.6	6379
302.7	5909
302.8	6347
302.9	6170
303	6328
303.1	5796
303.2	5978
303.3	6320
303.4	5830
303.5	6209
303.6	6154
303.7	5825
303.8	5927
303.9	5399
304	5385
304.1	5498
304.2	5496
304.3	5445
304.4	4970
304.5	5180
304.6	5278
304.7	5030
304.8	4882
304.9	4833
305	4942
305.1	4700
305.2	4735
305.3	5123
305.4	4485
305.5	4603
305.6	4662
305.7	4250
305.8	4579
305.9	5191
306	4936
306.1	4555
306.2	4756
306.3	4649
306.4	4183
306.5	4356
306.6	4403
306.7	4542
306.8	4218
306.9	4519
307	4207
307.1	3667
307.2	4495
307.3	4588
307.4	4050
307.5	4084
307.6	3861
307.7	3906
307.8	3862
307.9	3818
308	3490
308.1	4143
308.2	3854
308.3	3943
308.4	3635
308.5	3409
308.6	3196
308.7	3736
308.8	3380
308.9	3749
309	2950
309.1	3214
309.2	3514
309.3	2675
309.4	2946
309.5	3083
309.6	3231
309.7	2992
309.8	2777
309.9	2718
310	3247
310.1	2989
310.2	2949
310.3	3304
310.4	2891
310.5	2780
310.6	3079
310.7	2693
310.8	2564
310.9	3022
311	2231
311.1	2431
311.2	2753
311.3	2376
311.4	2260
311.5	2658
311.6	2080
311.7	2044
311.8	2664
311.9	2321
312	2061
312.1	2384
312.2	2192
312.3	2291
312.4	2119
312.5	2325
312.6	2230
312.7	2194
312.8	2110
312.9	2218
313	2144
313.1	2213
313.2	1742
313.3	2037
313.4	1983
313.5	2482
313.6	2016
313.7	1850
313.8	1501
313.9	1799
314	2102
314.1	2066
314.2	1522
314.3	1155
314.4	1656
314.5	1386
314.6	1498
314.7	1583
314.8	1359
314.9	1345
315	1601
315.1	1612
315.2	1973
315.3	1727
315.4	1585
315.5	1570
315.6	1031
315.7	1175
315.8	881
315.9	1076
316	1756
316.1	1039
316.2	1617
316.3	1353
316.4	884
316.5	1218
316.6	1397
316.7	1155
316.8	1359
316.9	1336
317	1078
317.1	671
317.2	1539
317.3	1217
317.4	894
317.5	804
317.6	722
317.7	1135
317.8	1320
317.9	868
318	1257
318.1	1011
318.2	619
318.3	781
318.4	726
318.5	1024
318.6	476
318.7	896
318.8	492
318.9	512
319	615
319.1	884
319.2	1183
319.3	1245
319.4	1138
319.5	906
