# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YSAG (Ho:Y3Sc2Al3O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by unk on 17 February 1993 and was 
# annotated on 21 February 1993.  The sample name was "" was a 10.500
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 375 to 500nm
# every 0.1nm at room temperature.
#
# FILE NAME ON PC = YSAG6.SP NO_POINTS = 1251. pts DATA_INTV = .000100 æm MIN_LAMBDA = .375000 æm MIN_DATA = .05020 MAX_LAMBDA = .500000 æm MAX_DATA = .41960 SCANSPEED = 15.000000 NM/MIN SLITWIDTH= .00000 æm RESP TIME = .5 sec SENSITIVITY = 5 DATE=93/02/17 16:16:30 93/02/17 YSAG6.
#
##Wavelength (nm)	Absorbance (/meter) 
375	301
375.1	354
375.2	244
375.3	78
375.4	385
375.5	495
375.6	518
375.7	166
375.8	295
375.9	64
376	289
376.1	563
376.2	810
376.3	198
376.4	1
376.5	44
376.6	147
376.7	307
376.8	421
376.9	254
377	471
377.1	253
377.2	573
377.3	487
377.4	207
377.5	1
377.6	155
377.7	1
377.8	543
377.9	416
378	198
378.1	159
378.2	483
378.3	521
378.4	553
378.5	401
378.6	511
378.7	150
378.8	1
378.9	225
379	1
379.1	1
379.2	159
379.3	344
379.4	361
379.5	210
379.6	50
379.7	321
379.8	104
379.9	167
380	250
380.1	272
380.2	284
380.3	439
380.4	374
380.5	264
380.6	200
380.7	339
380.8	582
380.9	563
381	544
381.1	412
381.2	414
381.3	258
381.4	280
381.5	272
381.6	279
381.7	154
381.8	298
381.9	269
382	686
382.1	828
382.2	825
382.3	1127
382.4	1487
382.5	1093
382.6	1164
382.7	1612
382.8	1549
382.9	1196
383	976
383.1	530
383.2	455
383.3	183
383.4	403
383.5	405
383.6	345
383.7	434
383.8	502
383.9	524
384	701
384.1	980
384.2	1108
384.3	1505
384.4	1464
384.5	1082
384.6	522
384.7	647
384.8	535
384.9	522
385	396
385.1	505
385.2	451
385.3	366
385.4	716
385.5	1137
385.6	1735
385.7	2620
385.8	2490
385.9	1588
386	1035
386.1	1206
386.2	1545
386.3	1863
386.4	2186
386.5	1757
386.6	1130
386.7	880
