# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YSAG (Ho:Y3Sc2Al3O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on 12 February 1993 and was 
# annotated on 12 February 1993.  The sample name was "" was a 10.500
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 600 to 700nm
# every 0.1nm at room temperature.
#
# FILE NAME ON PC = YSAG3.SP NO_POINTS = 1001. pts DATA_INTV = .000100 æm MIN_LAMBDA = .600000 æm MIN_DATA = .21110 MAX_LAMBDA = .700000 æm MAX_DATA = .69460 SCANSPEED = 15.000000 NM/MIN SLITWIDTH= .20000 NM RESP TIME = .5 sec SENSITIVITY = 5 DATE=93/02/12 12:58:45 93/02/12 YSAG3.
#
##Wavelength (nm)	Absorbance (/meter) 
600	319
600.1	284
600.2	267
600.3	285
600.4	235
600.5	227
600.6	137
600.7	241
600.8	271
600.9	181
601	328
601.1	380
601.2	357
601.3	396
601.4	346
601.5	348
601.6	294
601.7	355
601.8	373
601.9	76
602	260
602.1	256
602.2	329
602.3	359
602.4	299
602.5	236
602.6	275
602.7	241
602.8	431
602.9	325
603	299
603.1	295
603.2	251
603.3	439
603.4	219
603.5	310
603.6	241
603.7	355
603.8	261
603.9	174
604	364
604.1	391
604.2	331
604.3	340
604.4	173
604.5	224
604.6	300
604.7	441
604.8	387
604.9	362
605	192
605.1	289
605.2	223
605.3	413
605.4	634
605.5	288
605.6	293
605.7	419
605.8	409
605.9	269
606	345
606.1	598
606.2	380
606.3	376
606.4	378
606.5	442
606.6	244
606.7	292
606.8	424
606.9	370
607	431
607.1	307
607.2	281
607.3	450
607.4	486
607.5	432
607.6	562
607.7	234
607.8	504
607.9	444
608	483
608.1	411
608.2	324
608.3	533
608.4	501
608.5	475
608.6	308
608.7	295
608.8	534
608.9	490
609	474
609.1	504
609.2	459
609.3	400
609.4	426
609.5	562
609.6	579
609.7	470
609.8	416
609.9	598
610	526
610.1	537
610.2	299
610.3	532
610.4	593
610.5	524
610.6	573
610.7	439
610.8	441
610.9	526
611	721
611.1	624
611.2	647
611.3	510
611.4	540
611.5	437
611.6	430
611.7	749
611.8	542
611.9	597
612	596
612.1	394
612.2	575
612.3	655
612.4	688
612.5	619
612.6	649
612.7	611
612.8	557
612.9	538
613	676
613.1	610
613.2	479
613.3	596
613.4	706
613.5	467
613.6	571
613.7	573
613.8	603
613.9	614
614	704
614.1	650
614.2	745
614.3	701
614.4	749
614.5	531
614.6	614
614.7	771
614.8	671
614.9	726
615	728
615.1	783
615.2	608
615.3	678
615.4	833
615.5	682
615.6	604
615.7	640
615.8	735
615.9	737
616	858
616.1	795
616.2	772
616.3	786
616.4	898
616.5	672
616.6	824
616.7	860
616.8	841
616.9	582
617	670
617.1	784
617.2	915
617.3	873
617.4	859
617.5	855
617.6	593
617.7	691
617.8	684
617.9	736
618	685
618.1	740
618.2	851
618.3	925
618.4	703
618.5	933
618.6	913
618.7	887
618.8	833
618.9	1048
619	859
619.1	839
619.2	885
619.3	672
619.4	951
619.5	916
619.6	796
619.7	823
619.8	791
619.9	747
620	771
620.1	1001
620.2	865
620.3	901
620.4	900
620.5	996
620.6	892
620.7	866
620.8	831
620.9	914
621	957
621.1	978
621.2	986
621.3	922
621.4	934
621.5	1055
621.6	1038
621.7	971
621.8	952
621.9	966
622	959
622.1	1014
622.2	1016
622.3	1069
622.4	1146
622.5	988
622.6	1097
622.7	1090
622.8	907
622.9	1040
623	955
623.1	938
623.2	950
623.3	1190
623.4	1010
623.5	1125
623.6	1102
623.7	1082
623.8	1109
623.9	992
624	1117
624.1	1236
624.2	989
624.3	1073
624.4	959
624.5	1152
624.6	1167
624.7	996
624.8	1149
624.9	1120
625	1081
625.1	927
625.2	1123
625.3	1128
625.4	1055
625.5	1073
625.6	1137
625.7	1140
625.8	1079
625.9	1056
626	1180
626.1	1041
626.2	1181
626.3	1070
626.4	1091
626.5	1122
626.6	1105
626.7	1120
626.8	1144
626.9	1284
627	1394
627.1	1238
627.2	1152
627.3	1116
627.4	1216
627.5	1136
627.6	1151
627.7	1206
627.8	1215
627.9	1076
628	1200
