# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YSAG (Ho:Y3Sc2Al3O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on 12 February 1993 and was 
# annotated on 12 February 1993.  The sample name was "" was a 10.500
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 1750 to 2200nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PC = YSAG1.SP NO_POINTS = 2251. pts DATA_INTV = .000200 æm MIN_LAMBDA = 1.750000 æm MIN_DATA = .49620 MAX_LAMBDA = 2.200000 æm MAX_DATA = .79270 SCANSPEED = 15.000000 NM/MIN SLITWIDTH= .00000 æm RESP TIME = .5 sec SENSITIVITY = 5 DATE=93/02/12 09:54:23 93/02/12 YSAG1.
#
##Wavelength (nm)	Absorbance (/meter) 
1750	243
1750.2	228
1750.4	243
1750.6	306
1750.8	279
1751	301
1751.2	307
1751.4	247
1751.6	222
1751.8	215
1752	178
1752.2	215
1752.4	248
1752.6	203
1752.8	233
1753	152
1753.2	103
1753.4	232
1753.6	160
1753.8	167
1754	133
1754.2	76
1754.4	72
1754.6	151
1754.8	176
1755	191
1755.2	196
1755.4	224
1755.6	293
1755.8	291
1756	247
1756.2	282
1756.4	200
1756.6	163
1756.8	200
1757	119
1757.2	141
1757.4	181
1757.6	146
1757.8	179
1758	162
1758.2	211
1758.4	232
1758.6	212
1758.8	200
1759	240
1759.2	175
1759.4	228
1759.6	186
1759.8	176
1760	216
1760.2	268
1760.4	181
1760.6	244
1760.8	274
1761	244
1761.2	282
1761.4	197
1761.6	123
1761.8	146
1762	153
1762.2	171
1762.4	127
1762.6	119
1762.8	176
1763	85
1763.2	117
1763.4	251
1763.6	172
1763.8	237
1764	249
1764.2	128
1764.4	185
1764.6	215
1764.8	171
1765	139
1765.2	117
1765.4	85
1765.6	93
1765.8	90
1766	147
1766.2	123
1766.4	130
1766.6	160
1766.8	185
1767	171
1767.2	278
1767.4	268
1767.6	241
1767.8	313
1768	283
1768.2	271
1768.4	276
1768.6	232
1768.8	219
1769	235
1769.2	158
1769.4	255
1769.6	163
1769.8	159
1770	191
1770.2	102
1770.4	127
1770.6	127
1770.8	1
1771	110
1771.2	133
1771.4	86
1771.6	178
1771.8	77
1772	92
1772.2	250
1772.4	173
1772.6	211
1772.8	263
1773	157
1773.2	159
1773.4	249
1773.6	187
1773.8	284
1774	182
1774.2	148
1774.4	141
1774.6	129
1774.8	134
1775	109
1775.2	85
1775.4	167
1775.6	206
1775.8	167
1776	276
1776.2	291
1776.4	316
1776.6	297
1776.8	222
1777	270
1777.2	223
1777.4	131
1777.6	107
1777.8	152
1778	61
1778.2	95
1778.4	88
1778.6	2
1778.8	155
1779	76
1779.2	42
1779.4	168
1779.6	60
1779.8	181
1780	231
1780.2	213
1780.4	278
1780.6	268
1780.8	177
1781	192
1781.2	232
1781.4	217
1781.6	247
1781.8	163
1782	193
1782.2	144
1782.4	65
1782.6	203
1782.8	154
1783	95
1783.2	259
1783.4	142
1783.6	192
1783.8	222
1784	145
1784.2	190
1784.4	178
1784.6	183
1784.8	196
1785	216
1785.2	119
1785.4	209
1785.6	169
1785.8	160
1786	197
1786.2	180
1786.4	177
1786.6	242
1786.8	208
1787	252
1787.2	181
1787.4	99
1787.6	213
1787.8	92
1788	167
1788.2	157
1788.4	103
1788.6	140
1788.8	214
1789	195
1789.2	178
1789.4	183
1789.6	183
1789.8	255
1790	243
1790.2	228
1790.4	278
1790.6	226
1790.8	187
1791	115
1791.2	98
1791.4	177
1791.6	101
1791.8	77
1792	131
1792.2	114
1792.4	136
1792.6	250
1792.8	211
1793	216
1793.2	273
1793.4	239
1793.6	244
1793.8	314
1794	244
1794.2	312
1794.4	222
1794.6	173
1794.8	225
1795	146
1795.2	90
1795.4	181
1795.6	184
1795.8	204
1796	194
1796.2	150
1796.4	217
1796.6	230
1796.8	195
1797	235
1797.2	200
1797.4	169
1797.6	176
1797.8	132
1798	219
1798.2	169
1798.4	167
1798.6	197
1798.8	222
1799	178
1799.2	225
1799.4	203
1799.6	225
1799.8	287
1800	226
1800.2	255
1800.4	266
1800.6	221
1800.8	211
1801	246
1801.2	197
1801.4	262
1801.6	170
1801.8	230
1802	317
1802.2	265
1802.4	248
1802.6	340
1802.8	241
1803	278
1803.2	271
1803.4	236
1803.6	222
1803.8	138
1804	116
1804.2	136
1804.4	178
1804.6	210
1804.8	220
1805	213
1805.2	248
1805.4	328
1805.6	335
1805.8	318
1806	291
1806.2	219
1806.4	165
1806.6	215
1806.8	235
1807	245
1807.2	225
1807.4	255
1807.6	186
1807.8	268
1808	271
1808.2	311
1808.4	226
1808.6	170
1808.8	264
1809	277
1809.2	197
1809.4	178
1809.6	181
1809.8	243
1810	322
1810.2	298
1810.4	407
1810.6	305
1810.8	378
1811	388
1811.2	336
1811.4	356
1811.6	279
1811.8	165
1812	210
1812.2	282
1812.4	287
1812.6	270
1812.8	194
1813	253
1813.2	273
1813.4	288
1813.6	286
1813.8	256
1814	140
1814.2	324
1814.4	175
1814.6	255
1814.8	277
1815	225
1815.2	290
1815.4	387
1815.6	405
1815.8	353
1816	318
1816.2	256
1816.4	284
1816.6	267
1816.8	309
1817	324
1817.2	215
1817.4	282
1817.6	297
1817.8	305
1818	333
1818.2	323
1818.4	291
1818.6	351
1818.8	353
1819	269
1819.2	344
1819.4	309
1819.6	304
1819.8	300
1820	337
1820.2	362
1820.4	243
1820.6	295
1820.8	368
1821	328
1821.2	241
1821.4	234
1821.6	257
1821.8	262
1822	304
1822.2	339
1822.4	325
1822.6	322
1822.8	288
1823	382
1823.2	340
1823.4	380
1823.6	291
1823.8	237
1824	274
1824.2	344
1824.4	267
1824.6	344
1824.8	290
1825	272
1825.2	357
1825.4	310
1825.6	310
1825.8	375
1826	326
1826.2	301
1826.4	383
1826.6	264
1826.8	321
1827	351
1827.2	307
1827.4	394
1827.6	424
1827.8	420
1828	437
1828.2	458
1828.4	410
1828.6	463
1828.8	383
1829	361
1829.2	359
1829.4	329
1829.6	344
1829.8	270
1830	265
1830.2	375
1830.4	352
1830.6	380
1830.8	515
1831	460
1831.2	586
1831.4	624
1831.6	592
1831.8	706
1832	749
1832.2	716
1832.4	785
1832.6	729
1832.8	803
1833	824
1833.2	842
1833.4	794
1833.6	924
1833.8	819
1834	986
1834.2	1015
1834.4	974
1834.6	1106
1834.8	1028
1835	1070
1835.2	1176
1835.4	1197
1835.6	1255
1835.8	1320
1836	1320
1836.2	1370
1836.4	1334
1836.6	1248
1836.8	1355
1837	1214
1837.2	1217
1837.4	1264
1837.6	1327
1837.8	1252
1838	1283
1838.2	1278
1838.4	1276
1838.6	1289
1838.8	1253
1839	1263
1839.2	1139
1839.4	1173
1839.6	1142
1839.8	1085
1840	1121
1840.2	1108
1840.4	992
1840.6	1016
1840.8	1052
1841	1055
1841.2	1078
1841.4	991
1841.6	971
1841.8	1007
1842	981
1842.2	930
1842.4	912
1842.6	828
1842.8	831
1843	841
1843.2	740
1843.4	890
1843.6	776
1843.8	837
1844	896
1844.2	891
1844.4	984
1844.6	955
1844.8	935
1845	1028
1845.2	979
1845.4	956
1845.6	972
1845.8	882
1846	906
1846.2	949
1846.4	885
1846.6	896
1846.8	940
1847	774
1847.2	850
1847.4	884
1847.6	866
1847.8	869
1848	882
1848.2	890
1848.4	818
1848.6	821
1848.8	860
1849	934
1849.2	812
1849.4	873
1849.6	945
1849.8	856
1850	899
1850.2	915
1850.4	928
1850.6	1015
