# Optical emission spectrum of Ho:Y3Sc2Al3O12 (Ho:Y3Sc2Al3O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by GA on 15 October 1993 and was 
# annotated on  4 April 1995.  The sample name was "" was a 9.990
# long piece of :.  
# The incident light was horizontally polarized.
#
# Spectra were recorded from 1750.3nm to 2199.5nm
# every 0.1nm at room temperature.  The
# excitation wavelength was 633nm.
#
# SOURCE POLARIZATION IS HORIZONTAL, SLIT WIDTH IS 2000 MICRONS.
#
##Wavelength (nm)	Absorbance (/meter) 
1750.3	0
1750.4	0
1750.5	0
1750.6	0.0018410658576376
1750.7	0.00100931623686997
1750.8	0.0018683992100518
1750.9	0.00180886688228055
1751	0.00233134892240762
1751.1	0.000702080769340851
1751.2	0.00132486619536907
1751.3	0.00194567675090873
1751.4	0.00445676750908727
1751.5	0.0048304187297862
1751.6	0.00417899768167377
1751.7	0.00282191820029194
1751.8	0.00163313203010962
1751.9	0
1752	0
1752.1	0
1752.2	0
1752.3	0
1752.4	0
1752.5	0
1752.6	0
1752.7	0
1752.8	0
1752.9	0
1753	0
1753.1	0
1753.2	0
1753.3	0
1753.4	0
1753.5	0
1753.6	0
1753.7	0
1753.8	0
1753.9	0
1754	0
1754.1	0
1754.2	0
1754.3	0
1754.4	0
1754.5	0.00124997853401643
1754.6	0.0020959386359083
1754.7	0.00360929047768969
1754.8	0.00483056183634334
1754.9	0.00375654712498927
1755	0.000387074615758894
1755.1	0
1755.2	0
1755.3	0
1755.4	0
1755.5	0
1755.6	0
1755.7	0
1755.8	0
1755.9	0
1756	0
1756.1	0
1756.2	0
1756.3	0
1756.4	0.00240819714359312
1756.5	0.00442242193537308
1756.6	0.0018552334067947
1756.7	0
1756.8	0
1756.9	0
1757	0
1757.1	0
1757.2	0
1757.3	0
1757.4	0
1757.5	0
1757.6	0
1757.7	0
1757.8	0
1757.9	0
1758	0
1758.1	0
1758.2	0
1758.3	0
1758.4	0
1758.5	0
1758.6	0
1758.7	0
1758.8	0
1758.9	0
1759	0
1759.1	0
1759.2	0
1759.3	0
1759.4	8.00437906064856e-06
1759.5	0.00318669681444804
1759.6	0.00605312115401128
1759.7	0.00485889693465755
1759.8	0
1759.9	0
1760	0
1760.1	0
1760.2	0
1760.3	0
1760.4	0
1760.5	0
1760.6	0
1760.7	0
1760.8	0
1760.9	0
1761	0
1761.1	0
1761.2	0
1761.3	0
1761.4	0
1761.5	0
1761.6	0
1761.7	0
1761.8	0
1761.9	0
1762	0
1762.1	0
1762.2	0
1762.3	0
1762.4	0
1762.5	0
1762.6	0.000794742265090587
1762.7	0
1762.8	0
1762.9	0
1763	0
1763.1	0
1763.2	0
1763.3	0
1763.4	0
1763.5	0
1763.6	0
1763.7	0
1763.8	0
1763.9	0
1764	0
1764.1	0.00169151950542374
1764.2	0.00273505252010647
1764.3	0.00379074959214631
1764.4	0.00139427287558316
1764.5	0
1764.6	0
1764.7	0
1764.8	0
1764.9	0
1765	0
1765.1	0
1765.2	0
1765.3	0
1765.4	0
1765.5	0
1765.6	0
1765.7	0
1765.8	0
1765.9	0
1766	0
1766.1	0
1766.2	0
1766.3	0
1766.4	0
1766.5	0
1766.6	0.000959114456624403
1766.7	0.00158962763673832
1766.8	0
1766.9	0
1767	0
1767.1	0
1767.2	0
1767.3	0
1767.4	0
1767.5	0
1767.6	0
1767.7	0
1767.8	0
1767.9	0
1768	0
1768.1	0
1768.2	0
1768.3	0
1768.4	0
1768.5	0
1768.6	0
1768.7	0.000866295543661811
1768.8	0.00128558344543347
1768.9	0
1769	0
1769.1	0
1769.2	0
1769.3	0.000206817596382266
1769.4	0.000787801597069178
1769.5	7.96760067546295e-05
1769.6	0.000336100060104754
1769.7	0
1769.8	0
1769.9	0
1770	0
1770.1	0.00142014654111451
1770.2	0.00265405420876385
1770.3	0.0040182890180028
1770.4	0.00579152236755488
1770.5	0.00848264117461862
1770.6	0.00675634677580927
1770.7	0.00420375511605942
1770.8	0.00126783823234781
1770.9	0
1771	0
1771.1	0
1771.2	0
1771.3	0
1771.4	0
1771.5	9.20461375540227e-05
1771.6	0.000295515040499156
1771.7	1.22069893242508e-06
1771.8	0.000149489109591001
1771.9	0
1772	0
1772.1	0
1772.2	0
1772.3	0
1772.4	0
1772.5	0
1772.6	0
1772.7	0
1772.8	0
1772.9	0
1773	0
1773.1	0
1773.2	0
1773.3	0
1773.4	0
1773.5	0
1773.6	0
1773.7	0
1773.8	0
1773.9	0
1774	0
1774.1	0
1774.2	0
1774.3	0
1774.4	0
1774.5	0
1774.6	0
1774.7	0
1774.8	0.000955551103351556
1774.9	0.00244111165173588
1775	0.00131479149374624
1775.1	0
1775.2	0
1775.3	0
1775.4	0
1775.5	0
1775.6	0
1775.7	0
1775.8	0
1775.9	0
1776	0
1776.1	0
1776.2	0
1776.3	0
1776.4	0
1776.5	0
1776.6	0
1776.7	0
1776.8	0
1776.9	0
1777	0
1777.1	0
1777.2	0.000567374567102665
1777.3	0.00112906780388677
1777.4	0
1777.5	0
1777.6	0
1777.7	0
1777.8	0
1777.9	0
1778	0
1778.1	0
1778.2	0
1778.3	0
1778.4	0.000814662697844815
1778.5	0.00344056784681874
1778.6	0.00624731675205358
1778.7	0.00915123500958814
1778.8	0.0108743810641404
1778.9	0.0120026331606514
1779	0.0129100718394917
1779.1	0.00754371905320702
1779.2	0.00173745671026646
1779.3	0
1779.4	0
1779.5	0
1779.6	0
1779.7	0.00408068347691691
1779.8	0.00596797275251152
1779.9	0.00646612667792438
1780	0.00666633275136667
1780.1	0.00517802455708521
1780.2	0.00592275108045451
1780.3	0.00546938950742723
1780.4	0.00462634877930107
1780.5	0.00452731904175849
1780.6	0.00529809095852772
1780.7	0.00193422822633733
1780.8	0
1780.9	0
1781	0
1781.1	0
1781.2	0
1781.3	0
1781.4	0
1781.5	0
1781.6	0
1781.7	0
1781.8	0.00237113254529322
1781.9	0.00524413978648502
1782	0.00433770285354475
1782.1	0.00131911331177195
1782.2	0.000663041300552391
1782.3	0
1782.4	0
1782.5	0
1782.6	0
1782.7	0
1782.8	0
1782.9	0
1783	0
1783.1	0
1783.2	0
1783.3	0
1783.4	0
1783.5	0.000514181859812817
1783.6	0
1783.7	0
1783.8	0
1783.9	0
1784	0
1784.1	0.00369272160050373
1784.2	0.00405821574744555
1784.3	0.00413463464895962
1784.4	0.00562179799078394
1784.5	0.00105468101548413
1784.6	0
1784.7	0
1784.8	0
1784.9	0
1785	0
1785.1	0
1785.2	0
1785.3	0
1785.4	0
1785.5	0.000161781962849538
1785.6	0.00285898279859183
1785.7	0.00282320615930622
1785.8	0.00397807607544578
1785.9	0.00589198317066888
1786	0.00502404190159993
1786.1	0.000512178368012822
1786.2	0
1786.3	0
1786.4	0
1786.5	0
1786.6	0
1786.7	0.00137116116660465
1786.8	0.00213300323420819
1786.9	0.00367254357594665
1787	0.00186682503792324
1787.1	0
1787.2	0
1787.3	0
1787.4	0
1787.5	0
1787.6	0
1787.7	0
1787.8	0
1787.9	0
1788	0
1788.1	0
1788.2	0
