# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LA2BE2O5 (Nd:BeL)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by MIT on  5 January 1987 and was 
# annotated on  9 February 1988.  The sample name was "" was a 4.0000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 300 to 1000nm
# every 0.1nm at room temperature.
#
# FILE NAME AT MIT = NDBELX.DAT ON PC = NDBELX.DAT NO_POINTS = 7001. pts DATA_INTV = 0.100 nm MIN_LAMBDA = 300.000 nm MIN_DATA = 1.0692286 MAX_LAMBDA = 1000.000 nm MAX_DATA = 203091.09 SCANSPEED = ? nm/min SLITWIDTH= ? nmITA = ?. RESP = ? ns ISMS = ? DATE =88/02/17 ? = nnn. DATA SENT FROM ALLIED CHEMICAL, TAKEN BY D. KNOWLES AT MIT.
#
##Wavelength (nm)	Absorbance (/meter) 
300	2652
300.1	2652
300.2	2653
300.3	2653
300.4	2653
300.5	2654
300.6	2654
300.7	2669
300.8	2675
300.9	2704
301	2682
301.1	2682
301.2	2694
301.3	2642
301.4	2660
301.5	2649
301.6	2684
301.7	2742
301.8	2736
301.9	2743
302	2778
302.1	2801
302.2	2853
302.3	2882
302.4	2912
302.5	2941
302.6	3039
302.7	3173
302.8	3427
302.9	3641
303	3606
303.1	3457
303.2	3324
303.3	3319
303.4	3389
303.5	3447
303.6	3586
303.7	3730
303.8	3961
303.9	4222
304	4412
304.1	4297
304.2	3992
304.3	3796
304.4	3733
304.5	3791
304.6	3918
304.7	4057
304.8	4277
304.9	4531
305	4762
305.1	4832
305.2	4665
305.3	4411
305.4	4256
305.5	4152
305.6	4129
305.7	4124
305.8	4188
305.9	4333
306	4518
306.1	4691
306.2	4703
306.3	4496
306.4	4202
306.5	3994
306.6	3873
306.7	3804
306.8	3764
306.9	3788
307	3805
307.1	3846
307.2	3852
307.3	3807
307.4	3726
307.5	3628
307.6	3559
307.7	3485
307.8	3497
307.9	3549
308	3601
308.1	3590
308.2	3544
308.3	3418
308.4	3343
308.5	3297
308.6	3263
308.7	3234
308.8	3229
308.9	3189
309	3155
309.1	3132
309.2	3092
309.3	3040
309.4	3041
309.5	2983
309.6	3001
309.7	3030
309.8	3048
309.9	3054
310	3008
310.1	2957
310.2	2905
310.3	2842
310.4	2784
310.5	2716
310.6	2710
310.7	2687
310.8	2670
310.9	2688
311	2665
311.1	2660
311.2	2631
311.3	2649
311.4	2638
311.5	2621
311.6	2656
311.7	2627
311.8	2611
311.9	2617
312	2588
312.1	2577
312.2	2548
312.3	2503
312.4	2497
312.5	2469
312.6	2440
312.7	2458
312.8	2441
312.9	2407
313	2424
313.1	2413
313.2	2408
313.3	2385
313.4	2385
313.5	2432
313.6	2409
313.7	2369
313.8	2375
313.9	2387
314	2399
314.1	2371
314.2	2377
314.3	2354
314.4	2389
314.5	2389
314.6	2355
314.7	2361
314.8	2361
314.9	2391
315	2374
315.1	2380
315.2	2380
315.3	2392
315.4	2387
315.5	2358
315.6	2359
315.7	2359
315.8	2382
315.9	2406
316	2418
316.1	2378
316.2	2390
316.3	2425
316.4	2396
316.5	2385
316.6	2379
316.7	2374
316.8	2380
316.9	2381
317	2387
317.1	2370
317.2	2376
317.3	2365
317.4	2382
317.5	2337
317.6	2314
317.7	2355
317.8	2349
317.9	2332
318	2338
318.1	2344
318.2	2333
318.3	2328
318.4	2322
318.5	2329
318.6	2329
318.7	2329
318.8	2318
318.9	2307
319	2307
319.1	2331
319.2	2314
319.3	2326
319.4	2326
319.5	2338
319.6	2292
319.7	2189
319.8	1923
319.9	1872
320	1878
320.1	1867
320.2	1884
320.3	1896
320.4	1902
320.5	1885
320.6	1880
320.7	1863
320.8	1846
320.9	1846
321	1835
321.1	1853
321.2	1824
321.3	1808
321.4	1819
321.5	1866
321.6	1907
321.7	1907
321.8	1867
321.9	1850
322	1868
322.1	1903
322.2	1926
322.3	1932
322.4	1915
322.5	1927
322.6	1916
322.7	1922
322.8	1940
322.9	1952
323	1935
323.1	1935
323.2	1953
323.3	1999
323.4	1988
323.5	2023
323.6	2029
323.7	2076
323.8	2093
323.9	2123
324	2158
324.1	2152
324.2	2193
324.3	2245
324.4	2280
324.5	2344
324.6	2362
324.7	2408
324.8	2432
324.9	2473
325	2484
325.1	2548
325.2	2578
325.3	2647
325.4	2694
325.5	2775
325.6	2873
325.7	2897
325.8	2955
325.9	3053
326	3140
326.1	3187
326.2	3280
326.3	3343
326.4	3419
326.5	3494
326.6	3575
326.7	3605
326.8	3663
326.9	3726
327	3825
327.1	3866
327.2	3941
327.3	4028
327.4	4103
327.5	4202
327.6	4295
327.7	4358
327.8	4474
327.9	4590
328	4694
328.1	4775
328.2	4851
328.3	4955
328.4	4996
328.5	5060
328.6	5106
328.7	5124
328.8	5147
328.9	5182
329	5223
329.1	5264
329.2	5287
329.3	5357
329.4	5369
329.5	5444
329.6	5525
329.7	5583
329.8	5670
329.9	5723
330	5815
330.1	5850
330.2	5914
330.3	5943
330.4	6002
330.5	6025
330.6	6008
330.7	6037
330.8	6084
330.9	6078
331	6067
331.1	6027
331.2	5987
331.3	5982
331.4	5988
331.5	6000
331.6	6012
331.7	6018
331.8	6024
331.9	6024
332	6053
332.1	6077
332.2	6106
332.3	6118
332.4	6090
332.5	6067
332.6	6056
332.7	6108
332.8	6114
332.9	6091
333	6074
333.1	6034
