# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LA2BE2O5 (Nd:BeL)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by MIT on  5 January 1987 and was 
# annotated on  9 February 1988.  The sample name was "" was a 4.0000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 300 to 1000nm
# every 0.1nm at room temperature.
#
# FILE NAME AT MIT = NDBELY.DAT ON PC = NDBELY.DAT NO_POINTS = 7001. pts DATA_INTV = 0.100 nm MIN_LAMBDA = 300.000 nm MIN_DATA = 3.2275920 MAX_LAMBDA = 1000.000 nm MAX_DATA = 123337.80 SCANSPEED = ? nm/min SLITWIDTH= ? nmITA = ?. RESP = ? ns ISMS = ? DATE =88/02/17 ? = nnn. DATA SENT FROM ALLIED CHEMICAL, TAKEN BY D. KNOWLES AT MIT.
#
##Wavelength (nm)	Absorbance (/meter) 
300	5620
300.1	5620
300.2	5620
300.3	5620
300.4	5620
300.5	5620
300.6	5620
300.7	5625
300.8	5613
300.9	5619
301	5590
301.1	5550
301.2	5584
301.3	5630
301.4	5642
301.5	5659
301.6	5671
301.7	5677
301.8	5694
301.9	5746
302	5769
302.1	5821
302.2	5861
302.3	5902
302.4	6000
302.5	6138
302.6	6386
302.7	6715
302.8	7068
302.9	7154
303	7004
303.1	6767
303.2	6629
303.3	6629
303.4	6687
303.5	6779
303.6	6883
303.7	6993
303.8	7114
303.9	7166
304	7160
304.1	7021
304.2	6929
304.3	6900
304.4	6877
304.5	6929
304.6	7010
304.7	7120
304.8	7339
304.9	7570
305	7662
305.1	7587
305.2	7414
305.3	7206
305.4	7068
305.5	6946
305.6	6802
305.7	6808
305.8	6877
305.9	6964
306	7016
306.1	6987
306.2	6877
306.3	6692
306.4	6496
306.5	6358
306.6	6311
306.7	6265
306.8	6277
306.9	6300
307	6392
307.1	6404
307.2	6444
307.3	6415
307.4	6340
307.5	6271
307.6	6161
307.7	6121
307.8	6109
307.9	6121
308	6150
308.1	6144
308.2	6138
308.3	6075
308.4	6029
308.5	5994
308.6	5965
308.7	5965
308.8	5954
308.9	5936
309	5890
309.1	5855
309.2	5827
309.3	5780
309.4	5717
309.5	5694
309.6	5659
309.7	5648
309.8	5630
309.9	5602
310	5573
310.1	5463
310.2	5457
310.3	5446
310.4	5434
310.5	5423
310.6	5411
310.7	5399
310.8	5405
310.9	5359
311	5353
311.1	5365
311.2	5348
311.3	5359
311.4	5342
311.5	5342
311.6	5365
311.7	5330
311.8	5324
311.9	5284
312	5296
312.1	5284
312.2	5296
312.3	5336
312.4	5342
312.5	5353
312.6	5382
312.7	5371
312.8	5348
312.9	5330
313	5301
313.1	5313
313.2	5290
313.3	5342
313.4	5307
313.5	5301
313.6	5267
313.7	5261
313.8	5232
313.9	5209
314	5174
314.1	5174
314.2	5169
314.3	5197
314.4	5192
314.5	5186
314.6	5209
314.7	5186
314.8	5163
314.9	5174
315	5209
315.1	5186
315.2	5146
315.3	5134
315.4	5128
315.5	5128
315.6	5163
315.7	5180
315.8	5203
315.9	5169
316	5180
316.1	5146
316.2	5134
316.3	5163
316.4	5134
316.5	5122
316.6	5099
316.7	5128
316.8	5134
316.9	5128
317	5163
317.1	5157
317.2	5105
317.3	5117
317.4	5122
317.5	5128
317.6	5122
317.7	5146
317.8	5122
317.9	5134
318	5105
318.1	5099
318.2	5105
318.3	5088
318.4	5082
318.5	5070
318.6	5088
318.7	5094
318.8	5088
318.9	5059
319	5047
319.1	5076
319.2	5070
319.3	5042
319.4	5059
319.5	5082
319.6	5128
319.7	5186
319.8	5319
319.9	5348
320	5342
320.1	5330
320.2	5319
320.3	5330
320.4	5365
320.5	5353
320.6	5313
320.7	5301
320.8	5296
320.9	5255
321	5232
321.1	5290
321.2	5324
321.3	5301
321.4	5319
321.5	5324
321.6	5336
321.7	5336
321.8	5342
321.9	5313
322	5290
322.1	5324
322.2	5324
322.3	5330
322.4	5330
322.5	5342
322.6	5359
322.7	5382
322.8	5417
322.9	5463
323	5492
323.1	5555
323.2	5613
323.3	5613
323.4	5648
323.5	5711
323.6	5734
323.7	5798
323.8	5832
323.9	5913
324	5925
324.1	6000
324.2	6133
324.3	6231
324.4	6311
324.5	6392
324.6	6531
324.7	6652
324.8	6756
324.9	6900
325	7016
325.1	7171
325.2	7327
325.3	7437
325.4	7541
325.5	7674
325.6	7824
325.7	7933
325.8	8107
325.9	8297
326	8464
326.1	8603
326.2	8747
326.3	8857
326.4	8978
326.5	9070
326.6	9174
326.7	9197
326.8	9203
326.9	9209
327	9220
327.1	9215
327.2	9209
327.3	9267
327.4	9272
327.5	9284
327.6	9278
327.7	9284
327.8	9336
327.9	9365
328	9451
328.1	9498
328.2	9567
328.3	9625
328.4	9671
328.5	9694
328.6	9717
328.7	9711
328.8	9734
328.9	9757
329	9838
329.1	9803
329.2	9815
329.3	9844
329.4	9896
329.5	9936
329.6	9994
329.7	10011
329.8	10034
329.9	10081
330	10104
330.1	10109
330.2	10161
330.3	10236
330.4	10300
330.5	10306
330.6	10323
330.7	10369
330.8	10392
330.9	10404
331	10392
331.1	10358
331.2	10386
331.3	10415
331.4	10392
331.5	10358
331.6	10329
331.7	10317
331.8	10277
331.9	10271
332	10271
332.1	10306
332.2	10329
332.3	10288
332.4	10294
332.5	10294
332.6	10294
332.7	10329
332.8	10317
332.9	10334
333	10340
333.1	10329
333.2	10363
333.3	10346
333.4	10352
333.5	10294
333.6	10294
333.7	10271
333.8	10190
333.9	10144
334	10138
334.1	10115
334.2	10046
334.3	10034
334.4	9982
334.5	9965
334.6	9902
334.7	9884
334.8	9867
334.9	9792
335	9786
335.1	9786
335.2	9769
335.3	9734
335.4	9705
335.5	9705
335.6	9676
335.7	9659
335.8	9653
