# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LA2BE2O5 (Nd:BeL)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by MIT on  5 January 1987 and was 
# annotated on  9 February 1988.  The sample name was "" was a 4.4000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 299.9 to 1000nm
# every 0.1nm at room temperature.
#
# FILE NAME AT MIT = NDBELZ.DAT ON PC = NDBELZ.DAT NO_POINTS = 7002. pts DATA_INTV = 0.100 nm MIN_LAMBDA = 300.000 nm MIN_DATA = 5.7083370 MAX_LAMBDA = 1000.000 nm MAX_DATA = 158493.00 SCANSPEED = ? nm/min SLITWIDTH= ? nmITA = ?. RESP = ? ns ISMS = ? DATE =88/02/17 ? = nnn. DATA SENT FROM ALLIED CHEMICAL, TAKEN BY D. KNOWLES AT MIT.
#
##Wavelength (nm)	Absorbance (/meter) 
299.9	10
300	2260
300.1	2260
300.2	2260
300.3	2260
300.4	2260
300.5	2260
300.6	2256
300.7	2292
300.8	2256
300.9	2277
301	2256
301.1	2251
301.2	2245
301.3	2261
301.4	2282
301.5	2298
301.6	2308
301.7	2308
301.8	2319
301.9	2313
302	2334
302.1	2340
302.2	2371
302.3	2334
302.4	2361
302.5	2445
302.6	2508
302.7	2628
302.8	2801
302.9	2901
303	2854
303.1	2759
303.2	2717
303.3	2733
303.4	2786
303.5	2796
303.6	2843
303.7	2891
303.8	3032
303.9	3268
304	3457
304.1	3410
304.2	3184
304.3	3037
304.4	2964
304.5	2980
304.6	3053
304.7	3148
304.8	3300
304.9	3483
305	3599
305.1	3578
305.2	3399
305.3	3169
305.4	3006
305.5	2917
305.6	2870
305.7	2864
305.8	2854
305.9	2885
306	2917
306.1	2938
306.2	2901
306.3	2859
306.4	2765
306.5	2738
306.6	2733
306.7	2702
306.8	2733
306.9	2801
307	2854
307.1	2964
307.2	3016
307.3	3027
307.4	3006
307.5	2964
307.6	2906
307.7	2854
307.8	2838
307.9	2849
308	2880
308.1	2880
308.2	2843
308.3	2770
308.4	2649
308.5	2612
308.6	2581
308.7	2586
308.8	2560
308.9	2534
309	2476
309.1	2408
309.2	2403
309.3	2397
309.4	2392
309.5	2366
309.6	2382
309.7	2387
309.8	2413
309.9	2429
310	2450
310.1	2408
310.2	2345
310.3	2334
310.4	2292
310.5	2266
310.6	2277
310.7	2251
310.8	2245
310.9	2292
311	2303
311.1	2292
311.2	2287
311.3	2256
311.4	2251
311.5	2256
311.6	2261
311.7	2251
311.8	2261
311.9	2235
312	2245
312.1	2235
312.2	2224
312.3	2224
312.4	2214
312.5	2209
312.6	2235
312.7	2188
312.8	2151
312.9	2188
313	2214
313.1	2224
313.2	2224
313.3	2219
313.4	2214
313.5	2188
313.6	2219
313.7	2203
313.8	2203
313.9	2230
314	2235
314.1	2256
314.2	2256
314.3	2277
314.4	2277
314.5	2271
314.6	2345
314.7	2303
314.8	2298
314.9	2303
315	2319
315.1	2298
315.2	2303
315.3	2334
315.4	2340
315.5	2319
315.6	2334
315.7	2324
315.8	2313
315.9	2334
316	2334
316.1	2313
316.2	2319
316.3	2319
316.4	2303
316.5	2313
316.6	2324
316.7	2298
316.8	2334
316.9	2308
317	2329
317.1	2340
317.2	2277
317.3	2298
317.4	2329
317.5	2324
317.6	2319
317.7	2282
317.8	2287
317.9	2313
318	2329
318.1	2266
318.2	2277
318.3	2271
318.4	2266
318.5	2303
318.6	2271
318.7	2256
318.8	2256
318.9	2240
319	2245
319.1	2235
319.2	2256
319.3	2261
319.4	2277
319.5	2261
319.6	2240
319.7	2125
319.8	1967
319.9	1957
320	1978
320.1	1957
320.2	1936
320.3	1951
320.4	1946
320.5	1925
320.6	1946
320.7	1951
320.8	1899
320.9	1899
321	1910
321.1	1899
321.2	1915
321.3	1904
321.4	1904
321.5	1920
321.6	1951
321.7	1983
321.8	1941
321.9	1946
322	1941
322.1	1957
322.2	1962
322.3	1946
322.4	1978
322.5	2009
322.6	2020
322.7	2056
322.8	2067
322.9	2072
323	2072
323.1	2130
323.2	2172
323.3	2193
323.4	2209
323.5	2261
323.6	2324
323.7	2371
323.8	2408
323.9	2445
324	2513
324.1	2607
324.2	2660
324.3	2744
324.4	2843
324.5	2927
324.6	3022
324.7	3142
324.8	3232
324.9	3321
325	3441
325.1	3541
325.2	3609
325.3	3730
325.4	3840
325.5	3992
325.6	4118
325.7	4233
325.8	4328
325.9	4459
326	4601
326.1	4685
326.2	4816
326.3	4874
326.4	5015
326.5	5099
326.6	5152
326.7	5230
326.8	5314
326.9	5367
327	5403
327.1	5482
327.2	5524
327.3	5587
327.4	5645
327.5	5708
327.6	5797
327.7	5891
327.8	5980
327.9	6033
328	6122
328.1	6180
328.2	6269
328.3	6358
328.4	6426
328.5	6484
328.6	6510
328.7	6526
328.8	6489
328.9	6505
329	6521
329.1	6563
329.2	6605
329.3	6662
329.4	6710
329.5	6746
329.6	6804
329.7	6846
329.8	6893
329.9	6940
330	6935
330.1	6951
330.2	6982
330.3	6993
330.4	7019
330.5	7035
330.6	7072
330.7	7077
330.8	7108
330.9	7156
331	7213
331.1	7266
331.2	7308
331.3	7386
331.4	7402
331.5	7481
331.6	7518
331.7	7565
331.8	7612
331.9	7664
332	7664
332.1	7706
332.2	7706
332.3	7712
332.4	7712
332.5	7701
332.6	7712
332.7	7701
332.8	7670
332.9	7670
333	7691
333.1	7722
333.2	7775
333.3	7822
333.4	7885
333.5	7937
333.6	7958
333.7	7948
333.8	7958
333.9	7916
334	7864
334.1	7843
334.2	7817
334.3	7738
334.4	7649
334.5	7559
334.6	7486
334.7	7365
334.8	7245
334.9	7108
335	6972
335.1	6841
335.2	6725
335.3	6584
335.4	6495
335.5	6353
335.6	6227
335.7	6070
335.8	5980
335.9	5839
336	5776
336.1	5723
336.2	5624
336.3	5487
336.4	5346
336.5	5157
336.6	5036
336.7	4905
336.8	4790
336.9	4706
337	4632
337.1	4548
337.2	4475
337.3	4417
337.4	4359
337.5	4317
337.6	4296
337.7	4228
337.8	4155
337.9	4123
338	4108
338.1	4081
338.2	4060
338.3	4039
338.4	4013
338.5	4045
338.6	4045
338.7	4045
338.8	4039
338.9	4018
339	3997
339.1	3950
339.2	3882
339.3	3908
339.4	3898
339.5	3866
339.6	3845
339.7	3851
339.8	3851
339.9	3819
340	3788
340.1	3767
340.2	3782
340.3	3767
340.4	3709
340.5	3651
340.6	3635
340.7	3620
340.8	3567
340.9	3536
341	3462
341.1	3473
341.2	3478
341.3	3468
341.4	3441
341.5	3431
341.6	3394
341.7	3415
341.8	3389
341.9	3389
342	3373
342.1	3368
342.2	3310
342.3	3289
342.4	3242
342.5	3242
342.6	3195
342.7	3190
342.8	3158
342.9	3106
343	3053
343.1	3006
343.2	2959
343.3	2922
343.4	2912
343.5	2864
343.6	2828
343.7	2786
343.8	2749
343.9	2712
344	2691
344.1	2691
344.2	2665
344.3	2660
344.4	2644
344.5	2675
344.6	2654
344.7	2696
344.8	2723
344.9	2723
345	2723
345.1	2717
345.2	2723
345.3	2728
345.4	2728
345.5	2702
345.6	2702
345.7	2707
345.8	2738
345.9	2723
346	2717
346.1	2749
346.2	2770
346.3	2780
346.4	2801
346.5	2807
346.6	2843
346.7	2875
346.8	2896
346.9	2891
347	2917
347.1	2974
347.2	2990
347.3	2995
347.4	3016
347.5	3032
347.6	3027
347.7	3027
347.8	3048
347.9	3074
348	3085
348.1	3100
348.2	3158
348.3	3216
348.4	3252
348.5	3284
348.6	3315
348.7	3363
348.8	3384
348.9	3426
349	3494
349.1	3593
349.2	3756
349.3	3924
349.4	4108
349.5	4281
349.6	4386
349.7	4438
349.8	4475
349.9	4501
350	4574
350.1	4700
350.2	4884
350.3	5104
350.4	5403
350.5	5708
350.6	6049
350.7	6453
350.8	6940
350.9	7528
351	8325
351.1	9343
351.2	10513
351.3	11872
351.4	13262
351.5	14374
351.6	14904
351.7	14783
351.8	14295
351.9	13545
352	12931
352.1	12590
352.2	12475
352.3	12564
352.4	12800
352.5	13272
352.6	13818
352.7	14468
352.8	15182
352.9	15801
353	16231
353.1	16457
353.2	16551
353.3	16635
353.4	16866
353.5	17296
353.6	17957
353.7	18828
353.8	19924
353.9	21021
354	22017
354.1	22836
354.2	23350
354.3	23460
354.4	23298
354.5	22894
354.6	22290
354.7	21687
354.8	21147
354.9	20716
355	20386
355.1	20155
355.2	19977
355.3	19762
355.4	19484
355.5	19148
355.6	18854
355.7	18587
355.8	18309
355.9	17999
356	17763
356.1	17411
356.2	17076
356.3	16740
356.4	16441
356.5	16189
356.6	15990
356.7	15785
356.8	15523
356.9	15276
357	14962
357.1	14678
357.2	14442
357.3	14227
357.4	14086
357.5	13970
357.6	13902
357.7	13771
357.8	13577
357.9	13351
358	13094
358.1	12816
358.2	12596
358.3	12386
358.4	12234
358.5	12129
358.6	12061
358.7	12029
358.8	12019
358.9	12019
359	12087
359.1	12291
359.2	12664
359.3	13162
359.4	13750
359.5	14169
359.6	14290
359.7	14033
359.8	13540
359.9	13021
360	12596
360.1	12365
360.2	12402
360.3	12627
360.4	13026
360.5	13556
360.6	14227
360.7	15129
360.8	16409
360.9	18240
361	20585
361.1	23308
361.2	25789
361.3	26991
361.4	26078
361.5	23602
361.6	20633
361.7	18099
361.8	16173
361.9	14941
362	14364
362.1	14343
362.2	14794
362.3	15602
362.4	16299
362.5	16095
362.6	14851
362.7	13346
362.8	12276
362.9	11772
363	11546
363.1	11463
363.2	11415
363.3	11284
363.4	11169
363.5	11237
363.6	11515
363.7	11919
363.8	12323
363.9	12449
364	12034
364.1	11179
364.2	10177
364.3	9238
364.4	8425
364.5	7790
364.6	7218
364.7	6752
364.8	6374
364.9	6075
365	5834
365.1	5697
365.2	5660
365.3	5650
365.4	5603
365.5	5555
365.6	5382
365.7	5188
365.8	5036
365.9	4884
366	4727
366.1	4595
366.2	4428
366.3	4254
366.4	4108
366.5	3997
366.6	3903
366.7	3861
366.8	3861
366.9	3913
367	3971
367.1	3982
367.2	3961
367.3	3830
367.4	3730
367.5	3604
367.6	3489
367.7	3363
367.8	3263
367.9	3127
368	2953
368.1	2723
368.2	2487
368.3	2271
368.4	2098
368.5	1936
368.6	1820
368.7	1705
368.8	1684
368.9	1647
369	1616
369.1	1579
369.2	1495
369.3	1374
369.4	1238
369.5	1144
369.6	1086
369.7	997
369.8	960
369.9	892
370	845
370.1	808
370.2	771
370.3	782
370.4	734
370.5	703
370.6	671
370.7	703
370.8	650
370.9	640
371	650
371.1	609
371.2	603
371.3	598
371.4	593
371.5	577
371.6	567
371.7	551
371.8	551
371.9	535
372	509
372.1	514
372.2	514
372.3	525
372.4	504
372.5	498
372.6	525
372.7	514
372.8	509
372.9	509
373	504
373.1	519
373.2	472
373.3	493
373.4	456
373.5	488
373.6	483
373.7	456
373.8	456
373.9	472
374	467
374.1	456
374.2	462
374.3	483
374.4	456
374.5	446
374.6	451
374.7	456
374.8	467
374.9	467
375	462
375.1	456
375.2	441
375.3	435
375.4	451
375.5	414
375.6	425
375.7	404
375.8	420
375.9	441
376	425
376.1	441
376.2	425
376.3	393
376.4	409
376.5	425
376.6	420
376.7	388
376.8	399
376.9	425
377	430
377.1	393
377.2	399
377.3	404
377.4	409
377.5	404
377.6	383
377.7	393
377.8	383
377.9	393
378	409
378.1	383
378.2	372
378.3	378
378.4	383
378.5	388
378.6	393
378.7	378
378.8	346
378.9	372
379	393
379.1	388
379.2	367
379.3	372
379.4	388
379.5	399
379.6	393
379.7	414
379.8	441
379.9	441
380	451
380.1	404
380.2	414
380.3	477
380.4	477
380.5	451
380.6	430
380.7	409
380.8	404
380.9	425
381	425
381.1	404
381.2	435
381.3	472
381.4	477
381.5	472
381.6	446
381.7	425
381.8	399
381.9	441
382	477
382.1	477
382.2	456
382.3	462
382.4	477
382.5	493
382.6	509
382.7	530
382.8	525
382.9	514
383	504
383.1	504
383.2	514
383.3	498
383.4	488
383.5	498
383.6	493
383.7	472
383.8	504
383.9	530
384	488
384.1	498
384.2	530
384.3	519
384.4	535
384.5	546
384.6	546
384.7	525
384.8	509
384.9	483
385	488
385.1	483
385.2	472
385.3	446
385.4	451
385.5	467
385.6	493
385.7	498
385.8	472
385.9	514
386	572
386.1	635
386.2	656
386.3	624
386.4	540
386.5	483
386.6	467
386.7	456
386.8	451
386.9	446
387	451
387.1	472
387.2	483
387.3	446
387.4	451
387.5	441
387.6	456
387.7	451
387.8	477
387.9	456
388	446
388.1	414
388.2	446
388.3	425
388.4	409
388.5	446
388.6	435
388.7	435
388.8	456
388.9	441
389	430
389.1	477
389.2	488
389.3	483
389.4	467
389.5	477
389.6	483
389.7	462
389.8	467
389.9	441
390	435
390.1	430
390.2	404
390.3	409
390.4	393
390.5	383
390.6	399
390.7	388
390.8	383
390.9	393
391	399
391.1	388
391.2	399
391.3	404
391.4	378
391.5	388
391.6	378
391.7	362
391.8	351
391.9	346
392	367
392.1	393
392.2	372
392.3	362
392.4	346
392.5	367
392.6	351
392.7	357
392.8	357
392.9	372
393	378
393.1	362
393.2	336
393.3	362
393.4	383
393.5	393
393.6	383
393.7	357
393.8	362
393.9	362
394	357
394.1	362
394.2	357
394.3	341
394.4	330
394.5	325
394.6	357
394.7	346
394.8	299
394.9	346
395	357
395.1	341
395.2	330
395.3	351
395.4	346
395.5	336
395.6	367
395.7	351
395.8	357
395.9	336
396	299
396.1	320
396.2	330
396.3	341
396.4	336
396.5	325
396.6	341
396.7	336
396.8	341
396.9	351
397	357
397.1	362
397.2	351
397.3	330
397.4	325
397.5	336
397.6	325
397.7	309
397.8	304
397.9	315
398	346
398.1	325
398.2	309
398.3	315
398.4	351
398.5	351
398.6	346
398.7	320
398.8	309
398.9	325
399	336
399.1	325
399.2	362
399.3	362
399.4	315
399.5	325
399.6	330
399.7	341
399.8	330
399.9	351
400	336
400.1	330
400.2	341
400.3	320
400.4	315
400.5	288
400.6	330
400.7	341
400.8	309
400.9	325
401	325
401.1	330
401.2	309
401.3	315
401.4	320
401.5	309
401.6	304
401.7	315
401.8	325
401.9	325
402	372
402.1	357
402.2	320
402.3	309
402.4	294
402.5	309
402.6	278
402.7	346
402.8	346
402.9	341
403	341
403.1	372
403.2	330
403.3	320
403.4	304
403.5	294
403.6	304
403.7	309
403.8	299
403.9	283
404	294
404.1	288
404.2	315
404.3	304
404.4	304
404.5	304
404.6	320
404.7	288
404.8	309
404.9	336
405	315
405.1	320
405.2	304
405.3	299
405.4	299
405.5	320
405.6	294
405.7	304
405.8	283
405.9	294
406	309
406.1	304
406.2	304
406.3	315
406.4	309
406.5	336
406.6	336
406.7	299
406.8	278
406.9	294
407	294
407.1	315
407.2	299
407.3	299
407.4	309
407.5	325
407.6	288
407.7	278
407.8	304
407.9	330
408	325
408.1	294
408.2	315
408.3	309
408.4	315
408.5	283
408.6	299
408.7	309
408.8	304
408.9	294
409	288
409.1	268
409.2	268
409.3	309
409.4	304
409.5	288
409.6	278
409.7	294
409.8	283
409.9	304
410	320
410.1	283
410.2	299
410.3	315
410.4	304
410.5	325
410.6	320
410.7	278
410.8	288
410.9	309
411	325
411.1	288
411.2	299
411.3	299
411.4	299
411.5	288
411.6	309
411.7	299
411.8	288
411.9	309
412	304
412.1	278
412.2	288
412.3	283
