# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':GSGG (Nd:GaScGa Garnet)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by MS on 22 January 1988 and was 
# annotated on 28 January 1988.  The sample name was "" was a 3.2000
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 325 to 830nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PE-3600 = 001 GSGG2.SP ON PC = 001GSGG2.SP NO_POINTS = 2526. pts DATA_INTV = 0.000200 µm MIN_LAMBDA = 0.325000 µm MIN_DATA = 2794.9 MAX_LAMBDA = 0.830000 µm MAX_DATA = 82670.0 SCANSPEED = .01500000 µm/min SLITWIDTH= 0.00020 µmITA = 0. RESP = 0.5 sec ISMS = 0. DATE=88/01/22 INST = 509. ? = 0. THIS ND:CR:GSGG SAMPLE WAS OBTAINED FROM ALLIED. IT IS A SLICED CROSS-SECTION FROM A BOULE. THE MATERIAL COMPOSITION IS CR-2.47at.% (2*10(20)ions/cm3),ND-1.65 at.% (2*10(20)). converted to AU by Mark Storm. header added by hand. ND:CR:GSGG,.125IN THICK,HIGH RES., STORM.
#
##Wavelength (nm)	Absorbance (/meter) 
325	6311
325.2	6405
325.4	6304
325.6	6437
325.8	6468
326	6608
326.2	6824
326.4	6944
326.6	7077
326.8	7069
327	7094
327.2	7043
327.4	7075
327.6	7076
327.8	7219
328	7288
328.2	7420
328.4	7459
328.6	7515
328.8	7516
329	7331
329.2	7253
329.4	7362
329.6	7347
329.8	7448
330	7643
330.2	7974
330.4	8319
330.6	8380
330.8	8122
331	8007
331.2	8019
331.4	8024
331.6	8145
331.8	8120
332	8062
332.2	8287
332.4	8262
332.6	8522
332.8	8645
333	8456
333.2	8465
333.4	8506
333.6	8654
333.8	8957
334	8844
334.2	8269
334.4	7875
334.6	7813
334.8	7678
335	7493
335.2	7341
335.4	7182
335.6	7146
335.8	6913
336	6622
336.2	6425
336.4	6303
336.6	6226
336.8	6095
337	6022
337.2	5830
337.4	5799
337.6	5757
337.8	5625
338	5519
338.2	5517
338.4	5434
338.6	5436
338.8	5335
339	5337
339.2	5346
339.4	5284
339.6	5369
339.8	5238
340	5313
340.2	5237
340.4	5404
340.6	5257
340.8	5397
341	5507
341.2	5543
341.4	5550
341.6	5470
341.8	5419
342	5516
342.2	5449
342.4	5481
342.6	5438
342.8	5447
343	5520
343.2	5513
343.4	5571
343.6	5633
343.8	5672
344	5688
344.2	5976
344.4	6313
344.6	6628
344.8	6665
345	6263
345.2	5991
345.4	5771
345.6	5604
345.8	5597
346	5485
346.2	5467
346.4	5615
346.6	5708
346.8	5721
347	5738
347.2	5807
347.4	5906
347.6	6150
347.8	6610
348	7055
348.2	6681
348.4	6390
348.6	6306
348.8	6217
349	6313
349.2	6344
349.4	6541
349.6	7021
349.8	7192
350	7179
350.2	7101
350.4	7200
350.6	7237
350.8	7379
351	7606
351.2	7989
351.4	8519
351.6	9698
351.8	11668
352	13252
352.2	12513
352.4	11773
352.6	12353
352.8	14842
353	19804
353.2	25268
353.4	25591
353.6	23928
353.8	21969
354	21400
354.2	21281
354.4	20440
354.6	19302
354.8	19029
355	20440
355.2	20718
355.4	17726
355.6	14468
355.8	12804
356	12186
356.2	12021
356.4	11603
356.6	10851
356.8	10310
357	9811
357.2	9374
357.4	8771
357.6	8505
357.8	8368
358	8237
358.2	7943
358.4	7624
358.6	7940
358.8	8639
359	8388
359.2	7780
359.4	7554
359.6	7742
359.8	8544
360	10725
360.2	16799
360.4	20881
360.6	12847
360.8	10699
361	12091
361.2	14567
361.4	13461
361.6	8680
361.8	7805
362	8516
362.2	10402
362.4	13964
362.6	15341
362.8	10422
363	8327
363.2	9211
363.4	13505
363.6	14858
363.8	9526
364	7072
364.2	6422
364.4	6659
364.6	7472
364.8	6790
365	5876
365.2	5244
365.4	4959
365.6	4809
365.8	4701
366	4618
366.2	4580
366.4	4453
366.6	4482
366.8	4403
367	4367
367.2	4392
367.4	4372
367.6	4333
367.8	4413
