# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':GLASS (Nd:Q98 Glass)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by MS on 22 January 1988 and was 
# annotated on 28 January 1988.  The sample name was "" was a 1.8500
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 325 to 830nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PE-3600 = 001 GLAS5.SP ON PC = 001GLAS5.SP NO_POINTS = 2526. pts DATA_INTV = 0.000200 µm MIN_LAMBDA = 0.325000 µm MIN_DATA = 0. MAX_LAMBDA = 0.830000 µm MAX_DATA = 31842.0 SCANSPEED = .015 æm/min SLITWIDTH= 0.00020 µmITA = 0. RESP = 0.5 sec ISMS = 0. DATE=88/01/22 INST = 509. ? = 0. ND:GLASS SAMPLE FROM KIGRE CORP. Q-98 GLASS. THE MATERIAL IS SUPPOSE TO BE 3wt.% ND (CONVERSATION WITH J. MEYERS INDICATE 3wt.% APPROX. 3*10(20)IONS/CM3. ND2O3. converted to AU by Mark Storm. header added by hand. Q-98KIGRE ND:GLASS,SAMEAS1-4,HIGHRES, STORM.
#
##Wavelength (nm)	Absorbance (/meter) 
325	6506
325.2	6387
325.4	6309
325.6	6329
325.8	6298
326	6176
326.2	6179
326.4	6185
326.6	6141
326.8	6118
327	6110
327.2	6111
327.4	6075
327.6	6048
327.8	5912
328	5889
328.2	5853
328.4	5751
328.6	5838
328.8	5690
329	5596
329.2	5599
329.4	5559
329.6	5421
329.8	5404
330	5345
330.2	5210
330.4	5230
330.6	5132
330.8	5164
331	5005
331.2	4841
331.4	4770
331.6	4675
331.8	4559
332	4506
332.2	4423
332.4	4283
332.6	4198
332.8	4002
333	3885
333.2	3819
333.4	3724
333.6	3588
333.8	3503
334	3342
334.2	3194
334.4	3152
334.6	3031
334.8	2934
335	2780
335.2	2733
335.4	2763
335.6	2613
335.8	2467
336	2427
336.2	2411
336.4	2341
336.6	2239
336.8	2232
337	2161
337.2	2061
337.4	2142
337.6	2142
337.8	2084
338	2044
338.2	2091
338.4	2058
338.6	1989
338.8	1994
339	2010
339.2	1870
339.4	1899
339.6	1835
339.8	1967
340	1936
340.2	1846
340.4	1859
340.6	1751
340.8	1771
341	1835
341.2	1717
341.4	1776
341.6	1679
341.8	1731
342	1732
342.2	1694
342.4	1687
342.6	1603
342.8	1708
343	1593
343.2	1687
343.4	1692
343.6	1624
343.8	1673
344	1630
344.2	1573
344.4	1632
344.6	1626
344.8	1690
345	1670
345.2	1737
345.4	1924
345.6	2054
345.8	2298
346	2616
346.2	3127
346.4	3634
346.6	4288
346.8	5042
347	5952
347.2	6650
347.4	7237
347.6	7704
347.8	8104
348	8270
348.2	8318
348.4	8329
348.6	8336
348.8	8469
349	8641
349.2	9018
349.4	9493
349.6	10093
349.8	10489
350	10800
350.2	10813
350.4	10645
350.6	10166
350.8	9594
351	9009
351.2	8603
351.4	8119
351.6	7754
351.8	7371
352	7265
352.2	7222
352.4	7201
352.6	7227
352.8	7381
353	7512
353.2	7488
353.4	7479
353.6	7460
353.8	7350
354	7341
354.2	7403
354.4	7763
354.6	8178
354.8	8703
355	9400
355.2	10070
355.4	10596
355.6	10751
355.8	10701
356	10732
356.2	10662
356.4	10560
356.6	10361
356.8	10241
357	9933
357.2	9659
357.4	9111
357.6	8810
357.8	8243
358	7540
358.2	6782
358.4	5978
358.6	5259
