# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YAG (Nd:Y3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by MS on 22 January 1988 and was 
# annotated on 28 January 1988.  The sample name was "" was a 1.8000
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 325 to 830nm
# every 0.1nm at room temperature.
#
# FILE NAME ON PE-3600 = 001 NYAG9.SP ON PC = 001NYAG9.SP NO_POINTS = 2251. pts DATA_INTV = 0.000100 µm MIN_LAMBDA = 0.325000 µm MIN_DATA = 0. MAX_LAMBDA = 0.830000 µm MAX_DATA = 159180. SCANSPEED = .015 µm/min SLITWIDTH= 0.00020 µmITA = 0. RESP = 0.5 sec ISMS = 0. DATE =88/06/08 INST = 509. ? = 0. THE ND:YAG SAMPLE WAS FOUND IN CHUCK'S LAB. ASSUME 1% ND CONCENTRATION. 1.8 MM THICK. STORM converted to AU by Mark Storm. header added by hand ND:YAG,1%ND,1.8MMTHICK,FINAL RUN,HIGH RES.,STORM.
#
##Wavelength (nm)	Absorbance (/meter) 
325	1228
325.1	1504
325.2	1457
325.3	1367
325.4	1135
325.5	1509
325.6	1513
325.7	1319
325.8	1634
325.9	1667
326	1777
326.1	1859
326.2	1811
326.3	2051
326.4	2313
326.5	2574
326.6	2831
326.7	2886
326.8	2737
326.9	3172
327	3364
327.1	3466
327.2	3822
327.3	3700
327.4	3694
327.5	3917
327.6	3291
327.7	3415
327.8	3430
327.9	3413
328	3631
328.1	3931
328.2	4048
328.3	3823
328.4	4036
328.5	4246
328.6	3856
328.7	3963
328.8	4062
328.9	3830
329	3682
329.1	3466
329.2	3612
329.3	3461
329.4	3447
329.5	3110
329.6	3468
329.7	3371
329.8	3444
329.9	3399
330	3465
330.1	3285
330.2	3807
330.3	3903
330.4	4127
330.5	4834
330.6	5147
330.7	5879
330.8	6365
330.9	5674
331	4950
331.1	4641
331.2	4458
331.3	4621
331.4	4232
331.5	4182
331.6	4425
331.7	4566
331.8	4534
331.9	4520
332	4868
332.1	4854
332.2	4970
332.3	4916
332.4	4972
332.5	4692
332.6	4505
332.7	4661
332.8	4817
332.9	4678
333	5068
333.1	5606
333.2	5301
333.3	5616
333.4	5722
333.5	6097
333.6	6230
333.7	6008
333.8	6035
333.9	5735
334	5421
334.1	5523
334.2	5693
334.3	5420
334.4	5530
334.5	5161
