# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YLF (Nd:LiYF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by MS on  5 January 1988 and was 
# annotated on 28 January 1988.  The sample name was "" was a 4.1000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 325 to 830nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PE-3600 = 001 NYLF5.SP ON PC = 001NYLF5.SP NO_POINTS = 2526. pts DATA_INTV = 0.000200 µm MIN_LAMBDA = 0.325000 µm MIN_DATA = 0. MAX_LAMBDA = 0.830000 µm MAX_DATA = 34350.0 SCANSPEED = .015 µm/min SLITWIDTH= 0.00010 µmITA = 0. RESP = 1.0 sec ISMS = 0. DATE=88/01/05 INST = 509. ? = 0. POLARIZED ND:YLF SPECTRA. CRYSTALS FROM AIRTRON. PLASTIC POLARIZERS USED. ONLY 95% POLARIZED AT 810NM. MORE POL. AT SHORTER WAVELENGTHS TO 400. LESS POLARIZED LONGER THAN 810NM AND SHORTER THAN 400NM. STORM converted by Mark Storm. header added by hand. ND:YLF,AIRTRON,.162 IN THICK,A-AXIS,PERP. TO AWIND.
#
##Wavelength (nm)	Absorbance (/meter) 
325	1609
325.2	1568
325.4	1821
325.6	1638
325.8	1523
326	1884
326.2	2622
326.4	1960
326.6	1804
326.8	1962
327	2203
327.2	2222
327.4	1964
327.6	1998
327.8	2103
328	1921
328.2	2486
328.4	2626
328.6	1831
328.8	1362
329	2110
329.2	2117
329.4	1737
329.6	1887
329.8	1736
330	1647
330.2	1592
330.4	1379
330.6	1206
330.8	1546
331	1616
331.2	1784
331.4	507
331.6	191
331.8	323
332	809
332.2	1178
332.4	918
332.6	1015
332.8	870
333	740
333.2	417
333.4	783
333.6	582
333.8	541
334	377
334.2	379
334.4	822
334.6	428
334.8	329
335	100
335.2	451
335.4	261
335.6	1
335.8	1
336	73
336.2	616
336.4	512
336.6	748
336.8	332
337	98
337.2	513
337.4	134
337.6	145
337.8	617
338	542
338.2	850
338.4	818
338.6	1054
338.8	147
339	131
339.2	568
339.4	585
339.6	624
339.8	235
340	445
340.2	723
340.4	610
340.6	212
340.8	455
341	507
341.2	561
341.4	608
341.6	563
341.8	1411
342	754
342.2	257
342.4	320
342.6	1127
342.8	763
343	1534
343.2	505
343.4	980
343.6	825
343.8	873
344	759
344.2	625
344.4	843
344.6	745
344.8	895
345	1186
345.2	1102
345.4	1066
345.6	1658
345.8	1847
346	2456
346.2	3068
346.4	3308
346.6	4174
346.8	5018
347	5508
347.2	4773
347.4	3402
347.6	3791
347.8	2980
348	2710
348.2	2296
348.4	2715
