# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YLF (Nd:LiYF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by MS on  5 January 1988 and was 
# annotated on 28 January 1988.  The sample name was "" was a 4.1000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 325 to 830nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PE-3600 = 001 NYLF4.SP ON PC = 001NYLF4.SP NO_POINTS = 2526. pts DATA_INTV = 0.000200 µm MIN_LAMBDA = 0.325000 µm MIN_DATA = 0. MAX_LAMBDA = 0.830000 µm MAX_DATA = 107808.0 SCANSPEED = .015 µm/min SLITWIDTH= 0.00010 µmITA = 0. RESP = 1.0 sec ISMS = 0. DATE=88/01/05 INST = 509. ? = 0. POLARIZED SPECTRA. PLASTIC POLARIZERS USED.EFFECTS OF PLASTIC NORMALIZED OUT.ONLY 95%POLARIZED AT 810NM. POL. GETS WORSE (90%) AT 820 AND WORSE BELOW 390NM. converted by Mark Storm. header added by hand. ND:YLF,AIRTRON,.162IN THICK,C-AXIS,PARAL. TO AWIND.
#
##Wavelength (nm)	Absorbance (/meter) 
325	2626
325.2	1743
325.4	2456
325.6	2574
325.8	3159
326	2690
326.2	3218
326.4	3109
326.6	3762
326.8	3564
327	3799
327.2	3487
327.4	3691
327.6	3257
327.8	3960
328	3562
328.2	4097
328.4	4492
328.6	4122
328.8	3028
329	3480
329.2	3345
329.4	3398
329.6	3398
329.8	3782
330	3910
330.2	4677
330.4	5059
330.6	6176
330.8	6677
331	5951
331.2	4770
331.4	2916
331.6	2783
331.8	2806
332	3020
332.2	3351
332.4	2818
332.6	2130
332.8	2425
333	1762
333.2	1363
333.4	1996
333.6	2109
333.8	1158
334	1172
334.2	1614
334.4	2010
334.6	1209
334.8	1561
335	1354
335.2	1728
335.4	1075
335.6	1689
335.8	1159
336	1343
336.2	1198
336.4	1973
336.6	1997
336.8	1473
337	1332
337.2	1107
337.4	1598
337.6	1596
337.8	1586
338	1555
338.2	1955
338.4	1580
338.6	2125
338.8	1521
339	1166
339.2	1844
339.4	1554
339.6	2111
339.8	1475
340	2073
340.2	2329
340.4	2138
340.6	1558
340.8	1357
341	1800
341.2	1145
341.4	1138
341.6	1447
341.8	1782
342	1426
342.2	1421
342.4	1434
342.6	1674
342.8	1766
343	2271
343.2	1993
343.4	2133
343.6	2528
343.8	2832
344	2305
344.2	2280
344.4	1715
344.6	1391
344.8	2076
345	2059
345.2	1747
345.4	1964
345.6	1528
345.8	1980
346	2003
346.2	2017
346.4	2104
346.6	2213
346.8	2786
347	3027
347.2	3411
347.4	3661
347.6	4773
347.8	5494
348	7071
348.2	7949
348.4	9368
348.6	11391
348.8	13564
349	15765
349.2	17033
349.4	17250
349.6	16446
349.8	16431
350	16496
350.2	15935
350.4	15259
350.6	14401
350.8	13999
351	12694
351.2	13268
351.4	14577
351.6	14774
351.8	14904
352	14702
352.2	15336
352.4	16249
352.6	15123
352.8	12572
353	10012
353.2	7798
353.4	6953
353.6	7457
353.8	6847
354	6299
354.2	6451
354.4	5116
354.6	4281
354.8	4008
355	3900
355.2	4158
355.4	3871
355.6	4954
355.8	5345
356	4837
356.2	4961
356.4	5596
356.6	7351
356.8	9533
357	11352
357.2	14675
357.4	23050
357.6	21283
357.8	11915
358	7002
358.2	4817
358.4	3924
358.6	3302
358.8	2439
359	1636
359.2	2366
359.4	1648
359.6	1480
359.8	1585
360	1924
360.2	1197
360.4	1209
360.6	1663
360.8	1495
361	1277
361.2	1087
361.4	1188
361.6	988
361.8	587
362	1195
362.2	1433
362.4	751
362.6	1019
362.8	1240
363	696
363.2	879
363.4	815
363.6	996
363.8	342
364	603
364.2	830
364.4	798
364.6	1544
364.8	923
365	1673
365.2	1557
365.4	1012
365.6	404
365.8	276
366	680
366.2	1216
366.4	367
366.6	710
366.8	467
367	770
367.2	516
367.4	966
367.6	1155
367.8	1180
368	570
368.2	1121
368.4	1095
368.6	257
368.8	87
369	728
369.2	927
369.4	620
369.6	707
369.8	1165
370	1919
370.2	564
370.4	403
370.6	812
370.8	278
371	866
371.2	811
371.4	124
371.6	727
371.8	765
372	389
372.2	16
372.4	736
372.6	1127
372.8	1233
373	631
373.2	510
373.4	904
373.6	1573
373.8	643
374	1001
374.2	336
374.4	1
374.6	364
374.8	664
375	1489
375.2	526
375.4	994
375.6	693
375.8	25
376	1162
376.2	845
376.4	151
376.6	1
376.8	1
377	1
377.2	1
377.4	1309
377.6	963
377.8	378
378	1488
378.2	494
378.4	842
378.6	772
378.8	813
379	694
379.2	1162
379.4	1057
379.6	915
379.8	945
380	792
380.2	1098
380.4	820
380.6	505
380.8	831
381	814
381.2	1635
381.4	890
381.6	1155
381.8	1043
382	1027
382.2	1100
382.4	843
382.6	938
382.8	873
383	965
383.2	1268
383.4	1018
383.6	1203
383.8	1259
384	1065
384.2	1154
384.4	1201
384.6	1023
384.8	893
385	1193
385.2	1308
385.4	929
385.6	1379
385.8	924
386	991
386.2	605
386.4	1066
386.6	863
386.8	846
387	876
387.2	1285
387.4	1127
387.6	1213
387.8	637
388	954
388.2	864
388.4	995
388.6	878
388.8	1079
389	1277
389.2	1219
389.4	918
389.6	1227
389.8	1471
390	1313
390.2	778
390.4	958
390.6	1118
390.8	1180
391	1148
391.2	909
391.4	938
391.6	1124
391.8	1123
392	998
392.2	1226
392.4	958
392.6	875
392.8	1006
393	1130
393.2	1074
393.4	1606
393.6	1314
393.8	924
394	1231
394.2	901
394.4	1247
394.6	1356
394.8	1338
395	1116
395.2	1244
395.4	1033
395.6	991
395.8	1195
396	1088
396.2	1180
396.4	1048
396.6	840
396.8	1087
397	1013
397.2	1063
397.4	1156
397.6	1004
397.8	879
398	834
398.2	1049
398.4	1309
398.6	1228
398.8	778
399	912
399.2	1084
399.4	1425
399.6	1095
399.8	1532
400	1493
400.2	891
400.4	1261
400.6	1075
400.8	1155
401	1043
401.2	1272
401.4	1290
401.6	1192
401.8	744
402	1062
402.2	1134
402.4	1174
402.6	1212
402.8	1270
403	940
403.2	1362
403.4	1281
403.6	1356
403.8	1476
404	1002
404.2	866
404.4	1157
404.6	1216
404.8	916
405	969
405.2	1084
405.4	1383
405.6	1085
405.8	1016
406	1168
406.2	1219
406.4	1121
406.6	1171
406.8	996
407	1298
407.2	1308
407.4	1212
407.6	1259
407.8	1318
408	1180
408.2	1090
408.4	963
408.6	1155
408.8	1332
409	1077
409.2	999
409.4	1126
409.6	974
409.8	1332
410	794
410.2	988
410.4	1035
410.6	1398
410.8	1238
411	1511
411.2	1365
411.4	1150
411.6	1013
411.8	1450
412	1545
412.2	1524
412.4	1198
412.6	1196
412.8	1569
413	1445
413.2	1190
413.4	1012
413.6	1051
413.8	821
414	914
414.2	1303
414.4	1033
414.6	919
414.8	1317
415	1392
415.2	1389
415.4	1284
415.6	1108
415.8	1552
416	1671
416.2	1752
416.4	1522
416.6	1482
416.8	1375
417	1375
417.2	1043
417.4	1045
417.6	1334
417.8	1520
418	1350
418.2	1642
418.4	1226
418.6	1218
418.8	1133
419	1286
419.2	1009
419.4	1278
419.6	1246
419.8	1382
420	1378
420.2	1673
420.4	1252
420.6	1238
420.8	1477
421	1255
421.2	1212
421.4	1298
421.6	1434
421.8	1374
422	1238
422.2	1173
422.4	1412
422.6	1214
422.8	1264
423	1161
423.2	1147
423.4	1310
423.6	1267
423.8	1422
424	1356
424.2	1240
424.4	1334
424.6	1206
424.8	1203
425	978
425.2	1376
425.4	1405
425.6	1161
425.8	1404
426	1252
426.2	1127
426.4	1300
426.6	1385
426.8	994
427	1281
427.2	1242
427.4	1359
427.6	1108
427.8	1210
428	1255
428.2	1167
428.4	1209
428.6	1206
428.8	1124
429	1361
429.2	1445
429.4	1515
429.6	1497
429.8	1458
430	1638
430.2	2019
430.4	2798
430.6	4360
430.8	5939
431	4183
431.2	2481
431.4	2296
431.6	2469
431.8	3171
432	3630
432.2	3095
432.4	2839
432.6	2144
432.8	1708
433	1470
433.2	1231
433.4	1518
433.6	1557
433.8	1731
434	1197
434.2	1174
434.4	1192
434.6	1375
434.8	1126
435	1374
435.2	1221
435.4	991
435.6	1060
435.8	1174
436	980
436.2	1202
436.4	1051
436.6	929
436.8	1029
437	1060
437.2	1157
437.4	1226
437.6	1022
437.8	1053
438	1016
438.2	1044
438.4	1148
438.6	1044
438.8	1073
439	1209
439.2	1051
439.4	1114
439.6	1180
439.8	1106
440	1260
440.2	1043
440.4	1253
440.6	1123
440.8	1160
441	1119
441.2	1019
441.4	1000
441.6	1075
441.8	1274
442	1280
442.2	1137
442.4	1224
442.6	836
442.8	1077
443	1060
443.2	1178
443.4	1014
443.6	1040
443.8	1136
444	1105
444.2	873
444.4	761
444.6	907
444.8	861
445	1063
445.2	1218
445.4	1003
445.6	984
445.8	1189
446	1222
446.2	1049
446.4	1132
446.6	1062
446.8	882
447	1161
447.2	1051
447.4	1191
447.6	1254
447.8	1297
448	1288
448.2	1092
448.4	1073
448.6	1136
448.8	1306
449	1237
449.2	1296
449.4	1270
449.6	1328
449.8	1373
450	1251
450.2	1151
450.4	1276
450.6	1264
450.8	1441
451	1587
451.2	1722
451.4	1629
451.6	1279
451.8	1462
452	1518
452.2	1547
452.4	1476
452.6	1603
452.8	1729
453	1701
453.2	1652
453.4	1928
453.6	1970
453.8	2194
454	2284
454.2	2376
454.4	2659
454.6	2876
454.8	2998
455	3371
455.2	3103
455.4	2685
455.6	2391
455.8	2214
456	2033
456.2	1939
456.4	2035
456.6	2006
456.8	1874
457	1972
457.2	1801
457.4	1755
457.6	1985
457.8	1909
458	2028
458.2	2064
458.4	2300
458.6	2181
458.8	2235
459	2075
459.2	2203
459.4	2287
459.6	2223
459.8	2406
460	2532
460.2	2586
460.4	2723
460.6	2713
460.8	2839
461	2602
461.2	2474
461.4	2464
461.6	2405
461.8	2228
462	2304
462.2	2425
462.4	2626
462.6	2926
462.8	3171
463	3310
463.2	3167
463.4	3191
463.6	3045
463.8	2819
464	2638
464.2	2449
464.4	2332
464.6	2144
464.8	2196
465	2025
465.2	2087
465.4	2271
465.6	2305
465.8	2643
466	3163
466.2	4134
466.4	4771
466.6	4573
466.8	3908
467	3255
467.2	2979
467.4	2506
467.6	2307
467.8	2017
468	1830
468.2	1981
468.4	2090
468.6	2300
468.8	2755
469	3487
469.2	3414
469.4	2965
469.6	2393
469.8	2050
470	2194
470.2	2049
470.4	2023
470.6	1971
470.8	2155
471	2042
471.2	2182
471.4	2171
471.6	2268
471.8	2644
472	2596
472.2	2353
472.4	1677
472.6	1738
472.8	1765
473	1689
473.2	1579
473.4	1640
473.6	1579
473.8	1787
474	1959
474.2	2332
474.4	2808
474.6	4325
474.8	6334
475	4654
475.2	3242
475.4	2533
475.6	2004
475.8	2122
476	1927
476.2	2002
476.4	2068
476.6	1790
476.8	2085
477	2448
477.2	2750
477.4	3330
477.6	4630
477.8	6485
478	7192
478.2	6571
478.4	5021
478.6	4166
478.8	3594
479	3082
479.2	2778
479.4	2750
479.6	2871
479.8	2625
480	2631
480.2	2678
480.4	2095
480.6	2032
480.8	1679
481	1538
481.2	1553
481.4	1470
481.6	1442
481.8	1441
482	1211
482.2	1159
482.4	1365
482.6	1179
482.8	1151
483	1121
483.2	1023
483.4	1035
483.6	1017
483.8	1089
484	939
484.2	1027
484.4	1252
484.6	1067
484.8	1157
485	1030
485.2	864
485.4	1044
485.6	963
485.8	1151
486	1152
486.2	943
486.4	1040
486.6	1239
486.8	1496
487	1431
487.2	1336
487.4	1332
487.6	1252
487.8	953
488	838
488.2	929
488.4	835
488.6	845
488.8	951
489	1053
489.2	934
489.4	1098
489.6	999
489.8	975
490	947
490.2	1101
490.4	1040
490.6	1000
490.8	1197
491	1121
491.2	1089
491.4	1133
491.6	1058
491.8	1092
492	1092
492.2	1121
492.4	1057
492.6	1074
492.8	1217
493	1060
493.2	1097
493.4	1106
493.6	1143
493.8	1180
494	1205
494.2	1224
494.4	1278
494.6	1176
494.8	1238
495	1249
495.2	1227
495.4	1305
495.6	1207
495.8	1130
496	1303
496.2	1332
496.4	1414
496.6	1416
496.8	1509
497	1541
497.2	1537
497.4	1509
497.6	1508
497.8	1580
498	1717
498.2	1684
498.4	1694
498.6	1657
498.8	1736
499	1943
499.2	1874
499.4	1921
499.6	2019
499.8	2053
500	2124
500.2	2193
500.4	2201
500.6	2127
500.8	2255
501	2410
501.2	2344
501.4	2354
501.6	2438
501.8	2472
502	2532
502.2	2581
502.4	2529
502.6	2627
502.8	2516
503	2764
503.2	2706
503.4	2871
503.6	2975
503.8	3010
504	3062
504.2	3018
504.4	3062
504.6	3079
504.8	3119
505	3202
505.2	3122
505.4	3423
505.6	3320
505.8	3397
506	3574
506.2	3747
506.4	3785
506.6	4127
506.8	4267
507	4314
507.2	4195
507.4	4076
507.6	4053
507.8	4004
508	4334
508.2	4763
508.4	5117
508.6	5542
508.8	5933
509	6254
509.2	6770
509.4	7323
509.6	8194
509.8	9009
510	10110
510.2	11055
510.4	12383
510.6	13316
510.8	13332
511	12756
511.2	12040
511.4	11666
511.6	11477
511.8	10963
512	10607
512.2	10063
512.4	8955
512.6	8385
512.8	7671
513	7264
513.2	6956
513.4	6840
513.6	6812
513.8	6552
514	6209
514.2	5644
514.4	5258
514.6	4744
514.8	4227
515	3844
515.2	3336
515.4	3320
515.6	3102
515.8	2817
516	2885
516.2	2794
516.4	2646
516.6	2492
516.8	2601
517	2505
517.2	2436
517.4	2316
517.6	2263
517.8	2385
518	2446
518.2	2181
518.4	2309
518.6	2537
518.8	2699
519	2847
519.2	3035
519.4	2922
519.6	3142
519.8	3289
520	3677
520.2	3882
520.4	4453
520.6	4675
520.8	5373
521	6525
521.2	9232
521.4	14364
521.6	17617
521.8	12933
522	8063
522.2	5778
522.4	4752
522.6	3821
522.8	3540
523	3355
523.2	3047
523.4	3059
523.6	3232
523.8	3690
524	5590
524.2	8102
524.4	7011
524.6	5034
524.8	4120
525	4031
525.2	4237
525.4	4684
525.6	4947
525.8	4994
526	4451
526.2	4285
526.4	4046
526.6	4025
526.8	4145
527	4217
527.2	4712
527.4	5479
527.6	6138
527.8	7092
528	6963
528.2	5445
528.4	4940
528.6	5235
528.8	6734
529	9121
529.2	13662
529.4	18930
529.6	19695
529.8	14904
530	10470
530.2	8260
530.4	6975
530.6	6626
530.8	6500
531	6498
531.2	6633
531.4	6355
531.6	5377
531.8	4698
532	3883
532.2	3259
532.4	2718
532.6	2465
532.8	2143
533	1978
533.2	1960
533.4	1754
533.6	1661
533.8	1794
534	1724
534.2	1730
534.4	1720
534.6	1785
534.8	1491
535	1650
535.2	1688
535.4	2017
535.6	2291
535.8	3068
536	3212
536.2	3463
536.4	3095
536.6	2333
536.8	1970
537	1702
537.2	1397
537.4	1124
537.6	1058
537.8	1034
538	949
538.2	896
538.4	907
538.6	1255
538.8	1145
539	1230
539.2	1047
539.4	947
539.6	954
539.8	1006
540	857
540.2	846
540.4	911
540.6	880
540.8	934
541	872
541.2	925
541.4	761
541.6	802
541.8	864
542	951
542.2	1004
542.4	891
542.6	822
542.8	940
543	879
543.2	851
543.4	986
543.6	864
543.8	879
544	732
544.2	847
544.4	890
544.6	870
544.8	970
545	1085
545.2	972
545.4	916
545.6	682
545.8	778
546	927
546.2	730
546.4	603
546.6	688
546.8	801
547	906
547.2	831
547.4	832
547.6	963
547.8	1042
548	868
548.2	885
548.4	1188
548.6	672
548.8	955
549	854
549.2	883
549.4	758
549.6	540
549.8	635
550	936
550.2	906
550.4	714
550.6	848
550.8	832
551	818
551.2	806
551.4	942
551.6	814
551.8	1153
552	820
552.2	545
552.4	882
552.6	871
552.8	832
553	800
553.2	825
553.4	782
553.6	719
553.8	877
554	873
554.2	827
554.4	736
554.6	862
554.8	727
555	930
555.2	785
555.4	593
555.6	729
555.8	802
556	776
556.2	1195
556.4	928
556.6	756
556.8	846
557	846
557.2	873
557.4	791
557.6	1209
557.8	1128
558	1124
558.2	1119
558.4	1214
558.6	1129
558.8	799
559	885
559.2	974
559.4	1233
559.6	913
559.8	999
560	1294
560.2	1005
560.4	1250
560.6	1379
560.8	1089
561	1082
561.2	1284
561.4	1345
561.6	1284
561.8	1305
562	1326
562.2	1233
562.4	1481
562.6	1417
562.8	1480
563	1535
563.2	1388
563.4	1304
563.6	1334
563.8	1714
564	1531
564.2	1596
564.4	1854
564.6	1812
564.8	1843
565	1841
565.2	1991
565.4	2179
565.6	2637
565.8	3085
566	3862
566.2	5278
566.4	7605
566.6	9719
566.8	9566
567	7954
567.2	6010
567.4	4820
567.6	4006
567.8	3431
568	3414
568.2	3056
568.4	3019
568.6	3142
568.8	3121
569	3332
569.2	3587
569.4	3795
569.6	3971
569.8	4541
570	4850
570.2	5915
570.4	6834
570.6	8351
570.8	9908
571	10399
571.2	9884
571.4	8649
571.6	7286
571.8	6552
572	5548
572.2	5082
572.4	4800
572.6	4250
572.8	4007
573	4077
573.2	4176
573.4	4032
573.6	3771
573.8	3836
574	3940
574.2	4065
574.4	4520
574.6	4719
574.8	4237
575	4000
575.2	3866
575.4	3682
575.6	3975
575.8	4161
576	4512
576.2	4704
576.4	4799
576.6	5215
576.8	5565
577	6120
577.2	6780
577.4	7827
577.6	9475
577.8	11796
578	15073
578.2	17105
578.4	16914
578.6	15680
578.8	14928
579	15280
579.2	16213
579.4	18087
579.6	20525
579.8	23040
580	23492
580.2	22677
580.4	19401
580.6	16613
580.8	14493
581	12506
581.2	11558
581.4	11147
581.6	10905
581.8	10966
582	11205
582.2	11405
582.4	12052
582.6	11900
582.8	11393
583	10730
583.2	10905
583.4	11807
583.6	13462
583.8	15616
584	17615
584.2	19658
584.4	21519
584.6	23462
584.8	25801
585	27292
585.2	25990
585.4	22085
585.6	17916
585.8	14982
586	13433
586.2	12759
586.4	12610
586.6	13562
586.8	14785
587	15863
587.2	15986
587.4	14651
587.6	12331
587.8	10470
588	9048
588.2	8110
588.4	6880
588.6	6454
588.8	5513
589	5129
589.2	4275
589.4	4171
589.6	3910
589.8	3416
590	3434
590.2	3244
590.4	3247
590.6	2972
590.8	2758
591	2208
591.2	2371
591.4	2333
591.6	2403
591.8	1956
592	1850
592.2	1892
592.4	1784
592.6	1749
592.8	1645
593	1444
593.2	1483
593.4	1510
593.6	1613
593.8	1144
594	1593
594.2	1436
594.4	1276
594.6	1443
594.8	1265
595	1528
595.2	1578
595.4	1523
595.6	1630
595.8	1454
596	1478
596.2	1323
596.4	1402
596.6	1330
596.8	865
597	1316
597.2	1194
597.4	1065
597.6	1065
597.8	1098
598	888
598.2	757
598.4	1003
598.6	763
598.8	871
599	849
599.2	1234
599.4	1034
599.6	1087
599.8	855
600	1074
600.2	1098
600.4	1157
600.6	1497
600.8	928
601	1135
601.2	1025
601.4	1188
601.6	1146
601.8	1034
602	958
602.2	1179
602.4	965
602.6	820
602.8	779
603	904
603.2	1182
603.4	1031
603.6	695
603.8	719
604	969
604.2	873
604.4	776
604.6	679
604.8	645
605	935
605.2	1065
605.4	561
605.6	725
605.8	884
606	664
606.2	914
606.4	963
606.6	877
606.8	928
607	959
607.2	978
607.4	670
607.6	718
607.8	730
608	705
608.2	506
608.4	572
608.6	960
608.8	848
609	853
609.2	735
609.4	731
609.6	626
609.8	771
610	776
610.2	942
610.4	999
610.6	1027
610.8	911
611	1013
611.2	832
611.4	839
611.6	888
611.8	734
612	874
612.2	769
612.4	730
612.6	792
612.8	843
613	958
613.2	946
613.4	851
613.6	741
613.8	1088
614	738
614.2	807
614.4	735
614.6	478
614.8	873
615	868
615.2	688
615.4	718
615.6	803
615.8	695
616	807
616.2	691
616.4	791
616.6	937
616.8	676
617	982
617.2	863
617.4	760
617.6	410
617.8	384
618	748
618.2	498
618.4	970
618.6	929
618.8	851
619	977
619.2	1135
619.4	1046
619.6	856
619.8	1118
620	1049
620.2	955
620.4	1064
620.6	980
620.8	850
621	661
621.2	1040
621.4	804
621.6	1085
621.8	1376
622	890
622.2	1141
622.4	748
622.6	1301
622.8	1295
623	1306
623.2	850
623.4	904
623.6	728
623.8	938
624	697
624.2	816
624.4	1005
624.6	1033
624.8	1195
625	816
625.2	800
625.4	1006
625.6	854
625.8	1316
626	1521
626.2	1595
626.4	1587
626.6	1682
626.8	1858
627	1751
627.2	1810
627.4	1402
627.6	1427
627.8	1766
628	1524
628.2	1412
628.4	1341
628.6	1161
628.8	1325
629	1089
629.2	958
629.4	980
629.6	891
629.8	914
630	817
630.2	946
630.4	782
630.6	1078
630.8	863
631	996
631.2	836
631.4	1146
631.6	1074
631.8	1289
632	1364
632.2	1136
632.4	1090
632.6	1226
632.8	859
633	965
633.2	567
633.4	720
633.6	693
633.8	714
634	900
634.2	799
634.4	845
634.6	714
634.8	800
635	780
635.2	933
635.4	778
635.6	578
635.8	948
636	820
636.2	713
636.4	829
636.6	799
636.8	981
637	694
637.2	804
637.4	745
637.6	576
637.8	938
638	599
638.2	795
638.4	777
638.6	584
638.8	803
639	712
639.2	405
639.4	581
639.6	807
639.8	607
640	795
640.2	905
640.4	824
640.6	752
640.8	997
641	912
641.2	939
641.4	805
641.6	423
641.8	622
642	559
642.2	766
642.4	798
642.6	712
642.8	878
643	769
643.2	793
643.4	781
643.6	717
643.8	646
644	471
644.2	644
644.4	805
644.6	638
644.8	553
645	731
645.2	900
645.4	859
645.6	1022
645.8	720
646	614
646.2	846
646.4	809
646.6	823
646.8	793
647	793
647.2	838
647.4	861
647.6	983
647.8	1031
648	758
648.2	848
648.4	780
648.6	607
648.8	694
649	827
649.2	691
649.4	848
649.6	711
649.8	845
650	821
650.2	721
650.4	868
650.6	716
650.8	559
651	697
651.2	675
651.4	733
651.6	586
651.8	899
652	565
652.2	661
652.4	657
652.6	646
652.8	645
653	503
653.2	616
653.4	618
653.6	403
653.8	670
654	408
654.2	594
654.4	771
654.6	707
654.8	819
655	645
655.2	687
655.4	907
655.6	770
655.8	676
656	781
656.2	407
656.4	522
656.6	711
656.8	466
657	454
657.2	704
657.4	826
657.6	663
657.8	628
658	931
658.2	635
658.4	737
658.6	660
658.8	617
659	594
659.2	777
659.4	480
659.6	649
659.8	762
660	628
660.2	723
660.4	377
660.6	470
660.8	687
661	680
661.2	776
661.4	1050
661.6	914
661.8	857
662	830
662.2	818
662.4	819
662.6	729
662.8	878
663	749
663.2	890
663.4	811
663.6	484
663.8	432
664	679
664.2	770
664.4	684
664.6	748
664.8	737
665	804
665.2	1030
665.4	698
665.6	768
665.8	657
666	875
666.2	686
666.4	999
666.6	725
666.8	1070
667	825
667.2	757
667.4	777
667.6	1078
667.8	1063
668	774
668.2	992
668.4	987
668.6	893
668.8	801
669	919
669.2	1072
669.4	915
669.6	1536
669.8	1355
670	892
670.2	1327
670.4	1341
670.6	1546
670.8	1959
671	2242
671.2	2978
671.4	3591
671.6	3481
671.8	3168
672	2314
672.2	1752
672.4	1549
672.6	1413
672.8	1377
673	1155
673.2	905
673.4	1271
673.6	1012
673.8	876
674	1009
674.2	1376
674.4	1238
674.6	1412
674.8	1408
675	1408
675.2	1869
675.4	1720
675.6	1859
675.8	2133
676	2253
676.2	2929
676.4	3173
676.6	3761
676.8	4207
677	4712
677.2	5166
677.4	5800
677.6	6530
677.8	6679
678	5303
678.2	4061
678.4	3356
678.6	2667
678.8	2568
679	1852
679.2	1875
679.4	2028
679.6	2069
679.8	2086
680	2066
680.2	2071
680.4	1805
680.6	1841
