# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YVO4 (Nd:YVO4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by MS on 11 March 1988 and was 
# annotated on 18 March 1988.  The sample name was "" was a 1.6000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 325 to 840nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PE-3600 = 001 NYVO4.SP ON PC = 001NYVO4.SP NO_POINTS = 2576. pts DATA_INTV = 0.000200 µm MIN_LAMBDA = 0.325000 µm MIN_DATA = 0. MAX_LAMBDA = 0.840000 µm MAX_DATA = .598120E6 SCANSPEED = .015 µm/minSLITWIDTH = 0.00020 µmITA = 0. RESP = 0.5 sec ISMS = 0. DATE=88/03/11 INST = 509. ? = 0. THIS IS ND:YVO4 SPECTRA FROM A SAMPLE PROVIDED BY MILT BIRNBAUM THE SAMPLE IS MULTI-COLOR THAT IS NOT UNIFORM. SCATTERING LOSSES AT THE SURFACE WERE LARGE BECAUSE OF POOR SURFACE QUALITY.INTERNA LOSSES UNKNOWN. SEE NYVO3 FOR MORE COMMENTS. STORM shortside is A (or B) axis (å polar or ordinary ray) converted by Mark Storm. header added by hand ND:YVO4,1%ND,1.60MM THICK,BIRNBAUM,SHORT SIDE,STORM.
#
##Wavelength (nm)	Absorbance (/meter) 
325	356118
325.2	357441
325.4	404893
325.6	356141
325.8	442792
326	468141
326.2	357479
326.4	598121
326.6	339182
326.8	433195
327	352404
327.2	351198
327.4	399530
327.6	421090
327.8	364569
328	379649
328.2	424901
328.4	460868
328.6	529539
328.8	511566
329	402248
329.2	575646
329.4	379700
329.6	417590
329.8	448377
330	411020
330.2	575646
330.4	381659
330.6	402306
330.8	358991
331	414261
331.2	364691
331.4	351350
331.6	402341
331.8	359027
332	575646
332.2	411097
332.4	414310
332.6	405154
332.8	379820
333	486374
333.2	575646
333.4	529709
333.6	405189
333.8	438077
334	399764
334.2	486415
334.4	476787
334.6	425126
334.8	383796
335	367872
335.2	397254
335.4	438131
335.6	438138
335.8	429200
336	408178
336.2	468502
336.4	497884
336.6	575646
336.8	468522
337	360577
337.2	390237
337.4	575646
337.6	443206
337.8	575646
338	402558
338.2	378135
338.4	402571
338.6	425259
338.8	433611
339	425272
339.2	575646
339.4	448703
339.6	411344
339.8	388128
340	383966
340.2	381988
340.4	399975
340.6	575646
340.8	369643
341	334903
341.2	369656
341.4	323981
341.6	333110
341.8	333116
342	301554
342.2	284667
342.4	271388
342.6	254589
342.8	245178
343	240553
343.2	226612
343.4	219131
343.6	207121
343.8	198692
344	189094
344.2	175906
344.4	169870
344.6	158864
344.8	154473
345	147426
345.2	139746
345.4	132332
345.6	128918
345.8	121592
346	115255
346.2	109653
346.4	105322
346.6	98332
346.8	94425
347	89834
347.2	86326
347.4	81192
347.6	77932
347.8	73380
348	69886
348.2	68186
348.4	65614
348.6	61994
348.8	58915
349	56384
349.2	54156
349.4	51365
349.6	49601
349.8	46693
350	45805
350.2	44217
350.4	40088
350.6	38263
350.8	37739
351	36065
351.2	35910
351.4	33419
351.6	32730
351.8	32547
352	31746
352.2	30239
352.4	29723
352.6	28081
352.8	28310
353	30471
353.2	33985
353.4	36193
353.6	40275
353.8	44606
354	54721
354.2	69888
354.4	90388
354.6	100652
354.8	82195
355	60894
355.2	49395
355.4	43448
355.6	40534
355.8	41784
356	42515
356.2	42495
356.4	42204
356.6	42888
356.8	46152
357	47963
357.2	47535
357.4	42298
357.6	36736
357.8	32998
358	31308
358.2	31186
358.4	30860
358.6	29694
358.8	29259
359	30099
359.2	30852
359.4	33661
359.6	36487
359.8	36893
360	35862
360.2	31082
360.4	29775
360.6	26300
360.8	26436
361	27252
361.2	27529
361.4	27574
361.6	28344
361.8	33862
362	35434
362.2	38039
362.4	31328
362.6	23178
362.8	19453
363	19352
363.2	19808
363.4	20899
363.6	19601
363.8	17016
364	15389
364.2	14566
364.4	15850
364.6	15954
364.8	16141
365	15091
365.2	13073
365.4	9574
365.6	8603
365.8	7633
366	5798
366.2	5915
366.4	5812
366.6	4852
366.8	4783
367	4204
367.2	3530
367.4	4424
367.6	4686
367.8	3648
368	3944
368.2	3667
368.4	2928
368.6	4691
368.8	3477
369	2829
369.2	3202
369.4	2888
369.6	2875
369.8	2776
370	2683
370.2	2893
370.4	1402
370.6	3234
370.8	2168
371	2407
371.2	2323
371.4	1303
371.6	2005
371.8	1763
372	1292
372.2	2755
372.4	2514
372.6	1284
372.8	1895
373	2585
373.2	1759
373.4	1274
373.6	1417
373.8	1513
374	2310
374.2	1908
374.4	1904
374.6	2036
374.8	2856
375	3937
375.2	2456
375.4	2124
375.6	1246
375.8	3003
376	2000
376.2	2931
376.4	1578
376.6	2815
376.8	4441
377	2423
377.2	2017
377.4	1530
377.6	3185
377.8	2320
378	1787
378.2	3445
378.4	1424
378.6	2033
378.8	3111
379	1202
379.2	2861
379.4	1659
379.6	2124
379.8	1702
380	1991
380.2	2295
380.4	1322
380.6	2308
380.8	1823
381	1648
381.2	1963
381.4	1547
381.6	2196
381.8	2006
382	1520
382.2	2036
382.4	2133
382.6	1680
382.8	1759
383	1894
383.2	2087
383.4	1788
383.6	2452
383.8	1469
384	1791
384.2	2081
384.4	1699
384.6	1646
384.8	1628
385	2339
385.2	2153
385.4	2104
385.6	2931
385.8	1901
386	1403
386.2	2681
386.4	2605
386.6	1663
386.8	1632
387	2184
387.2	1470
387.4	1296
387.6	2076
387.8	2181
388	1311
388.2	1659
388.4	2285
388.6	1990
388.8	1235
389	2011
389.2	1464
389.4	1173
389.6	1711
389.8	1807
390	1375
390.2	1535
390.4	1409
390.6	1704
390.8	1725
391	1589
391.2	1142
391.4	1458
391.6	1348
391.8	2089
392	1200
392.2	1550
392.4	1480
392.6	1610
392.8	1666
393	1409
393.2	2040
393.4	1559
393.6	1907
393.8	2095
394	1323
394.2	1709
394.4	1235
394.6	1869
394.8	1881
395	1933
395.2	1526
395.4	1739
395.6	1183
395.8	1563
396	1771
396.2	1314
396.4	1257
396.6	1621
396.8	1424
397	1619
397.2	1237
397.4	1033
397.6	1153
397.8	1381
398	1476
398.2	2011
398.4	1556
398.6	1244
398.8	1494
399	1246
399.2	1492
399.4	1931
399.6	1586
399.8	1476
400	1419
400.2	1414
400.4	1374
400.6	1616
400.8	2068
401	1138
401.2	1870
401.4	1516
401.6	1390
401.8	1057
402	1211
402.2	1141
402.4	1715
402.6	1841
402.8	1731
403	1025
403.2	1664
403.4	1580
403.6	1445
403.8	1387
404	1664
404.2	2072
404.4	1840
404.6	901
404.8	1395
405	1407
405.2	1540
405.4	1561
405.6	1179
405.8	1264
406	2080
406.2	1370
406.4	1516
406.6	1441
406.8	1744
407	1357
407.2	1872
407.4	1710
407.6	1272
407.8	1327
408	1719
408.2	1809
408.4	1813
408.6	1477
408.8	1411
409	1679
409.2	1478
409.4	1603
409.6	1836
409.8	1440
410	1344
410.2	1149
410.4	1126
410.6	1241
410.8	1175
411	1024
411.2	1255
411.4	1296
411.6	1494
411.8	1015
412	1630
412.2	1266
412.4	1441
412.6	1431
412.8	1060
413	1489
413.2	1548
413.4	1331
413.6	1546
413.8	1467
414	1370
414.2	991
414.4	1463
414.6	1418
414.8	1150
415	1252
415.2	1622
415.4	1573
415.6	1321
415.8	1066
416	1629
416.2	1451
416.4	1471
416.6	721
416.8	1059
417	1024
417.2	1569
417.4	1745
417.6	1234
417.8	1314
418	1042
418.2	1333
418.4	864
418.6	1395
418.8	1269
419	1241
419.2	1210
419.4	1437
419.6	1668
419.8	1201
420	1329
420.2	1418
420.4	1598
420.6	1290
420.8	1487
421	1253
421.2	1605
421.4	963
421.6	1102
421.8	930
422	1340
422.2	1373
422.4	1333
422.6	1284
422.8	1459
423	1807
423.2	1676
423.4	1843
423.6	1625
423.8	1905
424	1428
424.2	1186
424.4	867
424.6	1552
424.8	1318
425	1437
425.2	1049
425.4	1550
425.6	1196
425.8	1186
426	842
426.2	1445
426.4	1374
426.6	1679
426.8	1302
427	1335
427.2	1004
427.4	1182
427.6	1490
427.8	1432
428	690
428.2	1308
428.4	1651
428.6	1292
428.8	1299
429	1581
429.2	1519
429.4	1341
429.6	1057
429.8	1222
430	1250
430.2	1009
430.4	1470
430.6	1160
430.8	1013
431	1707
431.2	1270
431.4	1016
431.6	1667
431.8	1381
432	1384
432.2	1121
432.4	1475
432.6	1680
432.8	1588
433	1784
433.2	2225
433.4	2656
433.6	5185
433.8	13383
434	28797
434.2	13743
434.4	4695
434.6	3203
434.8	2067
435	1797
435.2	1618
435.4	1880
435.6	1636
435.8	1725
436	2417
436.2	2516
436.4	2061
436.6	1916
436.8	2349
437	2749
437.2	3408
437.4	3553
437.6	2998
437.8	2044
438	1644
438.2	1298
438.4	1541
438.6	1949
438.8	1190
439	766
439.2	807
439.4	682
439.6	1285
439.8	929
440	1158
440.2	1314
440.4	1026
440.6	832
440.8	997
441	1093
