# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YVO4 (Nd:YVO4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by MS on 11 March 1988 and was 
# annotated on 18 March 1988.  The sample name was "" was a 1.6000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 325 to 830nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PE-3600 = 001 NYVO3.SP ON PC = 001NYVO3.SP NO_POINTS = 2526. pts DATA_INTV = 0.000200 µm MIN_LAMBDA = 0.325000 µm MIN_DATA = 0. MAX_LAMBDA = 0.830000 µm MAX_DATA = .24619E6 SCANSPEED = .015 µm/min SLITWIDTH= 0.00020 µmITA = 0. RESP = 0.5 sec ISMS = 0. DATE=88/03/11 INST = 509. ? = 0. THIS IS DATA TAKEN FROM A ND DOPED ORTHO-VANIDATE CRYSTAL PROVIDED BY MILT BIRNBAUM. THE XTAL IS 1.60MM THICK AND HAS A BLUISH-VIOLETISH COLOR THAT IS NOT UNIFORM. IN ADDITION THE SURFACE POLISH WAS VERY POOR. THE SHORT WAVELENGTH DATA I BELIEVE SHOW A SLANTED BASELINE DUE TO SCATTERING LOSSES INTERNAL AND EXTERNAL.PLASTIC POLARIZERS WERE USED INSIDE P.E. longside is identified as 'C' axis.(ã polar or extraordinary ray) converted to AU by Mark Storm. header added by hand ND:YVO4,1%ND,1.60MMTHICK,LONGSIDE,BIRNBAUM,SAME AS1.
#
##Wavelength (nm)	Absorbance (/meter) 
325	228488
325.2	224479
325.4	223611
325.6	221901
325.8	238771
326	223822
326.2	233878
326.4	229523
326.6	229152
326.8	234119
327	241107
327.2	225668
327.4	231134
327.6	227891
327.8	222200
328	228854
328.2	222736
328.4	220224
328.6	231007
328.8	233823
329	235076
329.2	229112
329.4	231445
329.6	232450
329.8	231075
330	233483
330.2	225659
330.4	218549
330.6	231120
330.8	236231
331	223759
331.2	229414
331.4	236052
331.6	225200
331.8	240009
332	227212
332.2	232594
332.4	223661
332.6	226696
332.8	229121
333	228567
333.2	233050
333.4	229534
333.6	228411
333.8	233894
334	226771
334.2	237705
334.4	231916
334.6	227906
334.8	234770
335	228112
335.2	234584
335.4	230988
335.6	229650
335.8	227048
336	233603
336.2	232807
336.4	236958
336.6	224582
336.8	233644
337	226928
337.2	231865
337.4	238089
337.6	234708
337.8	230145
338	236189
338.2	243350
338.4	229603
338.6	235172
338.8	226837
339	229066
339.2	230987
339.4	238189
339.6	227792
339.8	234818
340	230447
340.2	230074
340.4	231632
340.6	228397
340.8	233038
341	233450
341.2	228986
341.4	231096
341.6	231690
341.8	232489
342	230545
342.2	232508
342.4	233922
342.6	232726
342.8	226310
343	231954
343.2	227233
343.4	226338
343.6	226348
343.8	236262
344	233998
344.2	226736
344.4	235662
344.6	230861
344.8	236519
345	231656
345.2	226423
345.4	219793
345.6	225196
345.8	229580
346	229213
346.2	228106
346.4	238741
346.6	233512
346.8	227766
347	228884
347.2	246193
347.4	229653
347.6	229098
347.8	230431
348	234589
348.2	230449
348.4	224797
348.6	222241
348.8	217882
349	220442
349.2	217743
349.4	220623
349.6	203473
349.8	199169
350	201177
350.2	194506
350.4	190259
350.6	182718
350.8	177526
351	170574
