# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LILUF4 (Tm:LuLiF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by EDF on  7 September 1994 and was 
# annotated on 12 October 1994.  The sample name was "" was a 9.3470
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 725 to 850nm
# every 0.05nm at room temperature.
#
# FILE NAME ON PC = EDFLLF09.DX NO_POINTS = 2501. pts DATA_INTV = .000050 æm MIN_LAMBDA = .725000 æm MIN_DATA = .02100 MAX_LAMBDA = .850000 æm MAX_DATA = 1.35970 SCANSPEED = .03000000 æm/min SLITWIDTH= .00040 æm RESP TIME = .2 sec SENSITIVITY = 5 DATE=94/09/07 Ho(.5)Tm(5)LiLuF4,slit=.4nm,sc speed=30,resp=.2s,int=.05,pol=s (2 8) Sample from Lightning Optical Corporation, purchase order L53365D Height=.298 inches, Width=.233 inches, Length= .368 inches, C-axis is along the .298 height direction, Sample was taken with c-axis pointing up in the sample compartment chamber of the Perki Elmer Lambda-9 spectrometer.
#
##Wavelength (nm)	Absorbance (/meter) 
725	23
725.05	29
725.1	24
725.15	18
725.2	24
725.25	25
725.3	32
725.35	27
725.4	25
725.45	27
725.5	26
725.55	27
725.6	18
725.65	18
725.7	18
725.75	18
725.8	27
725.85	28
725.9	21
725.95	18
726	18
726.05	19
726.1	20
726.15	33
726.2	31
726.25	34
726.3	33
726.35	25
726.4	28
726.45	30
726.5	21
726.55	30
726.6	20
726.65	22
726.7	19
726.75	30
726.8	18
726.85	18
726.9	18
726.95	18
727	18
727.05	18
727.1	18
727.15	21
727.2	22
727.25	18
727.3	18
727.35	18
727.4	18
727.45	18
727.5	18
727.55	20
727.6	18
727.65	20
727.7	26
727.75	22
727.8	22
727.85	22
727.9	17
727.95	17
728	17
728.05	24
728.1	25
728.15	29
728.2	22
728.25	17
728.3	17
728.35	22
728.4	17
728.45	17
728.5	21
728.55	23
728.6	24
728.65	27
728.7	28
728.75	27
728.8	29
728.85	29
728.9	27
728.95	17
729	17
729.05	17
729.1	17
729.15	17
729.2	19
729.25	26
729.3	17
729.35	17
729.4	17
729.45	17
729.5	17
729.55	17
729.6	17
729.65	24
729.7	31
729.75	22
729.8	17
729.85	17
729.9	17
729.95	23
730	18
730.05	17
730.1	17
730.15	18
730.2	23
730.25	24
730.3	17
730.35	17
730.4	17
730.45	17
730.5	19
730.55	20
