# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LILUF4 (Tm:LuLiF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by EDF on  7 September 1994 and was 
# annotated on 12 October 1994.  The sample name was "" was a 9.3470
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 725 to 850nm
# every 0.05nm at room temperature.
#
# FILE NAME ON PC = EDFLLF10.DX NO_POINTS = 2501. pts DATA_INTV = .000050 æm MIN_LAMBDA = .725000 æm MIN_DATA = .02290 MAX_LAMBDA = .850000 æm MAX_DATA = 2.86790 SCANSPEED = .03000000 æm/min SLITWIDTH= .00040 æm RESP TIME = .2 sec SENSITIVITY = 5 DATE=94/09/07 Ho(.5)Tm(5)LiLuF4,slit=.4,scan sp=30,resp=.2,int=.05,pol=p (469) Sample from Lightning Optical Corporation. Purchase order L53365D Height=.298 inches, Width=.233 inches, length=.368 inches. C-axis was along the .298 Height direction. Sample was placed in the sample compartment chamber of the Perkin-Elmer Lambda-9 with the c-axis pointing up.
#
##Wavelength (nm)	Absorbance (/meter) 
725	173
725.05	175
725.1	172
725.15	171
725.2	169
725.25	172
725.3	169
725.35	162
725.4	168
725.45	173
725.5	165
725.55	164
725.6	164
725.65	164
725.7	162
725.75	171
725.8	175
725.85	181
725.9	178
725.95	166
726	155
726.05	155
726.1	162
726.15	161
726.2	161
726.25	164
726.3	156
726.35	157
726.4	159
726.45	158
726.5	155
726.55	159
726.6	160
726.65	168
726.7	163
726.75	171
726.8	165
726.85	155
726.9	163
726.95	176
727	161
727.05	159
727.1	157
727.15	155
727.2	155
727.25	155
727.3	155
727.35	155
727.4	155
727.45	160
727.5	155
727.55	155
727.6	162
727.65	166
727.7	160
727.75	165
727.8	168
727.85	155
727.9	158
727.95	157
728	155
728.05	159
728.1	159
728.15	168
728.2	170
728.25	162
728.3	155
728.35	156
728.4	155
728.45	155
728.5	162
728.55	161
728.6	155
728.65	155
728.7	155
728.75	159
728.8	155
728.85	161
728.9	167
728.95	164
729	165
729.05	168
729.1	158
729.15	155
729.2	157
729.25	155
729.3	155
729.35	158
729.4	166
729.45	155
729.5	155
729.55	155
729.6	155
729.65	160
729.7	155
729.75	160
729.8	174
729.85	173
729.9	165
729.95	158
730	157
730.05	155
730.1	155
730.15	155
730.2	155
730.25	157
730.3	166
730.35	168
730.4	159
730.45	155
730.5	155
730.55	155
730.6	155
730.65	162
730.7	158
730.75	155
730.8	156
730.85	161
730.9	167
730.95	166
731	168
731.05	168
731.1	164
731.15	162
731.2	155
731.25	162
731.3	160
731.35	155
731.4	155
731.45	155
731.5	156
731.55	155
731.6	155
731.65	161
731.7	170
731.75	166
731.8	164
731.85	159
731.9	155
731.95	155
732	157
732.05	164
732.1	162
732.15	155
732.2	155
732.25	157
732.3	169
732.35	165
732.4	157
732.45	160
732.5	157
732.55	155
732.6	155
732.65	155
732.7	160
732.75	162
732.8	162
732.85	155
732.9	166
732.95	155
733	155
733.05	157
733.1	155
733.15	156
733.2	155
733.25	155
733.3	165
733.35	158
733.4	155
733.45	155
733.5	155
733.55	171
733.6	173
733.65	170
733.7	170
733.75	163
733.8	155
733.85	155
733.9	168
733.95	155
734	156
734.05	157
734.1	155
734.15	155
734.2	155
734.25	160
734.3	155
734.35	155
734.4	155
734.45	155
734.5	155
734.55	160
734.6	155
734.65	155
734.7	164
734.75	165
734.8	170
734.85	156
734.9	162
734.95	165
735	176
735.05	161
735.1	160
735.15	163
735.2	163
735.25	162
735.3	171
735.35	166
735.4	170
735.45	170
735.5	169
735.55	165
735.6	164
735.65	161
735.7	175
735.75	182
735.8	176
735.85	163
735.9	157
735.95	155
736	163
736.05	157
736.1	175
736.15	175
736.2	172
736.25	169
736.3	155
736.35	161
736.4	165
736.45	172
736.5	162
736.55	161
736.6	175
736.65	179
736.7	175
736.75	172
736.8	169
736.85	178
736.9	159
736.95	160
737	163
737.05	168
737.1	165
737.15	170
737.2	181
737.25	170
737.3	167
737.35	179
737.4	163
737.45	171
737.5	185
737.55	182
737.6	181
737.65	174
737.7	182
737.75	170
737.8	166
737.85	177
737.9	184
737.95	180
738	185
738.05	171
738.1	171
738.15	177
738.2	169
738.25	173
738.3	179
738.35	170
738.4	169
738.45	174
738.5	181
738.55	173
738.6	187
738.65	191
738.7	185
738.75	179
738.8	187
738.85	187
738.9	183
738.95	185
739	193
739.05	182
739.1	182
739.15	169
739.2	180
739.25	181
739.3	176
739.35	183
739.4	190
739.45	196
739.5	196
739.55	187
739.6	190
739.65	186
739.7	187
739.75	184
739.8	174
739.85	173
739.9	178
739.95	181
740	181
740.05	186
740.1	188
740.15	191
740.2	197
740.25	203
740.3	198
740.35	174
740.4	188
740.45	196
740.5	196
740.55	192
740.6	191
740.65	181
740.7	182
740.75	191
740.8	190
740.85	190
740.9	187
