# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LUAG (Tm:Lu3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on  5 June 1993 and was 
# annotated on 12 March 1993.  The sample name was "" was a 9.9300
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 1500 to 2200nm
# every 0.2nm at room temperature.
#
# FILE NAME ON IBM-PC = LUAG6.SP ON MAC= P12023.01 NO_POINTS = 3501. pts DATA_INTV = .00020 _m MIN_LAMBDA = 1.500000 _m MIN_DATA = .39750 MAX_LAMBDA = 2.200000 _m MAX_DATA = .85740 SCANSPEED = 15.000000 nm/min SLITWIDTH= .20000 nmITA = 0. RESP = .500 sec ISMS = 0. DATE=93/05/06 INST = 509. ? = 0. ITHACA CORP. SAMPLE 3:41:19 12-03-1993.
#
##Wavelength (nm)	Absorbance (/meter) 
1500	252
1500.2	252
1500.4	332
1500.6	237
1500.8	250
1501	237
1501.2	204
1501.4	209
1501.6	209
1501.8	180
1502	151
1502.2	69
1502.4	120
1502.6	173
1502.8	130
1503	168
1503.2	152
1503.4	101
1503.6	186
1503.8	217
1504	229
1504.2	263
1504.4	244
1504.6	264
1504.8	254
1505	269
1505.2	305
1505.4	242
1505.6	170
1505.8	286
1506	277
1506.2	197
1506.4	267
1506.6	301
1506.8	175
1507	168
1507.2	226
1507.4	243
1507.6	197
1507.8	94
1508	176
1508.2	198
1508.4	162
1508.6	171
1508.8	186
1509	133
1509.2	235
1509.4	189
1509.6	196
1509.8	189
1510	245
1510.2	160
1510.4	228
1510.6	165
1510.8	257
1511	187
1511.2	209
1511.4	299
1511.6	219
1511.8	238
1512	175
1512.2	127
1512.4	152
1512.6	185
1512.8	149
1513	191
1513.2	229
1513.4	147
1513.6	283
1513.8	300
1514	254
1514.2	286
1514.4	252
1514.6	259
1514.8	276
1515	293
1515.2	345
1515.4	391
1515.6	260
1515.8	311
1516	382
1516.2	345
1516.4	270
1516.6	292
1516.8	260
1517	287
1517.2	278
1517.4	234
1517.6	263
1517.8	263
1518	237
1518.2	278
1518.4	198
1518.6	189
1518.8	244
1519	228
1519.2	332
1519.4	288
1519.6	340
1519.8	286
1520	279
1520.2	262
1520.4	340
1520.6	279
1520.8	279
1521	248
1521.2	255
1521.4	377
1521.6	260
1521.8	207
1522	222
1522.2	171
1522.4	244
1522.6	254
1522.8	225
1523	261
1523.2	218
1523.4	242
1523.6	296
1523.8	286
1524	325
1524.2	315
1524.4	296
1524.6	303
1524.8	418
1525	330
1525.2	277
1525.4	311
1525.6	311
1525.8	333
1526	258
1526.2	307
1526.4	421
1526.6	287
1526.8	297
1527	273
1527.2	205
1527.4	278
1527.6	220
1527.8	145
1528	230
1528.2	225
1528.4	233
1528.6	204
1528.8	252
1529	240
1529.2	345
1529.4	265
1529.6	255
1529.8	262
1530	207
1530.2	343
1530.4	297
1530.6	304
1530.8	311
1531	198
1531.2	236
1531.4	322
1531.6	305
1531.8	322
1532	317
1532.2	232
1532.4	225
1532.6	300
1532.8	317
1533	342
1533.2	271
1533.4	335
1533.6	371
1533.8	318
1534	320
1534.2	345
1534.4	304
1534.6	355
1534.8	453
1535	399
1535.2	428
1535.4	397
1535.6	263
1535.8	343
1536	309
1536.2	409
1536.4	327
1536.6	346
1536.8	378
1537	312
1537.2	288
1537.4	366
1537.6	206
1537.8	274
1538	337
1538.2	301
1538.4	279
1538.6	364
1538.8	279
1539	326
1539.2	389
1539.4	423
1539.6	409
1539.8	304
1540	309
1540.2	470
1540.4	404
1540.6	395
1540.8	451
1541	348
1541.2	371
1541.4	446
1541.6	437
1541.8	317
1542	339
1542.2	347
1542.4	361
1542.6	293
1542.8	332
1543	301
1543.2	303
1543.4	274
1543.6	347
1543.8	275
1544	362
1544.2	431
1544.4	285
1544.6	304
1544.8	448
1545	338
1545.2	356
1545.4	283
1545.6	229
1545.8	285
1546	276
1546.2	324
1546.4	286
1546.6	235
1546.8	269
1547	325
1547.2	235
1547.4	289
1547.6	286
1547.8	146
1548	287
1548.2	272
1548.4	299
1548.6	301
1548.8	265
1549	428
1549.2	426
1549.4	368
1549.6	434
1549.8	451
1550	373
1550.2	476
1550.4	446
1550.6	459
1550.8	449
1551	451
1551.2	420
1551.4	391
1551.6	415
1551.8	371
1552	427
1552.2	289
1552.4	408
1552.6	359
1552.8	401
1553	323
1553.2	323
1553.4	384
1553.6	445
1553.8	372
1554	331
1554.2	351
1554.4	341
1554.6	373
1554.8	375
1555	368
1555.2	466
1555.4	412
1555.6	342
1555.8	403
1556	322
1556.2	408
1556.4	376
1556.6	330
1556.8	315
1557	367
1557.2	320
1557.4	360
1557.6	340
1557.8	311
1558	355
1558.2	345
1558.4	389
1558.6	365
1558.8	353
1559	426
1559.2	363
1559.4	404
1559.6	427
1559.8	441
1560	405
1560.2	483
1560.4	537
1560.6	454
1560.8	398
1561	344
1561.2	435
1561.4	420
1561.6	386
1561.8	430
1562	340
1562.2	279
1562.4	369
1562.6	309
1562.8	321
1563	302
1563.2	282
1563.4	292
1563.6	297
1563.8	305
1564	336
1564.2	220
1564.4	268
1564.6	239
1564.8	361
1565	312
1565.2	322
1565.4	245
1565.6	342
1565.8	383
1566	357
1566.2	403
1566.4	345
1566.6	274
1566.8	384
1567	443
1567.2	374
1567.4	460
1567.6	375
1567.8	326
1568	355
1568.2	424
1568.4	443
1568.6	397
1568.8	348
1569	547
1569.2	451
1569.4	385
1569.6	442
1569.8	466
1570	461
1570.2	565
1570.4	496
1570.6	447
1570.8	459
1571	357
1571.2	447
1571.4	447
1571.6	360
1571.8	396
1572	362
1572.2	280
1572.4	406
1572.6	292
1572.8	365
1573	341
1573.2	268
1573.4	341
1573.6	409
1573.8	354
1574	417
1574.2	344
1574.4	373
1574.6	479
1574.8	442
1575	352
1575.2	405
1575.4	398
1575.6	389
1575.8	545
1576	479
1576.2	538
1576.4	477
1576.6	389
1576.8	470
1577	423
1577.2	473
1577.4	470
1577.6	470
1577.8	399
1578	446
1578.2	446
1578.4	419
1578.6	427
1578.8	398
1579	439
1579.2	464
1579.4	403
1579.6	430
1579.8	391
1580	335
1580.2	469
1580.4	430
1580.6	442
1580.8	521
1581	438
1581.2	561
1581.4	502
1581.6	448
1581.8	463
1582	414
1582.2	409
1582.4	497
1582.6	439
1582.8	449
1583	485
1583.2	446
1583.4	503
1583.6	464
1583.8	518
1584	535
1584.2	530
1584.4	525
1584.6	570
1584.8	521
1585	575
1585.2	565
1585.4	563
1585.6	558
1585.8	666
1586	597
1586.2	610
1586.4	524
1586.6	482
1586.8	559
1587	576
1587.2	596
1587.4	537
1587.6	522
1587.8	439
