# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LUAG (Tm:Lu3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on  5 June 1993 and was 
# annotated on 12 March 1993.  The sample name was "" was a 9.9300
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 1000 to 1400nm
# every 0.2nm at room temperature.
#
# FILE NAME ON IBM-PC = LUAG7.SP ON MAC= P12033.02 NO_POINTS = 2001. pts DATA_INTV = .00020 _m MIN_LAMBDA = 1.000000 _m MIN_DATA = .60200 MAX_LAMBDA = 1.400000 _m MAX_DATA = .84820 SCANSPEED = 15.000000 nm/min SLITWIDTH= .20000 nmITA = 0. RESP = .500 sec ISMS = 0. DATE=93/05/06 INST = 509. ? = 0. ITHACA CORP SAMPLE 0:10:17 12-03-1993.
#
##Wavelength (nm)	Absorbance (/meter) 
1000	72
1000.2	118
1000.4	152
1000.6	17
1000.8	68
1001	121
1001.2	63
1001.4	123
1001.6	92
1001.8	165
1002	53
1002.2	80
1002.4	140
1002.6	68
1002.8	68
1003	10
1003.2	37
1003.4	20
1003.6	32
1003.8	94
1004	66
1004.2	32
1004.4	1
1004.6	90
1004.8	78
1005	27
1005.2	153
1005.4	15
1005.6	54
1005.8	143
1006	71
1006.2	100
1006.4	119
1006.6	71
1006.8	114
1007	141
1007.2	44
1007.4	75
1007.6	44
1007.8	54
1008	13
1008.2	51
1008.4	22
1008.6	71
1008.8	73
1009	71
1009.2	95
1009.4	90
1009.6	83
1009.8	102
1010	131
1010.2	136
1010.4	175
1010.6	243
1010.8	32
1011	25
1011.2	28
1011.4	13
1011.6	1
1011.8	1
1012	1
1012.2	23
1012.4	64
1012.6	28
1012.8	95
1013	88
1013.2	52
1013.4	139
1013.6	129
1013.8	173
1014	144
1014.2	122
1014.4	98
1014.6	100
1014.8	64
1015	1
1015.2	21
1015.4	4
1015.6	4
1015.8	16
1016	59
1016.2	71
1016.4	30
1016.6	64
1016.8	83
1017	30
1017.2	91
1017.4	91
1017.6	11
1017.8	168
1018	74
1018.2	86
1018.4	1
1018.6	1
1018.8	1
1019	1
