# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LUAG (Tm:Lu3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on  5 June 1993 and was 
# annotated on 12 March 1993.  The sample name was "" was a 9.9300
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 730 to 830nm
# every 0.1nm at room temperature.
#
# FILE NAME ON IBM-PC = LUAG8.SP ON MAC= P12033.03 NO_POINTS = 1001. pts DATA_INTV = .00010 _m MIN_LAMBDA = .730000 _m MIN_DATA = .53210 MAX_LAMBDA = .830000 _m MAX_DATA = .85570 SCANSPEED = 15.000000 nm/min SLITWIDTH= .20000 nmITA = 0. RESP = .500 sec ISMS = 0. DATE=93/05/06 INST = 509. ? = 0. ITHACA CORP SAMPLE 0:16:07 12-03-1993.
#
##Wavelength (nm)	Absorbance (/meter) 
730	107
730.1	102
730.2	93
730.3	2
730.4	140
730.5	83
730.6	21
730.7	1
730.8	1
730.9	1
731	88
731.1	21
731.2	1
731.3	1
731.4	265
731.5	1
731.6	26
731.7	14
731.8	48
731.9	79
732	29
732.1	153
732.2	1
732.3	72
732.4	1
732.5	1
732.6	1
732.7	1
732.8	258
732.9	119
733	1
733.1	1
733.2	1
733.3	67
733.4	36
733.5	1
733.6	1
733.7	167
733.8	1
733.9	1
734	74
734.1	46
734.2	312
734.3	259
734.4	1
734.5	53
734.6	101
734.7	1
734.8	101
734.9	1
735	55
735.1	1
735.2	77
735.3	249
735.4	39
735.5	15
735.6	118
735.7	1
735.8	1
735.9	185
736	137
736.1	1
736.2	204
736.3	27
736.4	108
736.5	161
736.6	202
736.7	1
736.8	1
736.9	1
737	89
737.1	13
737.2	159
737.3	259
737.4	168
737.5	390
737.6	125
737.7	1
737.8	1
737.9	111
738	214
738.1	1
738.2	111
738.3	168
738.4	80
738.5	4
738.6	233
738.7	54
738.8	240
738.9	221
739	183
739.1	1
739.2	209
739.3	116
739.4	37
739.5	118
739.6	145
739.7	78
739.8	1
739.9	257
740	1
740.1	73
740.2	95
740.3	19
740.4	250
740.5	126
740.6	116
740.7	54
740.8	54
740.9	260
741	373
741.1	169
741.2	116
741.3	205
741.4	100
741.5	145
741.6	164
741.7	52
741.8	198
741.9	64
742	236
742.1	172
742.2	69
742.3	1
742.4	181
742.5	205
742.6	215
742.7	157
742.8	121
742.9	217
743	114
743.1	169
743.2	174
743.3	210
743.4	86
743.5	143
743.6	105
743.7	160
743.8	55
743.9	126
744	174
744.1	311
744.2	311
744.3	1
744.4	311
744.5	165
744.6	389
744.7	270
744.8	196
744.9	96
745	220
745.1	389
745.2	148
745.3	309
745.4	367
745.5	211
745.6	319
745.7	338
745.8	184
745.9	172
746	108
746.1	370
746.2	120
746.3	314
746.4	235
746.5	367
746.6	172
746.7	252
746.8	216
746.9	15
747	290
747.1	278
747.2	134
747.3	165
747.4	216
747.5	228
747.6	1
747.7	106
747.8	149
747.9	158
748	254
748.1	223
748.2	194
748.3	245
748.4	199
748.5	199
748.6	402
748.7	77
748.8	319
748.9	421
749	450
749.1	433
749.2	387
749.3	269
749.4	312
749.5	329
749.6	358
749.7	161
749.8	291
749.9	296
750	149
750.1	334
750.2	209
750.3	341
750.4	128
750.5	337
750.6	147
750.7	188
750.8	356
750.9	293
751	178
751.1	183
751.2	257
751.3	317
751.4	204
751.5	339
751.6	224
751.7	504
751.8	209
751.9	1
752	255
752.1	388
752.2	1
752.3	142
752.4	88
752.5	277
752.6	330
752.7	388
752.8	378
752.9	236
753	332
753.1	219
753.2	299
753.3	543
753.4	157
753.5	347
753.6	306
753.7	303
753.8	52
753.9	93
754	340
754.1	231
754.2	517
754.3	308
754.4	340
754.5	454
754.6	524
754.7	212
754.8	408
754.9	350
755	415
755.1	138
755.2	217
755.3	282
755.4	145
755.5	119
755.6	391
755.7	490
755.8	374
755.9	398
756	427
756.1	571
756.2	459
756.3	464
756.4	507
756.5	534
756.6	476
756.7	471
756.8	201
756.9	532
757	684
757.1	622
757.2	464
757.3	408
757.4	440
757.5	493
757.6	681
757.7	522
757.8	564
757.9	462
758	593
758.1	745
758.2	637
758.3	642
758.4	596
758.5	620
758.6	829
758.7	728
758.8	713
758.9	598
759	549
759.1	679
759.2	652
759.3	576
759.4	718
759.5	753
759.6	746
759.7	966
759.8	800
759.9	859
760	859
760.1	1003
760.2	929
760.3	964
760.4	1116
760.5	986
760.6	837
760.7	914
760.8	949
760.9	1164
761	1298
761.1	1257
761.2	934
761.3	1361
761.4	1091
761.5	1290
761.6	1315
761.7	1162
761.8	1119
761.9	1410
762	1527
762.1	1478
762.2	1712
762.3	1591
762.4	1666
762.5	1751
762.6	1965
762.7	2001
762.8	1834
762.9	1632
763	1850
763.1	2390
763.2	2151
763.3	2133
763.4	2051
763.5	2302
763.6	2503
763.7	2340
763.8	2247
763.9	2271
764	2162
764.1	2335
764.2	2393
764.3	2279
764.4	2383
764.5	2450
764.6	2439
764.7	2654
764.8	2779
764.9	2916
765	2793
765.1	2924
765.2	2755
765.3	2638
765.4	3265
765.5	2850
765.6	3007
765.7	3015
765.8	2881
765.9	2886
766	2668
766.1	3035
766.2	2706
766.3	2853
766.4	2889
766.5	2864
766.6	2985
766.7	2606
766.8	2525
766.9	2566
767	2919
767.1	2744
767.2	2633
767.3	2477
767.4	2742
767.5	2555
767.6	2469
767.7	2434
767.8	2293
767.9	2402
768	2453
768.1	2482
768.2	2488
768.3	2472
768.4	2002
768.5	2139
768.6	2128
768.7	2218
768.8	2290
768.9	1900
769	1851
769.1	1721
769.2	1947
769.3	1874
769.4	1921
769.5	1758
769.6	2063
769.7	1752
769.8	1781
769.9	1618
770	1534
770.1	1856
770.2	1603
770.3	1680
770.4	1719
770.5	1590
770.6	1639
770.7	1442
770.8	1701
770.9	1660
771	1398
771.1	1365
771.2	1624
771.3	1465
771.4	1562
771.5	1792
771.6	1416
771.7	1608
771.8	1460
771.9	1199
772	1295
772.1	1470
772.2	1368
772.3	1358
772.4	1490
772.5	1644
772.6	1652
772.7	1644
772.8	1750
772.9	1297
773	1440
773.1	1768
773.2	1792
773.3	1657
773.4	1555
773.5	1956
773.6	1833
773.7	1598
773.8	1601
773.9	2037
774	2032
774.1	1998
774.2	2040
774.3	2283
774.4	2222
774.5	2137
774.6	2233
774.7	2185
774.8	1961
774.9	2342
775	2494
775.1	2371
775.2	2371
775.3	2323
775.4	2795
775.5	2945
775.6	2759
