# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':LUAG (Tm:Lu3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on  5 June 1993 and was 
# annotated on 12 March 1993.  The sample name was "" was a 9.9300
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 340 to 375nm
# every 0.1nm at room temperature.
#
# FILE NAME ON IBM-PC = LUAG11.SP ON MAC= P12033.06 NO_POINTS = 351. pts DATA_INTV = 0.00010 _m MIN_LAMBDA = .340000 _m MIN_DATA = .53770 MAX_LAMBDA = .375000 _m MAX_DATA = .85210 SCANSPEED = 15.000000 nm/min SLITWIDTH= .20000 nmITA = 0. RESP = .100 sec ISMS = 0. DATE=93/05/06 INST = 509. ? = 0. ITHACA CORP SAMPLE 0:29:12 12-03-1993.
#
##Wavelength (nm)	Absorbance (/meter) 
340	305
340.1	205
340.2	118
340.3	260
340.4	445
340.5	125
340.6	109
340.7	179
340.8	63
340.9	162
341	169
341.1	251
341.2	93
341.3	210
341.4	42
341.5	186
341.6	170
341.7	196
341.8	131
341.9	255
342	166
342.1	148
342.2	354
342.3	126
342.4	15
342.5	1
342.6	187
342.7	284
342.8	357
342.9	54
343	217
343.1	233
343.2	269
343.3	216
343.4	39
343.5	192
343.6	206
343.7	70
343.8	245
343.9	31
344	258
344.1	59
344.2	320
344.3	108
344.4	41
344.5	265
344.6	474
344.7	302
344.8	110
344.9	392
345	363
345.1	173
345.2	1
345.3	271
345.4	283
345.5	1
345.6	85
345.7	8
345.8	1
345.9	79
346	149
346.1	19
346.2	135
346.3	479
346.4	458
346.5	207
346.6	351
346.7	237
346.8	379
346.9	1
347	256
347.1	103
347.2	323
347.3	258
347.4	169
347.5	332
347.6	115
347.7	114
347.8	302
347.9	311
348	255
348.1	103
348.2	344
348.3	380
348.4	180
348.5	408
348.6	166
348.7	187
348.8	66
348.9	124
349	191
349.1	369
349.2	138
349.3	323
349.4	472
349.5	345
349.6	381
349.7	678
349.8	298
349.9	351
350	195
350.1	378
350.2	402
350.3	421
350.4	373
350.5	560
350.6	277
350.7	458
350.8	391
350.9	311
351	391
351.1	373
351.2	483
351.3	432
351.4	439
351.5	405
351.6	570
351.7	579
351.8	437
351.9	622
352	608
352.1	550
352.2	571
352.3	592
352.4	534
352.5	688
352.6	691
352.7	643
352.8	817
352.9	616
353	607
353.1	487
353.2	642
353.3	539
353.4	790
353.5	709
353.6	695
353.7	862
353.8	983
353.9	729
354	809
354.1	855
354.2	741
354.3	876
354.4	766
354.5	866
354.6	983
354.7	934
354.8	974
354.9	1145
355	1009
355.1	1133
355.2	1073
355.3	1506
355.4	1306
355.5	1236
355.6	1576
355.7	1501
355.8	1875
355.9	1890
356	2179
356.1	2505
356.2	2848
356.3	3907
356.4	6476
356.5	8175
356.6	7093
356.7	5437
356.8	3803
356.9	3101
357	2776
357.1	3688
357.2	5325
357.3	6652
357.4	6098
357.5	7126
357.6	8901
357.7	7966
357.8	5364
357.9	3601
358	2812
358.1	2651
358.2	1929
358.3	1838
358.4	1874
358.5	2645
358.6	3302
358.7	4125
358.8	4686
358.9	5767
359	7482
359.1	7196
359.2	6185
359.3	4362
359.4	3347
359.5	3097
359.6	3093
359.7	3066
359.8	2272
359.9	1692
360	1722
360.1	1479
360.2	1634
360.3	1289
360.4	1411
360.5	1438
360.6	1424
360.7	1400
360.8	1209
360.9	1428
361	1949
361.1	2036
361.2	2565
361.3	3102
361.4	3586
361.5	3650
361.6	3548
361.7	3558
361.8	2757
361.9	2263
362	1873
362.1	1762
362.2	1753
362.3	1530
362.4	1578
362.5	1691
362.6	1756
362.7	1572
362.8	1552
362.9	1360
363	1516
363.1	1128
363.2	1372
363.3	1174
363.4	1206
363.5	1305
363.6	1314
363.7	1387
363.8	1615
363.9	1560
364	1455
364.1	1493
364.2	1702
364.3	2127
364.4	2166
364.5	2425
364.6	2022
364.7	1974
364.8	2015
364.9	2066
365	2057
365.1	2058
365.2	1557
365.3	1314
365.4	1348
365.5	1283
365.6	1150
365.7	1174
365.8	1262
365.9	1113
366	1092
366.1	743
366.2	1001
366.3	1466
366.4	1014
366.5	1005
366.6	1232
366.7	1101
366.8	919
366.9	1051
367	952
367.1	1132
367.2	720
367.3	809
367.4	977
367.5	881
367.6	905
367.7	802
367.8	753
367.9	609
368	529
368.1	255
368.2	326
368.3	372
368.4	201
368.5	472
368.6	281
368.7	516
368.8	291
368.9	336
369	301
369.1	179
369.2	345
369.3	143
369.4	94
369.5	187
369.6	118
369.7	115
369.8	111
369.9	101
370	64
370.1	192
370.2	177
370.3	104
370.4	213
370.5	1
370.6	79
370.7	605
370.8	53
370.9	387
371	246
371.1	38
371.2	219
371.3	264
371.4	42
371.5	96
371.6	309
371.7	323
371.8	580
371.9	1
372	1
372.1	304
372.2	192
372.3	350
372.4	1
372.5	239
372.6	340
372.7	460
372.8	294
372.9	1
373	246
373.1	161
373.2	331
373.3	1
373.4	215
373.5	250
373.6	336
373.7	217
373.8	283
373.9	73
374	223
374.1	42
374.2	415
374.3	119
374.4	149
374.5	399
374.6	350
374.7	1
374.8	1
374.9	1
375	1
