# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YAG (Tm:Y3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by TLL on 25 July 1988 and was 
# annotated on  9 August 1988.  The sample name was "" was a 4.0000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 300 to 1950nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PE-3600 = 002T3.SP ON PC = 002T0003.SP NO_POINTS = 8251. pts DATA_INTV = .000200 æm MIN_LAMBDA = .300000 æm MIN_DATA = 0.000000 MAX_LAMBDA = 1.950000 æm MAX_DATA = 61305.00 SCANSPEED = .03000000 æm/min SLITWIDTH= .00020 æmITA = 0. RESP = .500 sec ISMS = 0. DATE=88/07/25 INST = 509. ? = 0.
#
##Wavelength (nm)	Absorbance (/meter) 
300	708
300.2	907
300.4	955
300.6	546
300.8	757
301	980
301.2	501
301.4	811
301.6	495
301.8	482
302	736
302.2	815
302.4	554
302.6	703
302.8	881
303	453
303.2	366
303.4	291
303.6	933
303.8	619
304	720
304.2	582
304.4	693
304.6	345
304.8	530
305	724
305.2	530
305.4	546
305.6	622
305.8	638
306	279
306.2	338
306.4	576
306.6	565
306.8	454
307	586
307.2	390
307.4	627
307.6	608
307.8	468
308	351
308.2	611
308.4	562
308.6	664
308.8	551
309	614
309.2	495
309.4	602
309.6	486
309.8	484
310	342
310.2	414
310.4	491
310.6	606
310.8	542
311	441
311.2	628
311.4	353
311.6	481
311.8	397
312	510
312.2	511
312.4	429
312.6	339
312.8	420
313	344
313.2	418
313.4	475
313.6	558
313.8	370
314	537
314.2	545
314.4	596
314.6	405
314.8	401
315	251
315.2	650
315.4	355
315.6	477
315.8	364
316	421
316.2	400
316.4	392
316.6	408
316.8	462
317	639
317.2	554
317.4	463
317.6	477
317.8	637
318	626
318.2	603
318.4	558
318.6	457
318.8	489
319	495
319.2	376
319.4	284
319.6	627
319.8	458
320	571
320.2	509
320.4	605
320.6	418
320.8	354
321	374
321.2	290
321.4	186
321.6	344
321.8	448
322	566
322.2	416
322.4	232
322.6	524
322.8	331
323	607
323.2	592
323.4	462
323.6	634
323.8	613
324	379
324.2	483
324.4	706
324.6	656
324.8	452
325	511
325.2	628
325.4	716
325.6	518
325.8	579
326	451
326.2	637
326.4	518
326.6	472
326.8	374
327	532
327.2	499
327.4	431
327.6	586
327.8	491
328	462
328.2	500
328.4	453
328.6	306
328.8	372
329	469
329.2	473
329.4	460
329.6	392
329.8	422
330	593
330.2	456
330.4	422
330.6	663
330.8	495
331	382
331.2	345
331.4	450
331.6	394
331.8	416
332	371
332.2	507
332.4	323
332.6	385
332.8	382
333	435
333.2	416
333.4	362
333.6	412
333.8	471
334	534
334.2	594
334.4	359
334.6	546
334.8	341
335	485
335.2	519
335.4	380
335.6	400
335.8	552
336	566
336.2	471
336.4	389
336.6	421
336.8	373
337	458
337.2	264
337.4	292
337.6	483
337.8	680
338	559
338.2	295
338.4	470
338.6	659
338.8	249
339	378
339.2	395
339.4	285
339.6	559
339.8	359
340	125
340.2	317
340.4	436
340.6	496
340.8	782
341	536
341.2	295
341.4	507
341.6	548
341.8	416
342	499
342.2	447
342.4	618
342.6	306
342.8	494
343	514
343.2	448
343.4	388
343.6	532
343.8	419
344	430
344.2	364
344.4	455
344.6	383
344.8	235
345	331
345.2	458
345.4	574
345.6	487
345.8	442
346	396
346.2	634
346.4	435
346.6	546
346.8	566
347	437
347.2	438
347.4	676
347.6	491
347.8	535
348	284
348.2	485
348.4	608
348.6	448
348.8	607
349	692
349.2	468
349.4	614
349.6	379
349.8	523
350	708
350.2	668
350.4	647
350.6	636
350.8	649
351	718
351.2	746
351.4	891
351.6	908
351.8	990
352	1033
352.2	865
352.4	1278
352.6	972
352.8	981
353	1063
353.2	1013
353.4	1336
353.6	1216
353.8	1248
354	1362
354.2	1238
354.4	1346
354.6	1422
354.8	1532
355	1706
355.2	1855
355.4	2034
355.6	2620
355.8	3831
356	6218
356.2	7349
356.4	4790
356.6	4163
356.8	5783
357	9499
357.2	11088
357.4	4643
357.6	2325
357.8	1863
358	1704
358.2	2131
358.4	2331
358.6	4072
358.8	5552
359	6999
359.2	4924
359.4	3676
359.6	3381
359.8	2994
360	1992
360.2	1581
360.4	1656
360.6	1459
360.8	1694
361	1581
361.2	1848
361.4	1906
361.6	2642
361.8	3842
362	4377
362.2	2924
362.4	2071
362.6	1710
362.8	1725
363	1520
363.2	1486
363.4	1691
363.6	1841
363.8	2059
364	2227
364.2	2399
364.4	2331
364.6	2418
364.8	1930
365	1722
365.2	1246
365.4	1112
365.6	948
365.8	960
366	1016
366.2	962
366.4	1016
366.6	1168
366.8	1147
367	1262
367.2	1074
367.4	781
367.6	1016
367.8	687
368	844
368.2	553
368.4	629
368.6	540
368.8	495
369	289
369.2	236
369.4	313
369.6	387
369.8	354
370	442
370.2	239
370.4	513
370.6	283
370.8	129
371	211
371.2	318
371.4	142
371.6	270
371.8	255
372	67
372.2	152
372.4	211
372.6	239
372.8	217
373	261
373.2	328
373.4	281
373.6	316
373.8	293
374	75
374.2	382
374.4	324
374.6	424
374.8	409
375	126
375.2	455
375.4	190
375.6	368
375.8	539
376	414
376.2	482
376.4	233
376.6	531
376.8	410
377	264
377.2	281
377.4	292
377.6	222
377.8	141
378	88
378.2	399
378.4	426
378.6	350
378.8	1
379	173
379.2	234
379.4	327
379.6	258
379.8	295
380	344
380.2	289
380.4	358
380.6	418
380.8	344
381	337
381.2	356
381.4	399
381.6	333
381.8	318
382	174
382.2	296
382.4	416
382.6	340
382.8	301
383	552
383.2	264
383.4	205
383.6	326
383.8	327
384	270
384.2	363
384.4	284
384.6	297
384.8	318
385	296
385.2	195
385.4	244
385.6	295
385.8	300
386	273
386.2	435
386.4	248
386.6	237
386.8	369
387	366
387.2	274
387.4	212
387.6	390
387.8	387
388	372
388.2	268
388.4	303
388.6	314
388.8	329
389	147
389.2	206
389.4	416
389.6	337
389.8	426
390	236
390.2	305
390.4	306
390.6	250
390.8	299
391	268
391.2	111
391.4	260
391.6	404
391.8	288
392	319
392.2	366
392.4	403
392.6	323
392.8	288
393	281
393.2	356
393.4	170
393.6	227
393.8	326
394	424
394.2	340
394.4	423
394.6	215
394.8	280
395	287
395.2	230
395.4	262
395.6	384
395.8	415
396	283
396.2	393
396.4	216
396.6	392
396.8	399
397	205
397.2	272
397.4	345
397.6	310
397.8	204
398	307
398.2	407
398.4	245
398.6	201
398.8	190
399	257
399.2	236
399.4	444
399.6	348
399.8	274
400	287
400.2	342
400.4	269
400.6	243
400.8	351
401	321
401.2	342
401.4	303
401.6	320
401.8	429
402	384
402.2	380
402.4	244
402.6	289
402.8	451
