# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YAG (Tm:Y3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by EAM on 24 October 1988 and was 
# annotated on 26 October 1988.  The sample name was "" was a 10.000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 1820 to 2200nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PE-3600 = 004CR373.SP ON PC = 004CR373.SP NO_POINTS = 1901. pts DATA_INTV = .000200 æm MIN_LAMBDA = 1.820000 æm MIN_DATA = .000100 MAX_LAMBDA = 2.200000 æm MAX_DATA = 518.790 SCANSPEED = .03000000 æm/min SLITWIDTH= .00015 æmITA = 0. RESP = .500 sec ISMS = 0. DATE=88/10/24 INST = 509. ? = 0. TM (2%) IN YAG HUTCHINSON 3-7 10MM SAMPLE ID IS CR307. THE NIR SENSITIVITY ON THE PE-3600 WAS SET ON 5.
#
##Wavelength (nm)	Absorbance (/meter) 
1820	347
1820.2	310
1820.4	311
1820.6	309
1820.8	377
1821	349
1821.2	336
1821.4	333
1821.6	310
1821.8	341
1822	340
1822.2	355
1822.4	329
1822.6	330
1822.8	347
1823	349
1823.2	348
1823.4	337
1823.6	331
1823.8	326
1824	322
1824.2	320
1824.4	328
1824.6	311
1824.8	320
1825	309
1825.2	344
1825.4	334
1825.6	325
1825.8	314
1826	323
1826.2	327
1826.4	355
1826.6	352
1826.8	358
1827	371
1827.2	391
1827.4	407
1827.6	364
1827.8	358
1828	364
1828.2	364
1828.4	376
1828.6	366
1828.8	379
1829	364
1829.2	357
1829.4	365
1829.6	381
1829.8	353
1830	352
1830.2	339
1830.4	339
1830.6	372
1830.8	386
1831	363
1831.2	359
1831.4	346
1831.6	392
1831.8	411
1832	382
1832.2	391
1832.4	365
1832.6	371
1832.8	371
1833	389
1833.2	389
1833.4	371
1833.6	378
1833.8	379
1834	381
1834.2	375
1834.4	332
1834.6	360
1834.8	357
1835	346
1835.2	356
1835.4	341
1835.6	363
1835.8	323
1836	336
1836.2	326
1836.4	308
1836.6	346
1836.8	376
1837	345
1837.2	366
1837.4	356
1837.6	339
1837.8	345
1838	356
1838.2	365
1838.4	369
1838.6	374
1838.8	323
1839	319
1839.2	341
1839.4	329
1839.6	336
1839.8	309
1840	314
1840.2	332
1840.4	306
1840.6	328
1840.8	299
1841	278
1841.2	280
1841.4	288
1841.6	312
1841.8	284
1842	329
1842.2	316
1842.4	306
1842.6	320
1842.8	308
1843	282
1843.2	285
1843.4	279
1843.6	296
1843.8	297
1844	280
1844.2	271
1844.4	281
1844.6	275
1844.8	272
1845	274
1845.2	260
1845.4	269
1845.6	251
1845.8	268
1846	258
1846.2	247
1846.4	261
1846.6	257
1846.8	257
1847	266
1847.2	252
1847.4	256
1847.6	268
1847.8	245
1848	246
1848.2	236
1848.4	258
1848.6	282
1848.8	267
1849	249
1849.2	278
1849.4	250
1849.6	251
1849.8	257
1850	244
1850.2	257
1850.4	253
1850.6	257
1850.8	239
1851	256
1851.2	244
1851.4	250
1851.6	250
1851.8	243
1852	233
1852.2	238
1852.4	245
1852.6	246
1852.8	222
1853	219
1853.2	234
1853.4	236
1853.6	242
1853.8	221
1854	233
1854.2	237
1854.4	249
1854.6	247
1854.8	241
1855	237
1855.2	224
1855.4	237
1855.6	237
1855.8	232
1856	235
1856.2	222
1856.4	221
1856.6	215
1856.8	240
1857	232
1857.2	239
1857.4	240
1857.6	221
1857.8	214
1858	227
1858.2	242
1858.4	210
1858.6	191
1858.8	229
1859	217
1859.2	216
1859.4	193
1859.6	222
1859.8	246
1860	214
1860.2	240
1860.4	247
1860.6	206
1860.8	213
1861	226
1861.2	230
1861.4	226
1861.6	232
1861.8	224
1862	223
1862.2	232
1862.4	216
1862.6	228
1862.8	230
1863	222
1863.2	230
1863.4	218
1863.6	216
1863.8	217
1864	198
1864.2	207
1864.4	222
1864.6	218
