# Optical emission spectrum of Tm:Y3Al5O12 (Tm:Y3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by GA on 15 August 1994 and was 
# annotated on  6 April 1995.  The sample name was "" was a 9.990
# long piece of :.  
# The incident light was unpolarized.
#
# Spectra were recorded from 700.4nm to 900nm
# every 0.2nm at room temperature.  The
# excitation wavelength was unknown.
#
# SLIT WIDTH IS 500 MICRONS, RADIATIVE LIFETIME OF 1.7 MSEC WAS USED TO CALCULATE EMISSION CROSS-SECTION.
#
##Wavelength (nm)	Absorbance (/meter) 
700.4	0.00193422289884924
700.6	0.00191642412573322
700.8	0.00265638293108852
701	0.00471454797832803
701.2	0.002209868804012
701.4	0.000350512694219317
701.6	0.000755720234630368
701.8	0.00291295392468544
702	0.00109703129897461
702.2	0
702.4	0
702.6	0.000835870684637084
702.8	0.00194676039940895
703	0.00191241660323288
703.2	0
703.4	0.0015672547351453
703.6	0.00250906729951193
703.8	0.00285653517216675
704	0.00410670308512067
704.2	0.00444185734115434
704.4	0.00305512022567501
704.6	0.00288743115568889
704.8	0.00368109971790624
705	0.00202167196525321
705.2	0.00246249944029015
705.4	0.00224667532351229
705.6	0.0042723771996597
705.8	0.00494089464021851
706	0.00784534097523844
706.2	0.00732346751444051
706.4	0.00573523485425156
706.6	0.00741212555411275
706.8	0.00380087762503918
707	0.0090905834415439
707.2	0.0101891819280885
707.4	0.00987910267317423
707.6	0.00381274347378319
707.8	0.0025424260063583
708	0.0044116330094479
708.2	0.0069030134778131
708.4	0.0023321989880446
708.6	0.00434379617606233
708.8	0.00499664174092151
709	0.00505462768101016
709.2	0.00798437290108808
709.4	0.00602494067075628
709.6	0.00474880222092867
709.8	0.00603591098374603
710	0.00418595799937312
710.2	0.00481731070612994
710.4	0.00525030224331706
710.6	0.00527918327139211
710.8	0.00393744682756459
711	0.00405632919894327
711.2	0.00379998208928491
711.4	0.00448730578068329
711.6	0.00199905968745802
711.8	0.00329176554873953
712	0.00153347064881565
712.2	0.00608785205749339
712.4	0.00383625128733265
712.6	0.000893386468454753
712.8	4.20588366990552e-05
713	0.00369498052209734
713.2	0.00199158196390991
713.4	0
713.6	0.00279720592844669
713.8	0.00383625128733265
714	0.00263578560874043
714.2	0.00261585993820803
714.4	0.00428289974477231
714.6	0.000195352169435365
714.8	0
715	0.00114543500649263
715.2	0.00103154524694398
715.4	0.00401155241123002
715.6	0.00159532978104151
715.8	0.0027248914162898
716	0.00143525276496664
716.2	0
716.4	0.000653517216674876
716.6	0.00522970492096897
716.8	0.00156165763668114
717	0.000818071911521067
717.2	0.000415662920342095
717.4	0.000354990372990642
717.6	0
717.8	0
718	0
718.2	0.000396610397170107
718.4	0.00110455379931044
718.6	0
718.8	0
719	0.000931379572829445
719.2	0
719.4	0
719.6	0
719.8	0
720	7.46652935118435e-05
720.2	0
720.4	0
720.6	0
720.8	0
721	0.000511821071956298
721.2	0.00135774414543501
721.4	0.000131384050508217
721.6	0
721.8	0
722	0
722.2	0
722.4	0.00264809922536157
722.6	0
722.8	0.000204271705547844
723	0
723.2	0
723.4	0.00292190928222809
723.6	0.000182474365289034
723.8	0.000240272242869297
724	0.000671696592486455
724.2	0.00406752339587158
724.4	0.00322079434021403
724.6	0.00407625486947566
724.8	0.000714771862266601
725	0.00478753414230063
725.2	0.00198558187435633
725.4	0.00209407603098554
725.6	0.0030240003582143
725.8	0.0034498276093673
726	0.00261630770608517
726.2	0.000447163390498366
726.4	0.000490261048672368
726.6	0.00238033403483634
726.8	0
727	0.00251399274616039
727.2	0.0022771235391573
727.4	0.00543343930506425
727.6	0.00538328930282542
727.8	0.00383087807280706
728	9.75529485514709e-05
728.2	0.00132572874222003
728.4	0.00179559396408902
728.6	0.00174313795728294
728.8	0.00265503962745713
729	0.00589777459365065
729.2	0.00412058388931178
729.4	0.00267496529798952
