# Optical emission spectrum of Tm:Y3Al5O12 (Tm:Y3Al5O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by GA on 15 June 1990 and was 
# annotated on  6 April 1995.  The sample name was "" was a 9.990
# long piece of :.  
# The incident light was horizontally polarized.
#
# Spectra were recorded from 425.4nm to 524.6nm
# every 0.2nm at room temperature.  The
# excitation wavelength was unknown.
#
# SLIT WIDTH IS 500 MICRONS.
#
##Wavelength (nm)	Absorbance (/meter) 
425.4	0.0049224444
425.6	0.005517816
425.8	0.0069314147
426	0.002951006
426.2	0.0036958824
426.4	0.0070546004
426.6	0.0047022363
426.8	0.0014981779
427	0
427.2	0.0054176789
427.4	0.0023124961
427.6	0.012368716
427.8	0.012542671
428	0.001065237
428.2	0.0016003239
428.4	0.0045033639
428.6	0
428.8	0
429	0
429.2	0
429.4	0
429.6	0.0036125646
429.8	0.0034633713
430	0
430.2	0.00015146546
430.4	0.0026457671
430.6	0.015986109
430.8	0.0068141469
431	0
431.2	0.0037284308
431.4	0.0053765651
431.6	0.0094658319
431.8	0.0043018439
432	0
432.2	0.0066884694
432.4	0.016386345
432.6	0.010714975
432.8	0.010254314
433	0.014172273
433.2	0.0023751012
433.4	0.0033651031
433.6	0
433.8	0
434	0
434.2	0.011228119
434.4	0.0067309849
434.6	0.0052420108
434.8	0.0076590045
435	0.0095240765
435.2	0.00039922444
435.4	0
435.6	0
435.8	0.001871457
436	0.0045298387
436.2	0.00087958637
436.4	0.0053303121
436.6	0.012572728
436.8	0.0047449075
437	0.0044656762
437.2	0.0086415312
437.4	0.0084328474
437.6	0.007630038
437.8	0.0068297203
438	0
438.2	0
438.4	0.0031028468
438.6	0.0076398492
438.8	0.011915374
439	0.013196443
439.2	0.0076228742
439.4	0
439.6	0.00096612783
439.8	0
440	0
440.2	0.011083598
440.4	0.0025451629
440.6	0.01531505
440.8	0.017286489
441	0.01058556
441.2	0.00041144957
441.4	0
441.6	0.001899022
441.8	0.0022662431
442	0
