# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YLF (Tm:LiYF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by NYC on  1 January 1980 and was 
# annotated on 12 December 1989.  The sample name was "" was a 4.9000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 650 to 850nm
# every 0.5nm at room temperature.
#
# FILE NAME ON PE-3600 = 004TYLF3.SP ON PC = 004TYLF3.SP NO_POINTS = 401. pts DATA_INTV = .000500 æm MIN_LAMBDA = .650000 æm MIN_DATA = 0.000000 MAX_LAMBDA = .850000 æm MAX_DATA = 10406.00 SCANSPEED = .01500000 æm/min SLITWIDTH= .00050 æmITA = 0. RESP = 2.000 sec ISMS = 0. DATE=YY/MM/DD INST = 509. ? = 0.
#
##Wavelength (nm)	Absorbance (/meter) 
650	682
650.5	745
651	734
651.5	778
652	700
652.5	707
653	716
653.5	750
654	743
654.5	841
655	917
655.5	1007
656	1041
656.5	1104
657	1246
657.5	1375
658	1296
658.5	1221
659	1201
659.5	1174
660	1048
660.5	974
661	919
661.5	992
662	975
662.5	1055
663	1206
663.5	1177
664	1038
664.5	953
665	908
665.5	937
666	888
666.5	859
667	877
667.5	884
668	888
668.5	978
669	1086
669.5	1165
670	1223
670.5	1239
671	1232
671.5	1244
672	1235
672.5	1221
673	1260
673.5	1305
674	1242
674.5	1159
675	1170
675.5	1206
676	1301
676.5	1324
677	1319
677.5	1423
678	1417
678.5	1444
679	1507
679.5	1473
680	1555
680.5	1731
681	1879
681.5	2026
682	2215
682.5	2449
683	2610
683.5	2860
684	3360
684.5	4123
685	5531
685.5	7968
686	10406
686.5	9202
687	7493
687.5	7033
688	7002
688.5	6609
689	5516
689.5	4252
690	3626
690.5	3414
691	3037
691.5	2660
692	2432
692.5	2168
693	2039
693.5	1872
694	1797
694.5	1630
695	1524
695.5	1460
696	1490
696.5	1481
697	1658
697.5	1866
698	2142
698.5	2091
699	2066
699.5	2126
700	2278
700.5	2415
701	2795
701.5	2957
702	2898
702.5	2809
703	2804
703.5	2671
704	2529
704.5	2374
705	2140
705.5	2014
706	1821
706.5	1691
707	1507
707.5	1365
708	1299
708.5	1180
709	1027
709.5	989
710	842
710.5	864
711	746
711.5	684
712	630
712.5	548
713	608
713.5	524
714	584
714.5	538
715	524
715.5	513
716	480
716.5	460
717	514
717.5	438
718	458
718.5	458
719	496
719.5	516
720	498
720.5	456
721	399
721.5	443
722	421
722.5	402
723	470
723.5	404
724	475
724.5	490
725	435
725.5	451
726	424
726.5	437
727	431
727.5	382
728	420
728.5	486
729	407
729.5	467
730	361
730.5	370
731	385
731.5	462
732	414
732.5	429
733	443
733.5	476
734	472
734.5	361
735	405
735.5	357
736	342
736.5	368
737	441
737.5	457
738	452
738.5	455
739	366
739.5	399
740	322
740.5	422
741	362
741.5	371
742	413
742.5	387
743	384
743.5	438
744	424
744.5	385
745	323
745.5	387
746	286
746.5	378
747	498
747.5	509
748	454
748.5	363
749	465
749.5	385
750	370
750.5	405
751	434
751.5	520
752	481
752.5	432
753	432
753.5	452
754	470
754.5	274
755	419
755.5	505
756	486
756.5	468
757	486
757.5	477
758	395
758.5	420
759	444
759.5	493
760	466
760.5	451
761	570
761.5	477
762	590
762.5	588
763	704
763.5	644
764	531
764.5	571
765	651
765.5	691
766	787
766.5	760
767	671
767.5	834
768	742
768.5	898
769	816
769.5	832
770	905
770.5	894
771	926
771.5	964
772	1085
772.5	917
773	1069
773.5	1191
774	973
774.5	1056
775	1146
775.5	1204
776	1189
776.5	1211
777	1385
777.5	1333
778	1381
778.5	1551
779	1664
779.5	1744
780	1920
780.5	2081
781	2437
781.5	2812
782	3024
782.5	3170
783	3180
783.5	3291
784	3557
784.5	3859
785	4204
785.5	4584
786	4535
786.5	4292
787	3912
787.5	3737
788	3747
788.5	3864
789	4175
789.5	4435
790	4872
790.5	5114
791	5015
791.5	4756
792	4653
792.5	4668
793	4901
793.5	5035
794	4948
794.5	4779
795	4612
795.5	4227
796	3690
796.5	3233
797	2948
797.5	2744
798	2606
798.5	2247
799	2111
799.5	1902
800	1861
800.5	1806
801	1544
801.5	1612
802	1658
802.5	1642
803	1574
803.5	1658
804	1397
804.5	1549
805	1499
805.5	1540
806	1463
806.5	1481
807	1273
807.5	1156
808	1199
808.5	1055
809	1064
809.5	1004
810	892
810.5	950
811	872
811.5	894
812	819
812.5	879
813	745
813.5	854
814	747
814.5	821
815	783
815.5	721
816	630
816.5	594
817	661
817.5	570
818	477
818.5	422
819	471
819.5	482
820	228
820.5	237
821	363
821.5	310
822	405
822.5	229
823	389
823.5	396
824	273
824.5	330
825	121
825.5	148
826	56
826.5	163
827	282
827.5	86
828	284
828.5	1
829	181
829.5	177
830	32
830.5	1
831	85
831.5	74
832	157
832.5	1
833	67
833.5	94
834	153
834.5	113
835	1
835.5	1
836	160
836.5	1
837	107
837.5	9
838	1
838.5	1
839	1
839.5	66
840	138
840.5	24
841	1
841.5	169
842	136
842.5	11
843	49
843.5	185
844	1
844.5	7
845	1
845.5	1
846	3
846.5	106
847	1
847.5	7
848	1
848.5	392
849	29
849.5	179
850	214
