# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YLF (Tm:LiYF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by NYC on  1 January 1980 and was 
# annotated on 12 December 1989.  The sample name was "" was a 4.9000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 1550 to 2050nm
# every 1nm at room temperature.
#
# FILE NAME ON PE-3600 = 004TYLF7.SP ON PC = 004TYLF7.SP NO_POINTS = 501. pts DATA_INTV = .001000 æm MIN_LAMBDA = 1.550000 æm MIN_DATA = .0000000 MAX_LAMBDA = 2.050000 æm MAX_DATA = 3523.100 SCANSPEED = .01500000 æm/min SLITWIDTH= .00050 æmITA = 0. RESP = 2.000 sec ISMS = 0. DATE=YY/MM/DD INST = 509. ? = 0.
#
##Wavelength (nm)	Absorbance (/meter) 
1550	1
1551	111
1552	1
1553	1
1554	1
1555	1
1556	1
1557	1
1558	1
1559	1
1560	52
1561	1
1562	1
1563	4
1564	1
1565	50
1566	1
1567	61
1568	16
1569	1
1570	73
1571	1
1572	31
1573	1
1574	1
1575	1
1576	1
1577	1
1578	1
1579	1
1580	1
1581	1
1582	1
1583	25
1584	1
1585	8
1586	34
1587	172
1588	91
1589	181
1590	120
1591	249
1592	71
1593	234
1594	115
1595	124
1596	96
1597	251
1598	83
1599	72
1600	37
1601	22
1602	1
1603	203
1604	133
1605	133
1606	245
1607	195
1608	274
1609	191
1610	213
1611	285
1612	393
1613	268
1614	462
1615	398
1616	380
1617	193
1618	464
1619	327
1620	380
1621	134
1622	413
1623	246
1624	341
1625	231
1626	328
1627	194
1628	568
1629	218
1630	425
1631	403
1632	602
1633	313
1634	509
1635	509
1636	629
1637	401
1638	553
1639	454
1640	602
1641	361
1642	434
1643	419
1644	467
1645	318
1646	441
1647	507
1648	607
1649	466
1650	446
1651	541
1652	574
1653	567
1654	654
1655	678
1656	769
1657	814
1658	701
1659	912
1660	1080
1661	1035
1662	888
1663	1201
1664	1085
1665	1271
1666	1145
1667	1459
1668	1371
1669	1427
1670	1164
1671	1337
1672	1362
1673	1283
1674	1330
1675	1504
1676	1693
1677	1709
1678	1869
1679	2008
1680	2095
1681	2324
1682	2291
1683	2486
1684	2649
1685	2361
1686	2218
1687	2257
1688	2181
1689	1862
1690	1659
1691	1544
1692	1646
1693	1307
1694	1212
1695	1136
1696	1264
1697	995
1698	972
1699	861
1700	1037
1701	937
1702	877
1703	843
1704	1183
1705	957
1706	953
1707	1062
1708	1240
1709	1083
1710	1141
1711	1063
1712	1382
1713	1330
1714	1152
1715	1355
1716	1430
1717	1595
1718	1439
1719	1480
1720	1620
1721	1900
1722	1896
1723	2036
1724	2123
1725	2395
1726	2176
1727	2400
1728	2372
1729	2391
1730	2303
1731	2430
1732	2266
1733	2607
1734	2377
1735	2556
1736	2465
1737	2850
1738	2754
1739	2976
1740	3106
1741	3406
1742	3420
1743	3523
1744	3516
1745	3511
1746	3215
1747	2996
1748	2708
1749	2515
1750	2313
1751	2187
1752	1943
1753	1985
1754	1911
1755	1708
1756	1645
1757	1724
1758	1681
1759	1547
1760	1545
1761	1554
1762	1491
1763	1545
1764	1482
1765	1468
1766	1584
1767	1446
1768	1453
1769	1371
1770	1374
1771	1205
1772	1311
1773	1250
1774	1383
1775	1158
1776	1185
1777	1106
1778	1334
1779	1154
1780	1089
1781	995
1782	1176
1783	1091
1784	1087
1785	1019
1786	1132
1787	1152
1788	1147
1789	1152
1790	1235
1791	1343
1792	1334
1793	1368
1794	1585
1795	1513
1796	1506
1797	1511
1798	1314
1799	1314
1800	1229
1801	1114
1802	891
1803	828
1804	784
1805	820
1806	611
1807	589
1808	584
1809	534
1810	567
1811	516
1812	393
1813	452
1814	622
1815	514
1816	494
1817	574
1818	656
1819	583
1820	523
1821	587
1822	658
1823	618
1824	738
1825	665
1826	639
1827	701
1828	690
1829	708
1830	661
1831	668
1832	623
1833	639
1834	694
1835	531
1836	522
1837	630
1838	500
1839	681
1840	549
1841	768
1842	544
1843	746
1844	536
1845	759
1846	711
1847	684
1848	505
1849	620
1850	786
1851	695
1852	602
1853	565
1854	571
1855	713
1856	375
1857	466
1858	532
1859	452
1860	441
1861	373
1862	428
1863	349
1864	387
1865	334
1866	288
1867	169
1868	176
1869	47
1870	86
1871	1
1872	220
1873	1
1874	176
1875	1
1876	41
1877	1
1878	108
1879	1
1880	80
1881	1
1882	181
1883	1
1884	91
1885	89
1886	229
1887	129
1888	276
1889	120
1890	122
1891	243
1892	432
1893	155
1894	204
1895	81
1896	120
1897	186
1898	1
1899	105
1900	1
1901	73
1902	1
1903	149
1904	71
1905	58
1906	1
1907	158
1908	1
1909	218
1910	1
1911	102
1912	115
1913	202
1914	1
1915	240
1916	38
1917	207
1918	85
1919	137
1920	113
1921	115
1922	115
1923	89
1924	24
1925	48
1926	72
1927	68
1928	74
1929	1
1930	1
1931	1
1932	140
1933	1
1934	1
1935	1
1936	1
1937	1
1938	48
1939	1
1940	14
1941	1
1942	31
1943	1
1944	1
1945	1
1946	71
1947	1
1948	121
1949	115
1950	191
1951	16
1952	91
1953	249
1954	306
1955	67
1956	148
1957	214
1958	231
1959	313
1960	74
1961	175
1962	131
1963	175
1964	401
1965	326
1966	269
1967	370
1968	129
1969	483
1970	448
1971	210
1972	437
1973	413
1974	554
1975	687
1976	388
1977	430
1978	638
1979	360
1980	545
1981	318
1982	237
1983	371
1984	150
1985	165
1986	389
1987	215
1988	222
1989	209
1990	266
1991	478
1992	135
1993	222
1994	385
1995	429
1996	365
1997	540
1998	399
1999	544
2000	609
2001	472
2002	536
2003	609
2004	423
2005	463
2006	489
2007	476
2008	729
2009	450
2010	446
2011	638
2012	494
2013	415
2014	452
2015	318
2016	360
2017	371
2018	316
2019	369
2020	380
2021	200
2022	404
2023	301
2024	530
2025	391
2026	429
2027	319
2028	623
2029	513
2030	431
2031	586
2032	571
2033	509
2034	757
2035	513
2036	615
2037	602
2038	460
2039	651
2040	849
2041	689
2042	620
2043	620
2044	527
2045	649
2046	578
2047	527
2048	600
2049	569
2050	433
