# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YLF (Tm:LiYF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by NYC on  1 January 1980 and was 
# annotated on 12 December 1989.  The sample name was "" was a 4.9000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 1550 to 2200nm
# every 1nm at room temperature.
#
# FILE NAME ON PE-3600 = 004TYLF5.SP ON PC = 004TYLF5.SP NO_POINTS = 651. pts DATA_INTV = .001000 æm MIN_LAMBDA = 1.550000 æm MIN_DATA = 0.000000 MAX_LAMBDA = 2.200000 æm MAX_DATA = 18720.00 SCANSPEED = .01500000 æm/min SLITWIDTH= .00050 æmITA = 0. RESP = 2.000 sec ISMS = 0. DATE=YY/MM/DD INST = 509. ? = 0.
#
##Wavelength (nm)	Absorbance (/meter) 
1550	10
1551	157
1552	239
1553	228
1554	129
1555	157
1556	204
1557	193
1558	305
1559	230
1560	372
1561	414
1562	407
1563	372
1564	281
1565	386
1566	321
1567	332
1568	297
1569	310
1570	286
1571	246
1572	317
1573	236
1574	267
1575	211
1576	433
1577	284
1578	355
1579	285
1580	320
1581	234
1582	358
1583	402
1584	433
1585	544
1586	223
1587	536
1588	394
1589	540
1590	292
1591	360
1592	305
1593	312
1594	374
1595	316
1596	421
1597	286
1598	410
1599	67
1600	432
1601	359
1602	652
1603	374
1604	530
1605	486
1606	532
1607	599
1608	406
1609	726
1610	517
1611	868
1612	379
1613	651
1614	637
1615	693
1616	649
1617	589
1618	575
1619	671
1620	627
1621	544
1622	1007
1623	772
1624	942
1625	705
1626	992
1627	1014
1628	1069
1629	947
1630	1028
1631	1277
1632	1411
1633	1372
1634	1130
1635	1411
1636	1377
1637	1354
1638	1261
1639	1297
1640	1447
1641	1598
1642	1470
1643	1423
1644	1580
1645	1630
1646	1724
1647	1751
1648	1852
1649	2039
1650	2129
1651	2060
1652	2097
1653	2410
1654	2688
1655	2508
1656	2733
1657	2719
1658	2966
1659	3089
1660	3115
1661	3170
1662	3563
1663	3657
1664	3719
1665	3990
1666	4099
1667	4533
1668	4612
1669	5101
1670	5438
1671	6188
1672	6694
1673	7557
1674	8292
1675	9813
1676	10771
1677	12288
1678	13629
1679	15243
1680	16545
1681	17494
1682	18184
1683	18511
1684	18719
1685	18013
1686	17589
1687	16651
1688	16493
1689	15464
1690	15055
1691	14024
1692	13325
1693	12312
1694	11342
1695	10812
1696	10010
1697	9553
1698	8653
1699	8264
1700	7754
1701	7648
1702	6909
1703	6737
1704	6369
1705	5986
1706	5834
1707	5285
1708	5201
1709	4735
1710	4710
1711	4281
1712	4041
1713	3785
1714	3802
1715	3514
1716	3394
1717	3301
1718	3081
1719	3057
1720	2814
1721	2894
1722	2791
1723	2749
1724	2730
1725	2559
1726	2697
1727	2629
1728	2864
1729	2688
1730	2744
1731	2754
1732	2782
1733	2933
1734	3023
1735	2952
1736	3042
1737	3146
1738	3163
1739	3303
1740	3544
1741	3671
1742	3999
1743	4169
1744	4315
1745	4410
1746	4445
1747	4235
1748	3703
1749	3449
1750	2915
1751	2776
1752	2451
1753	2498
1754	2319
1755	2288
1756	2179
1757	2277
1758	2140
1759	1891
1760	2083
1761	1947
1762	1995
1763	1580
1764	1763
1765	1455
1766	1685
1767	1371
1768	1439
1769	1323
1770	1294
1771	1258
1772	884
1773	1244
1774	913
1775	1211
1776	649
1777	945
1778	905
1779	878
1780	799
1781	732
1782	970
1783	770
1784	943
1785	632
1786	1042
1787	822
1788	1060
1789	708
1790	874
1791	908
1792	885
1793	903
1794	668
1795	941
1796	738
1797	807
1798	653
1799	794
1800	682
1801	841
1802	662
1803	671
1804	772
1805	720
1806	808
1807	799
1808	712
1809	877
1810	889
1811	763
1812	873
1813	1111
1814	1184
1815	1012
1816	907
1817	1143
1818	1164
1819	1227
1820	1220
1821	1454
1822	1470
1823	1452
1824	1229
1825	1500
1826	1506
1827	1742
1828	1669
1829	1575
1830	1564
1831	1990
1832	1790
1833	1834
1834	1527
1835	1507
1836	1516
1837	1244
1838	1215
1839	886
1840	1289
1841	884
1842	823
1843	738
1844	848
1845	873
1846	723
1847	730
1848	674
1849	931
1850	598
1851	705
1852	541
1853	781
1854	652
1855	494
1856	710
1857	468
1858	726
1859	439
1860	637
1861	488
1862	599
1863	495
1864	364
1865	628
1866	530
1867	613
1868	499
1869	579
1870	380
1871	785
1872	680
1873	870
1874	769
1875	996
1876	1169
1877	1052
1878	1188
1879	1043
1880	1190
1881	992
1882	1073
1883	918
1884	918
1885	952
1886	918
1887	793
1888	860
1889	773
1890	784
1891	739
1892	512
1893	590
1894	465
1895	434
1896	306
1897	355
1898	209
1899	326
1900	386
1901	315
1902	218
1903	304
1904	466
1905	331
1906	366
1907	309
1908	285
1909	327
1910	360
1911	336
1912	440
1913	278
1914	369
1915	186
1916	263
1917	279
1918	252
1919	425
1920	4
1921	272
1922	1
1923	290
1924	90
1925	147
1926	191
1927	110
1928	57
1929	1
1930	313
1931	1
1932	333
1933	1
1934	293
1935	101
1936	271
1937	220
1938	119
1939	362
1940	282
1941	353
1942	38
1943	469
1944	327
1945	371
1946	219
1947	168
1948	433
1949	274
1950	367
1951	179
1952	301
1953	232
1954	378
1955	184
1956	19
1957	279
1958	270
1959	270
1960	1
1961	85
1962	17
1963	156
1964	1
1965	1
1966	1
1967	106
1968	1
1969	1
1970	126
1971	249
1972	134
1973	1
1974	124
1975	88
1976	298
1977	91
1978	210
1979	179
1980	469
1981	206
1982	318
1983	78
1984	349
1985	294
1986	168
1987	193
1988	160
1989	292
1990	30
1991	114
1992	32
1993	312
1994	13
1995	116
1996	1
1997	55
1998	171
1999	1
2000	130
2001	1
2002	88
2003	77
2004	44
2005	40
2006	14
2007	245
2008	9
2009	199
2010	1
2011	402
2012	102
2013	265
2014	128
2015	181
2016	259
2017	217
2018	352
2019	14
2020	363
2021	186
2022	186
2023	160
2024	230
2025	153
2026	103
2027	184
2028	83
2029	207
2030	266
2031	160
2032	31
2033	169
2034	156
2035	134
2036	108
2037	1
2038	97
2039	174
2040	139
2041	51
2042	137
2043	159
2044	84
2045	258
2046	367
2047	164
2048	186
2049	245
2050	256
2051	287
2052	265
2053	330
2054	208
2055	246
2056	215
2057	310
2058	173
2059	323
2060	6
2061	129
2062	222
2063	114
2064	193
2065	1
2066	196
2067	13
2068	167
2069	1
2070	132
2071	1
2072	123
2073	51
2074	1
2075	141
2076	1
2077	234
2078	1
2079	142
2080	67
2081	153
2082	96
2083	1
2084	142
2085	76
2086	226
2087	41
2088	15
2089	78
2090	224
2091	129
2092	81
2093	195
2094	204
2095	268
2096	64
2097	156
2098	165
2099	258
2100	44
2101	1
2102	73
2103	211
2104	1
2105	1
2106	1
2107	177
2108	20
2109	1
2110	1
2111	18
2112	153
2113	1
2114	23
2115	1
2116	25
2117	56
2118	1
2119	1
2120	1
2121	1
2122	1
2123	35
2124	1
2125	264
2126	68
2127	61
2128	101
2129	22
2130	286
2131	1
2132	189
2133	1
2134	317
2135	172
2136	106
2137	115
2138	44
2139	174
2140	1
2141	97
2142	1
2143	133
2144	115
2145	52
2146	89
2147	1
2148	171
2149	89
2150	166
2151	28
2152	230
2153	83
2154	43
2155	65
2156	1
2157	61
2158	2
2159	1
2160	1
2161	2
2162	134
2163	198
2164	112
2165	218
2166	64
2167	293
2168	154
2169	247
2170	130
2171	216
2172	205
2173	192
2174	170
2175	1
2176	347
2177	104
2178	292
2179	98
2180	206
2181	212
2182	149
2183	171
2184	70
2185	434
2186	81
2187	220
2188	8
2189	151
2190	237
2191	167
2192	165
2193	1
2194	231
2195	143
2196	196
2197	1
2198	104
2199	95
2200	1
