# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YLF (Tm:LiYF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on 21 February 1992 and was 
# annotated on 24 February 1992.  The sample name was "" was a 4.3900
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 320 to 740nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PC = BR92.DX NO_POINTS = 2101. pts DATA_INTV = .000200 ˆm MIN_LAMBDA = .320000 ˆm MIN_DATA = .23220 MAX_LAMBDA = .740000 ˆm MAX_DATA = .94230 SCANSPEED = 15.000000 NM/MIN SLITWIDTH= .40000 NM RESP TIME = 1.0 sec SENSITIVITY = 2 DATE=92/02/21 HORIZONTAL POL. (E PERPENDICULAR TO C-AXIS).
#
##Wavelength (nm)	Absorbance (/meter) 
320	197
320.2	211
320.4	182
320.6	191
320.8	190
321	173
321.2	216
321.4	186
321.6	184
321.8	194
322	181
322.2	186
322.4	200
322.6	198
322.8	189
323	186
323.2	190
323.4	190
323.6	193
323.8	185
324	188
324.2	189
324.4	190
324.6	174
324.8	191
325	190
325.2	183
325.4	186
325.6	176
325.8	197
326	174
326.2	201
326.4	204
326.6	203
326.8	188
327	185
327.2	174
327.4	185
327.6	196
327.8	175
328	182
328.2	187
328.4	171
328.6	204
328.8	190
329	198
329.2	179
329.4	169
329.6	184
329.8	163
330	183
330.2	171
330.4	196
330.6	209
330.8	211
331	176
331.2	182
331.4	190
331.6	193
331.8	177
332	203
332.2	187
332.4	175
332.6	185
332.8	175
333	171
333.2	181
333.4	210
333.6	200
333.8	187
334	186
334.2	176
334.4	181
334.6	181
334.8	203
335	184
335.2	207
335.4	167
335.6	187
335.8	186
336	198
336.2	182
336.4	172
336.6	161
336.8	174
337	183
337.2	193
337.4	178
337.6	191
337.8	183
338	203
338.2	175
338.4	164
338.6	197
338.8	180
339	157
339.2	195
339.4	196
339.6	177
339.8	182
340	162
340.2	185
340.4	193
340.6	167
340.8	171
341	176
341.2	170
341.4	170
341.6	179
341.8	180
342	189
342.2	199
342.4	204
342.6	192
342.8	177
343	182
343.2	189
343.4	183
343.6	178
343.8	181
344	195
344.2	203
344.4	191
344.6	181
344.8	178
345	166
345.2	183
345.4	179
345.6	175
345.8	179
346	206
346.2	201
346.4	170
346.6	187
346.8	177
347	183
347.2	183
347.4	185
347.6	201
347.8	204
348	223
348.2	212
348.4	224
348.6	240
348.8	223
349	243
349.2	243
349.4	244
349.6	256
349.8	271
350	278
350.2	286
350.4	308
350.6	329
350.8	370
351	408
351.2	442
351.4	471
351.6	516
351.8	556
352	631
352.2	696
352.4	765
352.6	813
352.8	821
353	852
353.2	864
353.4	872
353.6	883
353.8	897
354	934
354.2	994
354.4	1074
354.6	1198
354.8	1308
355	1467
355.2	1699
355.4	1943
355.6	2250
355.8	2620
356	3168
356.2	3670
356.4	3824
356.6	3808
356.8	4005
357	4112
357.2	4061
357.4	4101
357.6	4220
357.8	3907
358	2990
358.2	2127
358.4	1672
358.6	1416
358.8	1256
359	1197
359.2	1179
359.4	1241
359.6	1374
359.8	1437
360	1329
360.2	1196
360.4	1131
360.6	1184
360.8	1277
361	1431
361.2	1647
361.4	1884
361.6	1975
361.8	1862
362	1655
