# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YLF (Tm:LiYF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on 21 February 1992 and was 
# annotated on 24 February 1992.  The sample name was "" was a 4.3900
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 320 to 740nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PC = BR90.DX NO_POINTS = 2101. pts DATA_INTV = .000200 ˆm MIN_LAMBDA = .320000 ˆm MIN_DATA = .00570 MAX_LAMBDA = .740000 ˆm MAX_DATA = .94590 SCANSPEED = 15.000000 NM/MIN SLITWIDTH= .40000 NM RESP TIME = 1.0 sec SENSITIVITY = 2 DATE=92/02/21 VERTICAL POL. (E PARALLEL TO C-AXIS).
#
##Wavelength (nm)	Absorbance (/meter) 
320	288
320.2	281
320.4	276
320.6	274
320.8	252
321	283
321.2	306
321.4	304
321.6	299
321.8	282
322	277
322.2	275
322.4	281
322.6	263
322.8	292
323	292
323.2	277
323.4	270
323.6	275
323.8	272
324	281
324.2	287
324.4	288
324.6	266
324.8	270
325	289
325.2	282
325.4	280
325.6	295
325.8	275
326	275
326.2	277
326.4	259
326.6	254
326.8	280
327	285
327.2	288
327.4	251
327.6	291
327.8	294
328	286
328.2	254
328.4	246
328.6	274
328.8	299
329	254
329.2	277
329.4	273
329.6	248
329.8	259
330	279
330.2	279
330.4	267
330.6	248
330.8	261
331	266
331.2	256
331.4	264
331.6	272
331.8	273
332	267
332.2	283
332.4	275
332.6	266
332.8	255
333	269
333.2	253
333.4	254
333.6	242
333.8	265
334	269
334.2	278
334.4	277
334.6	265
334.8	267
335	273
335.2	261
335.4	263
335.6	264
335.8	262
336	246
336.2	259
336.4	277
336.6	296
336.8	262
337	254
337.2	255
337.4	276
337.6	253
337.8	270
338	223
338.2	237
338.4	291
338.6	283
338.8	267
339	263
339.2	268
339.4	262
339.6	241
339.8	263
340	255
340.2	284
340.4	274
340.6	281
340.8	253
341	257
341.2	248
341.4	259
341.6	261
341.8	259
342	267
342.2	250
342.4	276
342.6	267
342.8	263
343	271
343.2	270
343.4	271
343.6	277
343.8	270
344	251
344.2	267
344.4	263
344.6	262
344.8	270
345	279
345.2	256
345.4	260
345.6	262
345.8	252
346	254
346.2	251
346.4	270
346.6	254
346.8	278
347	288
347.2	281
347.4	308
347.6	330
347.8	294
348	301
348.2	313
348.4	321
348.6	324
348.8	326
349	335
349.2	352
349.4	359
349.6	348
349.8	364
350	394
350.2	413
350.4	438
350.6	461
350.8	508
351	542
351.2	565
351.4	624
351.6	683
351.8	722
352	762
352.2	807
352.4	838
352.6	836
352.8	865
353	822
353.2	822
353.4	820
353.6	819
353.8	832
354	855
354.2	878
354.4	904
354.6	959
354.8	1053
355	1113
355.2	1232
355.4	1357
355.6	1512
355.8	1737
356	2099
356.2	2755
356.4	4074
356.6	5258
356.8	4896
357	3560
357.2	2966
357.4	3010
357.6	3233
357.8	3187
358	2946
358.2	2741
358.4	2648
358.6	2599
358.8	2648
359	2799
359.2	3012
359.4	3275
359.6	3436
359.8	3550
360	3854
360.2	4376
360.4	4817
360.6	5076
360.8	5152
361	5144
361.2	5302
361.4	5480
361.6	5431
361.8	4897
362	4005
362.2	3145
362.4	2447
362.6	1918
362.8	1547
363	1236
363.2	1028
363.4	867
363.6	769
363.8	660
364	594
364.2	574
364.4	527
364.6	498
364.8	465
365	444
365.2	419
365.4	397
365.6	387
365.8	349
366	346
366.2	312
366.4	313
366.6	311
366.8	296
367	267
367.2	258
367.4	264
367.6	233
367.8	227
368	241
368.2	234
368.4	236
368.6	206
368.8	246
369	227
369.2	230
369.4	228
369.6	227
369.8	235
370	224
370.2	253
370.4	202
370.6	220
370.8	214
371	220
371.2	225
371.4	211
371.6	221
371.8	224
372	184
372.2	217
372.4	217
372.6	213
372.8	200
373	205
373.2	227
373.4	200
373.6	228
373.8	219
374	191
374.2	210
374.4	211
374.6	192
374.8	206
375	230
375.2	200
375.4	212
375.6	263
375.8	224
376	222
