# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YLF (Tm:LiYF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on 20 February 1992 and was 
# annotated on 24 February 1992.  The sample name was "" was a 4.3900
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 1000 to 1400nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PC = BR82.DX NO_POINTS = 2001. pts DATA_INTV = .000200 ˆm MIN_LAMBDA = 1.000000 ˆm MIN_DATA = .21450 MAX_LAMBDA = 1.400000 ˆm MAX_DATA = .88030 SCANSPEED = 60.000000 NM/MIN SLITWIDTH= .00000 ˆm RESP TIME = 1.0 sec SENSITIVITY = 5 DATE=92/02/20 HORIZONTAL POL. (E PERPENDICULAR TO C-AXIS).
#
##Wavelength (nm)	Absorbance (/meter) 
1000	253
1000.2	252
1000.4	259
1000.6	265
1000.8	261
1001	259
1001.2	265
1001.4	261
1001.6	254
1001.8	247
1002	236
1002.2	233
1002.4	262
1002.6	265
1002.8	261
1003	258
1003.2	259
1003.4	269
1003.6	261
1003.8	272
1004	274
1004.2	262
1004.4	262
1004.6	250
1004.8	255
1005	263
1005.2	264
1005.4	269
1005.6	250
1005.8	242
1006	239
1006.2	238
1006.4	237
1006.6	236
1006.8	240
1007	235
1007.2	232
1007.4	217
1007.6	208
1007.8	228
1008	238
1008.2	245
1008.4	234
1008.6	244
1008.8	255
1009	242
1009.2	238
1009.4	242
1009.6	245
1009.8	240
1010	244
1010.2	247
1010.4	240
1010.6	268
1010.8	267
1011	268
1011.2	264
1011.4	258
1011.6	259
1011.8	242
1012	240
1012.2	236
1012.4	231
1012.6	246
1012.8	249
1013	243
1013.2	239
1013.4	230
1013.6	236
1013.8	228
1014	235
1014.2	232
1014.4	228
1014.6	243
1014.8	248
1015	251
1015.2	252
1015.4	263
1015.6	269
1015.8	243
1016	234
1016.2	220
1016.4	218
1016.6	217
1016.8	205
1017	217
1017.2	201
1017.4	212
1017.6	212
1017.8	208
1018	220
1018.2	222
1018.4	229
1018.6	243
1018.8	240
1019	248
1019.2	239
1019.4	235
1019.6	237
1019.8	232
1020	228
1020.2	225
1020.4	230
1020.6	216
1020.8	229
1021	234
1021.2	234
1021.4	237
1021.6	239
1021.8	237
1022	234
1022.2	236
1022.4	231
1022.6	221
1022.8	228
1023	217
1023.2	215
1023.4	218
1023.6	241
1023.8	253
1024	235
1024.2	235
1024.4	228
1024.6	214
1024.8	221
1025	222
1025.2	218
1025.4	210
1025.6	203
1025.8	213
1026	208
1026.2	210
1026.4	214
1026.6	210
1026.8	213
1027	209
1027.2	205
1027.4	193
1027.6	212
1027.8	210
1028	190
1028.2	196
1028.4	207
1028.6	218
1028.8	217
1029	230
1029.2	235
1029.4	215
1029.6	228
1029.8	228
1030	216
1030.2	205
1030.4	218
1030.6	214
1030.8	206
1031	219
1031.2	230
1031.4	219
1031.6	229
1031.8	232
1032	239
1032.2	239
1032.4	220
1032.6	223
1032.8	217
1033	222
1033.2	220
1033.4	217
1033.6	225
1033.8	216
1034	222
1034.2	220
1034.4	216
1034.6	221
1034.8	221
1035	229
1035.2	226
1035.4	229
1035.6	218
1035.8	220
1036	217
1036.2	217
1036.4	215
1036.6	212
1036.8	188
1037	201
1037.2	207
1037.4	207
1037.6	199
1037.8	204
1038	206
1038.2	213
1038.4	214
1038.6	213
1038.8	211
1039	200
1039.2	213
1039.4	219
