# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YLF (Tm:LiYF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on 20 February 1992 and was 
# annotated on 24 February 1992.  The sample name was "" was a 4.3900
# long piece of :.   
# The incident light was unpolarized.
#
# Spectra were recorded from 1500 to 2000nm
# every 0.2nm at room temperature.
#
# FILE NAME ON PC = BR78.DX NO_POINTS = 2501. pts DATA_INTV = .000200 ˆm MIN_LAMBDA = 1.500000 ˆm MIN_DATA = .07270 MAX_LAMBDA = 2.000000 ˆm MAX_DATA = .93030 SCANSPEED = 60.000000 NM/MIN SLITWIDTH= .00000 ˆm RESP TIME = 1.0 sec SENSITIVITY = 5 DATE=92/02/20 VERTICAL POL. (E PARALLEL TO C-AXIS).
#
##Wavelength (nm)	Absorbance (/meter) 
1500	102
1500.2	116
1500.4	114
1500.6	127
1500.8	118
1501	109
1501.2	114
1501.4	91
1501.6	97
1501.8	95
1502	97
1502.2	111
1502.4	115
1502.6	128
1502.8	109
1503	104
1503.2	104
1503.4	105
1503.6	116
1503.8	109
1504	119
1504.2	117
1504.4	103
1504.6	102
1504.8	89
1505	121
1505.2	130
1505.4	118
1505.6	113
1505.8	116
1506	144
1506.2	130
1506.4	128
1506.6	124
1506.8	97
1507	106
1507.2	114
1507.4	136
1507.6	126
1507.8	111
1508	117
1508.2	112
1508.4	122
1508.6	120
1508.8	116
1509	121
1509.2	120
1509.4	141
1509.6	133
1509.8	129
1510	134
1510.2	100
1510.4	102
1510.6	117
1510.8	134
1511	137
1511.2	127
1511.4	133
1511.6	122
1511.8	126
1512	131
1512.2	132
1512.4	136
1512.6	125
1512.8	136
1513	132
1513.2	137
1513.4	135
1513.6	118
1513.8	132
1514	129
1514.2	130
1514.4	116
1514.6	105
1514.8	123
1515	118
1515.2	128
1515.4	128
1515.6	121
1515.8	117
1516	103
1516.2	120
1516.4	103
1516.6	115
1516.8	126
1517	103
1517.2	116
1517.4	116
1517.6	119
1517.8	117
1518	109
1518.2	116
1518.4	106
1518.6	107
1518.8	109
1519	107
1519.2	115
1519.4	122
1519.6	141
1519.8	137
1520	124
1520.2	112
1520.4	99
1520.6	109
1520.8	104
1521	98
1521.2	95
1521.4	89
1521.6	107
1521.8	98
1522	101
1522.2	95
1522.4	99
1522.6	109
1522.8	111
1523	120
1523.2	109
1523.4	112
1523.6	116
1523.8	109
1524	127
1524.2	122
1524.4	118
1524.6	113
1524.8	98
1525	101
1525.2	100
1525.4	103
1525.6	119
1525.8	109
1526	104
1526.2	99
1526.4	111
1526.6	106
1526.8	108
1527	115
1527.2	108
1527.4	118
1527.6	119
1527.8	115
1528	110
1528.2	94
1528.4	91
1528.6	83
1528.8	108
1529	116
1529.2	101
1529.4	99
1529.6	98
1529.8	113
1530	108
1530.2	112
1530.4	132
1530.6	119
1530.8	130
1531	136
1531.2	140
1531.4	129
1531.6	120
1531.8	118
1532	120
1532.2	128
1532.4	126
1532.6	104
1532.8	114
1533	113
1533.2	117
1533.4	103
1533.6	109
1533.8	137
1534	112
1534.2	128
1534.4	134
1534.6	129
1534.8	128
1535	133
1535.2	123
1535.4	103
1535.6	104
1535.8	121
1536	108
1536.2	94
1536.4	78
1536.6	96
1536.8	109
1537	127
1537.2	143
1537.4	114
1537.6	104
1537.8	123
1538	140
1538.2	132
1538.4	107
1538.6	111
1538.8	114
1539	131
1539.2	142
1539.4	123
1539.6	142
1539.8	128
1540	137
1540.2	147
1540.4	154
1540.6	152
1540.8	128
1541	130
1541.2	134
1541.4	136
1541.6	128
1541.8	111
1542	125
1542.2	129
1542.4	120
1542.6	123
1542.8	117
1543	124
1543.2	113
1543.4	133
1543.6	131
1543.8	119
1544	124
1544.2	96
1544.4	132
1544.6	141
1544.8	134
1545	117
1545.2	106
1545.4	144
1545.6	144
1545.8	135
1546	146
1546.2	143
1546.4	142
1546.6	123
1546.8	135
1547	135
1547.2	150
1547.4	172
1547.6	153
1547.8	148
1548	141
1548.2	139
1548.4	140
1548.6	139
1548.8	149
1549	141
1549.2	137
1549.4	144
1549.6	131
1549.8	135
1550	126
1550.2	129
1550.4	138
1550.6	146
1550.8	151
1551	130
1551.2	136
1551.4	139
1551.6	142
1551.8	146
1552	130
1552.2	142
1552.4	133
1552.6	144
1552.8	172
1553	161
1553.2	168
1553.4	149
1553.6	175
1553.8	164
1554	151
1554.2	168
1554.4	154
1554.6	159
1554.8	172
1555	179
1555.2	180
1555.4	159
1555.6	175
1555.8	168
1556	159
1556.2	163
1556.4	153
1556.6	156
1556.8	154
1557	170
1557.2	173
1557.4	170
1557.6	172
1557.8	158
1558	171
1558.2	177
1558.4	176
1558.6	170
1558.8	155
1559	180
1559.2	173
1559.4	167
1559.6	175
1559.8	170
1560	172
1560.2	169
1560.4	176
1560.6	175
1560.8	164
1561	187
1561.2	180
1561.4	193
1561.6	197
1561.8	210
1562	208
1562.2	185
1562.4	180
1562.6	171
1562.8	180
1563	203
1563.2	190
1563.4	192
1563.6	181
1563.8	182
1564	180
1564.2	184
1564.4	190
1564.6	170
1564.8	174
1565	185
1565.2	187
1565.4	203
1565.6	198
1565.8	193
1566	190
1566.2	191
1566.4	213
1566.6	201
1566.8	206
1567	194
1567.2	193
1567.4	206
1567.6	202
1567.8	200
1568	165
1568.2	180
1568.4	197
1568.6	201
1568.8	200
1569	183
1569.2	184
1569.4	178
1569.6	182
1569.8	200
1570	198
1570.2	212
1570.4	212
1570.6	211
1570.8	206
1571	202
1571.2	229
1571.4	212
1571.6	220
1571.8	224
1572	220
1572.2	224
1572.4	217
1572.6	233
1572.8	228
1573	215
1573.2	229
1573.4	224
1573.6	228
