# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YSAG (Tm:Y3Sc2Al3O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on  5 June 1993 and was 
# annotated on 12 June 1993.  The sample name was "" was a 10.5000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 440 to 500nm
# every 0.1nm at room temperature.
#
# FILE NAME ON IBM-PC = YSAG9.SP ON MAC= P12063.02 NO_POINTS = 601. pts DATA_INTV = .00010 nm MIN_LAMBDA = .440000 _m MIN_DATA = .33810 MAX_LAMBDA = .500000 _m MAX_DATA = .40060 SCANSPEED = 15.000000 nm/min SLITWIDTH= .20000 nmITA = 0. RESP = .500 sec ISMS = 0. DATE=93/05/06 INST = 509. ? = 0. 3:52:29 12-06-1993.
#
##Wavelength (nm)	Absorbance (/meter) 
440	268
440.1	48
440.2	280
440.3	41
440.4	345
440.5	119
440.6	298
440.7	218
440.8	243
440.9	148
441	154
441.1	164
441.2	189
441.3	229
441.4	1
441.5	145
441.6	319
441.7	180
441.8	167
441.9	91
442	304
442.1	170
442.2	365
442.3	67
442.4	198
442.5	30
442.6	151
442.7	148
442.8	72
442.9	246
443	199
443.1	152
443.2	129
443.3	256
443.4	233
443.5	94
443.6	52
443.7	67
443.8	82
443.9	112
444	85
444.1	240
444.2	183
444.3	131
444.4	36
444.5	332
444.6	163
444.7	150
444.8	161
444.9	89
445	110
445.1	227
445.2	194
445.3	84
445.4	104
445.5	207
445.6	135
445.7	219
445.8	123
445.9	250
446	140
446.1	121
446.2	195
446.3	211
446.4	154
446.5	126
446.6	132
446.7	215
446.8	226
446.9	101
447	150
447.1	210
447.2	172
447.3	163
447.4	174
447.5	127
447.6	191
447.7	158
447.8	86
447.9	180
448	161
448.1	157
448.2	81
448.3	252
448.4	83
448.5	113
448.6	143
448.7	242
448.8	53
448.9	151
449	289
449.1	261
449.2	169
449.3	175
449.4	318
449.5	280
449.6	115
449.7	184
449.8	122
449.9	221
450	124
450.1	189
450.2	249
450.3	215
450.4	216
450.5	188
450.6	263
450.7	132
450.8	270
450.9	188
451	267
451.1	352
451.2	235
451.3	350
451.4	178
451.5	106
451.6	122
451.7	93
451.8	256
451.9	243
452	155
452.1	147
452.2	143
452.3	198
452.4	125
452.5	230
452.6	226
452.7	153
452.8	184
452.9	199
453	275
453.1	375
453.2	297
453.3	268
453.4	274
453.5	280
453.6	371
453.7	307
453.8	303
453.9	136
454	108
454.1	203
454.2	140
454.3	304
454.4	221
454.5	227
454.6	258
454.7	284
454.8	230
454.9	271
455	242
455.1	258
455.2	284
455.3	275
455.4	212
455.5	292
455.6	289
455.7	290
455.8	296
455.9	382
456	303
456.1	374
456.2	300
456.3	286
456.4	283
456.5	304
456.6	410
456.7	286
456.8	387
456.9	258
457	205
457.1	375
457.2	402
457.3	403
457.4	384
457.5	460
457.6	472
457.7	574
457.8	667
457.9	914
458	936
458.1	1057
458.2	1268
458.3	1497
458.4	1584
458.5	1671
458.6	1738
458.7	1799
458.8	1964
458.9	1916
459	1727
459.1	1783
459.2	1888
459.3	1635
459.4	1712
459.5	1724
459.6	1618
459.7	1743
459.8	1974
459.9	2074
460	2187
460.1	2311
460.2	2402
460.3	2471
460.4	2327
460.5	2345
460.6	2258
460.7	2076
460.8	1946
460.9	1789
461	1525
461.1	1372
461.2	1203
461.3	1152
461.4	1033
461.5	805
461.6	729
461.7	642
