# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YSAG (Tm:Y3Sc2Al3O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on  5 June 1993 and was 
# annotated on 12 June 1993.  The sample name was "" was a 10.5000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 1050 to 1350nm
# every 0.2nm at room temperature.
#
# FILE NAME ON IBM-PC = YSAG12.SP ON MAC= P12063.05 NO_POINTS = 1501. pts DATA_INTV = .00020 nm MIN_LAMBDA = 1.050000 _m MIN_DATA = .56970 MAX_LAMBDA = 1.350000 _m MAX_DATA = .78560 SCANSPEED = 15.000000 nm/min SLITWIDTH= .20000 nmITA = 0. RESP = .500 sec ISMS = 0. DATE=93/05/06 INST = 509. ? = 0. 3:58:53 12-06-1993.
#
##Wavelength (nm)	Absorbance (/meter) 
1050	1
1050.2	1
1050.4	1
1050.6	1
1050.8	82
1051	51
1051.2	1
1051.4	1
1051.6	66
1051.8	1
1052	7
1052.2	1
1052.4	10
1052.6	31
1052.8	22
1053	23
1053.2	74
1053.4	144
1053.6	20
1053.8	1
1054	62
1054.2	22
1054.4	1
1054.6	15
1054.8	1
1055	1
1055.2	12
1055.4	95
1055.6	78
1055.8	55
1056	5
1056.2	55
1056.4	73
1056.6	124
1056.8	1
1057	5
1057.2	25
1057.4	38
1057.6	29
1057.8	36
1058	73
1058.2	15
1058.4	81
1058.6	86
1058.8	52
1059	84
1059.2	12
1059.4	24
1059.6	34
1059.8	77
1060	5
1060.2	93
1060.4	76
1060.6	67
1060.8	90
1061	133
1061.2	1
1061.4	92
1061.6	86
1061.8	82
1062	76
1062.2	15
1062.4	68
1062.6	75
1062.8	66
1063	81
1063.2	66
1063.4	22
1063.6	64
1063.8	85
1064	76
1064.2	1
1064.4	133
1064.6	75
1064.8	25
1065	57
1065.2	153
1065.4	44
1065.6	54
1065.8	71
1066	27
1066.2	137
