# Optical absorption spectrum of Program fragment delivered error ``Can't call method "sample_" on an undefined value at abs.template line 1.'':YSAG (Tm:Y3Sc2Al3O12)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by BMW on  5 July 1993 and was 
# annotated on 12 June 1993.  The sample name was "" was a 10.5000
# long piece of :.   
# The incident light had unknown polarization.
#
# Spectra were recorded from 1500 to 2200nm
# every 0.2nm at room temperature.
#
# FILE NAME ON IBM-PC = YSAG13.SP ON MAC= P12063.06 NO_POINTS = 3501. pts DATA_INTV = .00020 nm MIN_LAMBDA = 1.500000 _m MIN_DATA = .52970 MAX_LAMBDA = 2.200000 _m MAX_DATA = .81460 SCANSPEED = 15.000000 nm/min SLITWIDTH= .20000 nmITA = 0. RESP = .500 sec ISMS = 0. DATE=93/05/07 INST = 509. ? = 0. 0:00:05 12-07-1993.
#
##Wavelength (nm)	Absorbance (/meter) 
1500	374
1500.2	451
1500.4	485
1500.6	451
1500.8	519
1501	473
1501.2	466
1501.4	478
1501.6	430
1501.8	410
1502	418
1502.2	444
1502.4	382
1502.6	468
1502.8	345
1503	454
1503.2	483
1503.4	324
1503.6	514
1503.8	471
1504	517
1504.2	531
1504.4	553
1504.6	505
1504.8	410
1505	401
1505.2	447
1505.4	401
1505.6	346
1505.8	362
1506	377
1506.2	360
1506.4	420
1506.6	334
1506.8	401
1507	464
1507.2	454
1507.4	522
1507.6	495
1507.8	440
1508	544
1508.2	524
1508.4	507
1508.6	498
1508.8	413
1509	495
1509.2	442
1509.4	418
1509.6	476
1509.8	435
1510	346
1510.2	428
1510.4	493
1510.6	498
1510.8	546
1511	365
1511.2	522
1511.4	459
1511.6	411
1511.8	435
1512	454
1512.2	416
1512.4	490
1512.6	449
1512.8	418
1513	440
1513.2	454
1513.4	493
1513.6	457
1513.8	401
1514	500
1514.2	425
1514.4	392
1514.6	452
1514.8	430
1515	416
1515.2	454
1515.4	428
1515.6	481
1515.8	527
1516	459
1516.2	568
1516.4	537
1516.6	527
1516.8	627
1517	466
1517.2	508
1517.4	529
1517.6	447
1517.8	447
1518	491
1518.2	416
1518.4	440
1518.6	372
1518.8	363
1519	513
1519.2	447
1519.4	483
1519.6	520
1519.8	433
1520	471
1520.2	515
1520.4	525
1520.6	510
1520.8	433
1521	435
1521.2	438
1521.4	416
1521.6	442
1521.8	409
1522	426
1522.2	469
1522.4	435
1522.6	421
1522.8	496
1523	471
1523.2	452
1523.4	527
1523.6	542
1523.8	522
1524	505
1524.2	452
1524.4	525
1524.6	462
1524.8	459
1525	491
1525.2	351
1525.4	467
1525.6	493
1525.8	493
1526	481
1526.2	440
1526.4	349
1526.6	503
1526.8	552
1527	496
1527.2	493
1527.4	438
1527.6	431
1527.8	576
1528	486
1528.2	542
1528.4	525
1528.6	455
1528.8	554
1529	559
1529.2	474
1529.4	486
1529.6	414
1529.8	496
1530	554
1530.2	431
1530.4	491
1530.6	407
1530.8	445
1531	576
1531.2	532
1531.4	578
1531.6	583
1531.8	549
1532	477
1532.2	544
1532.4	552
1532.6	571
1532.8	574
1533	503
1533.2	562
1533.4	566
1533.6	421
1533.8	455
1534	530
1534.2	503
1534.4	557
1534.6	457
1534.8	465
1535	535
1535.2	528
1535.4	564
1535.6	569
1535.8	537
1536	581
1536.2	484
1536.4	482
1536.6	559
1536.8	436
1537	501
1537.2	477
1537.4	477
1537.6	525
1537.8	516
1538	494
1538.2	465
1538.4	484
1538.6	489
1538.8	506
1539	496
1539.2	542
1539.4	487
1539.6	547
1539.8	545
1540	537
1540.2	537
1540.4	635
1540.6	586
1540.8	569
1541	572
1541.2	596
1541.4	603
1541.6	559
1541.8	557
1542	572
1542.2	545
1542.4	533
1542.6	564
1542.8	523
1543	460
1543.2	504
1543.4	487
1543.6	574
1543.8	518
1544	542
1544.2	645
1544.4	652
1544.6	654
1544.8	637
1545	596
1545.2	562
1545.4	506
1545.6	550
1545.8	528
1546	511
1546.2	530
1546.4	496
1546.6	477
1546.8	446
1547	518
1547.2	492
1547.4	611
1547.6	601
1547.8	655
1548	616
1548.2	628
1548.4	543
1548.6	601
1548.8	650
1549	574
1549.2	582
1549.4	540
1549.6	560
1549.8	574
1550	565
1550.2	635
1550.4	533
1550.6	603
1550.8	560
1551	552
1551.2	584
1551.4	557
1551.6	526
1551.8	523
1552	613
1552.2	521
1552.4	565
1552.6	591
1552.8	548
1553	640
1553.2	587
1553.4	647
1553.6	577
1553.8	569
1554	709
1554.2	599
1554.4	577
1554.6	502
1554.8	589
1555	528
1555.2	562
1555.4	516
1555.6	506
1555.8	487
1556	480
1556.2	557
1556.4	621
1556.6	645
1556.8	662
1557	574
1557.2	626
1557.4	677
1557.6	687
1557.8	609
1558	623
1558.2	672
1558.4	577
1558.6	606
1558.8	570
1559	633
1559.2	526
1559.4	599
1559.6	631
1559.8	618
1560	643
1560.2	582
1560.4	582
1560.6	633
1560.8	645
1561	675
1561.2	626
1561.4	567
1561.6	633
1561.8	550
1562	565
1562.2	584
1562.4	504
1562.6	521
1562.8	587
1563	558
1563.2	638
1563.4	553
1563.6	584
1563.8	648
1564	592
1564.2	638
1564.4	638
1564.6	594
1564.8	580
1565	670
1565.2	638
1565.4	706
1565.6	655
1565.8	636
1566	680
1566.2	704
1566.4	636
1566.6	611
1566.8	616
1567	589
1567.2	614
1567.4	597
1567.6	531
1567.8	504
1568	517
1568.2	585
1568.4	568
1568.6	711
1568.8	606
1569	568
1569.2	611
1569.4	685
1569.6	607
1569.8	636
1570	672
1570.2	570
1570.4	597
1570.6	592
1570.8	585
1571	590
1571.2	524
1571.4	575
1571.6	570
1571.8	590
1572	609
1572.2	631
1572.4	582
1572.6	697
1572.8	665
1573	707
1573.2	746
1573.4	685
1573.6	717
1573.8	648
1574	714
1574.2	741
1574.4	590
1574.6	551
1574.8	660
1575	660
1575.2	663
1575.4	648
1575.6	631
1575.8	633
1576	631
1576.2	587
1576.4	675
1576.6	629
1576.8	616
1577	582
1577.2	597
1577.4	653
1577.6	685
1577.8	570
1578	673
1578.2	690
1578.4	673
1578.6	744
1578.8	638
1579	636
1579.2	668
1579.4	587
1579.6	670
1579.8	600
1580	629
1580.2	612
1580.4	534
1580.6	626
1580.8	643
1581	578
1581.2	636
1581.4	705
1581.6	709
1581.8	731
1582	751
1582.2	687
1582.4	731
1582.6	749
1582.8	744
1583	729
1583.2	614
1583.4	651
1583.6	709
1583.8	663
1584	661
1584.2	690
1584.4	636
1584.6	719
1584.8	724
1585	666
1585.2	783
1585.4	651
1585.6	805
1585.8	776
1586	763
1586.2	756
1586.4	734
1586.6	697
1586.8	734
1587	710
1587.2	656
1587.4	697
1587.6	585
1587.8	634
1588	727
1588.2	673
1588.4	663
1588.6	768
1588.8	675
1589	710
1589.2	693
1589.4	729
1589.6	855
1589.8	719
1590	766
1590.2	803
1590.4	803
1590.6	874
1590.8	855
1591	722
1591.2	872
1591.4	860
1591.6	833
1591.8	897
1592	793
1592.2	830
1592.4	810
1592.6	712
1592.8	828
1593	801
1593.2	724
1593.4	820
1593.6	830
1593.8	882
1594	934
1594.2	840
1594.4	877
1594.6	889
1594.8	838
1595	917
1595.2	835
1595.4	779
1595.6	951
1595.8	899
1596	894
1596.2	909
1596.4	823
1596.6	862
1596.8	875
1597	815
1597.2	867
1597.4	1003
1597.6	917
1597.8	1016
1598	919
1598.2	1021
1598.4	1048
1598.6	969
1598.8	946
1599	961
1599.2	996
1599.4	984
1599.6	979
1599.8	944
1600	946
1600.2	954
1600.4	971
1600.6	1009
1600.8	942
1601	971
1601.2	1143
1601.4	1014
1601.6	1036
1601.8	1111
1602	1053
1602.2	1083
1602.4	1093
1602.6	1106
1602.8	1183
1603	1066
1603.2	1088
1603.4	1086
1603.6	1073
1603.8	1204
1604	1178
1604.2	1184
1604.4	1178
1604.6	1201
1604.8	1251
1605	1221
1605.2	1244
1605.4	1309
1605.6	1408
1605.8	1418
1606	1421
1606.2	1421
1606.4	1477
1606.6	1569
1606.8	1577
1607	1592
1607.2	1703
1607.4	1682
1607.6	1728
1607.8	1765
1608	1734
1608.2	1840
1608.4	1892
1608.6	1788
1608.8	1936
1609	2059
1609.2	2004
1609.4	2215
1609.6	2252
1609.8	2340
1610	2557
1610.2	2498
1610.4	2622
1610.6	2763
1610.8	2722
1611	2837
1611.2	2900
1611.4	2985
1611.6	3079
1611.8	3082
1612	3193
1612.2	3345
1612.4	3381
1612.6	3571
1612.8	3714
1613	3774
1613.2	3968
1613.4	4154
1613.6	4260
1613.8	4465
1614	4450
1614.2	4663
1614.4	4817
1614.6	4917
1614.8	5154
1615	5219
1615.2	5191
1615.4	5403
1615.6	5547
1615.8	5649
1616	5808
1616.2	5914
1616.4	6105
1616.6	6265
1616.8	6320
1617	6499
1617.2	6565
1617.4	6642
1617.6	6864
1617.8	6877
1618	6986
1618.2	7232
1618.4	7277
1618.6	7257
1618.8	7451
1619	7392
1619.2	7605
1619.4	7640
1619.6	7725
1619.8	7760
1620	7860
1620.2	7860
1620.4	7881
1620.6	7789
1620.8	7878
1621	7924
1621.2	7863
1621.4	8017
1621.6	7999
1621.8	7960
1622	8035
1622.2	7924
1622.4	7964
1622.6	7964
1622.8	7846
1623	7828
1623.2	7760
1623.4	7714
1623.6	7803
1623.8	7542
1624	7472
1624.2	7514
1624.4	7375
1624.6	7215
1624.8	7219
1625	7150
1625.2	7171
1625.4	7085
1625.6	7027
1625.8	6911
1626	6935
1626.2	6589
1626.4	6679
1626.6	6592
1626.8	6525
1627	6419
1627.2	6278
1627.4	6111
1627.6	6115
1627.8	5889
1628	5869
1628.2	5741
1628.4	5589
1628.6	5538
1628.8	5482
1629	5397
1629.2	5353
1629.4	5288
1629.6	5102
1629.8	5108
1630	4948
1630.2	4903
1630.4	4793
1630.6	4588
1630.8	4588
1631	4409
1631.2	4290
1631.4	4211
1631.6	4032
1631.8	3985
1632	3927
1632.2	3838
1632.4	3777
1632.6	3714
1632.8	3517
1633	3515
1633.2	3489
1633.4	3407
1633.6	3328
1633.8	3149
1634	3061
1634.2	2989
1634.4	2925
1634.6	2846
1634.8	2794
1635	2718
1635.2	2652
1635.4	2547
1635.6	2571
1635.8	2563
1636	2429
1636.2	2247
1636.4	2375
1636.6	2229
1636.8	2282
1637	2197
1637.2	2092
1637.4	2139
1637.6	2023
1637.8	2008
1638	1971
1638.2	1900
1638.4	1885
1638.6	1942
1638.8	1841
1639	1856
1639.2	1820
1639.4	1714
1639.6	1719
1639.8	1688
1640	1675
1640.2	1655
1640.4	1624
1640.6	1503
1640.8	1567
1641	1552
1641.2	1590
1641.4	1598
1641.6	1529
1641.8	1629
1642	1655
1642.2	1560
1642.4	1583
1642.6	1567
1642.8	1455
1643	1567
1643.2	1430
1643.4	1369
1643.6	1354
1643.8	1290
1644	1364
1644.2	1371
1644.4	1351
1644.6	1473
1644.8	1422
1645	1437
1645.2	1427
1645.4	1437
1645.6	1425
1645.8	1453
1646	1356
1646.2	1481
1646.4	1501
1646.6	1374
1646.8	1460
1647	1354
1647.2	1397
1647.4	1387
1647.6	1384
1647.8	1387
1648	1478
1648.2	1417
1648.4	1539
1648.6	1532
1648.8	1440
1649	1483
1649.2	1427
1649.4	1397
1649.6	1511
1649.8	1392
1650	1437
1650.2	1387
1650.4	1336
1650.6	1387
1650.8	1369
1651	1371
1651.2	1397
1651.4	1301
1651.6	1328
1651.8	1445
1652	1366
1652.2	1407
1652.4	1364
1652.6	1354
1652.8	1415
1653	1435
1653.2	1377
1653.4	1455
1653.6	1432
1653.8	1476
1654	1466
1654.2	1488
1654.4	1443
1654.6	1458
1654.8	1372
1655	1372
1655.2	1359
1655.4	1260
1655.6	1387
1655.8	1265
1656	1233
1656.2	1306
1656.4	1263
1656.6	1349
1656.8	1311
1657	1205
1657.2	1273
1657.4	1334
1657.6	1311
1657.8	1334
1658	1253
1658.2	1319
1658.4	1276
1658.6	1286
1658.8	1195
1659	1200
1659.2	1165
1659.4	1100
1659.6	1195
1659.8	1142
1660	1208
1660.2	1102
1660.4	1193
1660.6	1245
1660.8	1233
1661	1258
1661.2	1296
1661.4	1228
1661.6	1288
1661.8	1223
1662	1298
1662.2	1213
1662.4	1225
1662.6	1153
1662.8	1168
1663	1168
1663.2	1105
1663.4	1120
1663.6	1083
1663.8	1208
1664	1165
1664.2	1208
1664.4	1246
1664.6	1223
1664.8	1225
1665	1276
1665.2	1205
1665.4	1276
1665.6	1238
1665.8	1198
1666	1258
1666.2	1178
1666.4	1203
1666.6	1193
1666.8	1178
1667	1304
1667.2	1316
1667.4	1266
1667.6	1309
1667.8	1306
1668	1344
1668.2	1336
1668.4	1390
1668.6	1390
1668.8	1339
1669	1362
1669.2	1407
1669.4	1392
1669.6	1502
1669.8	1563
1670	1499
1670.2	1469
1670.4	1261
1670.6	1540
1670.8	1456
1671	1568
1671.2	1607
1671.4	1555
1671.6	1617
1671.8	1702
1672	1668
1672.2	1707
1672.4	1784
1672.6	1792
1672.8	1797
1673	1860
1673.2	1818
1673.4	1951
1673.6	1881
1673.8	1933
1674	1925
1674.2	1938
1674.4	1943
1674.6	1933
1674.8	2019
1675	2037
1675.2	1948
1675.4	2082
1675.6	2103
1675.8	2177
1676	2111
1676.2	2185
1676.4	2265
1676.6	2315
1676.8	2339
1677	2352
1677.2	2350
1677.4	2403
1677.6	2395
1677.8	2457
1678	2457
1678.2	2516
1678.4	2559
1678.6	2556
1678.8	2583
1679	2697
1679.2	2697
1679.4	2724
1679.6	2820
1679.8	2891
1680	2943
1680.2	2962
1680.4	3009
1680.6	2993
1680.8	3020
1681	3020
1681.2	3145
1681.4	3123
1681.6	3112
1681.8	3131
1682	3179
1682.2	3276
1682.4	3254
1682.6	3366
1682.8	3423
1683	3468
1683.2	3507
1683.4	3587
1683.6	3661
1683.8	3701
1684	3673
1684.2	3744
1684.4	3857
1684.6	3808
1684.8	3848
1685	3981
1685.2	3793
1685.4	3903
1685.6	4007
1685.8	3961
1686	3999
1686.2	4013
1686.4	4095
1686.6	4077
1686.8	4104
1687	4121
1687.2	4019
1687.4	4074
1687.6	4124
1687.8	4063
1688	4104
1688.2	4086
1688.4	4060
1688.6	4151
1688.8	4089
1689	4148
1689.2	4118
1689.4	4110
1689.6	4039
1689.8	4042
1690	4025
1690.2	4074
1690.4	4101
1690.6	3952
1690.8	4028
1691	4080
1691.2	3999
1691.4	4107
1691.6	4031
1691.8	4063
1692	4069
1692.2	4066
1692.4	3981
1692.6	4005
1692.8	3996
1693	3984
1693.2	3935
1693.4	3920
1693.6	3871
1693.8	3747
1694	3819
1694.2	3839
1694.4	3793
1694.6	3877
1694.8	3776
1695	3722
1695.2	3799
1695.4	3793
1695.6	3839
1695.8	3819
1696	3739
1696.2	3759
1696.4	3773
1696.6	3676
1696.8	3633
1697	3659
1697.2	3587
1697.4	3602
1697.6	3519
1697.8	3567
1698	3616
1698.2	3573
1698.4	3613
1698.6	3630
1698.8	3647
1699	3659
1699.2	3599
1699.4	3491
1699.6	3587
1699.8	3573
1700	3585
1700.2	3559
1700.4	3381
1700.6	3375
1700.8	3381
1701	3347
1701.2	3341
1701.4	3182
1701.6	3316
1701.8	3302
1702	3274
1702.2	3327
1702.4	3339
1702.6	3218
1702.8	3274
1703	3260
1703.2	3271
1703.4	3257
1703.6	3135
1703.8	3135
1704	3013
1704.2	3121
1704.4	3057
1704.6	3076
1704.8	3057
1705	3024
1705.2	3027
1705.4	3002
1705.6	2985
1705.8	2971
1706	2977
1706.2	3029
1706.4	2922
1706.6	2900
1706.8	2936
1707	2894
1707.2	2769
1707.4	2870
1707.6	2831
1707.8	2749
1708	2692
1708.2	2660
1708.4	2649
1708.6	2652
1708.8	2622
1709	2698
1709.2	2581
1709.4	2592
1709.6	2579
1709.8	2514
1710	2533
1710.2	2482
1710.4	2452
1710.6	2447
1710.8	2404
1711	2441
1711.2	2372
1711.4	2420
1711.6	2436
1711.8	2396
1712	2319
1712.2	2353
1712.4	2212
1712.6	2220
1712.8	2191
1713	2144
1713.2	2186
1713.4	2146
1713.6	2086
1713.8	2094
1714	2141
1714.2	2078
1714.4	2120
1714.6	2054
1714.8	2028
1715	2033
1715.2	2031
1715.4	1991
1715.6	2046
1715.8	1840
1716	1929
1716.2	1952
1716.4	1773
1716.6	1812
1716.8	1804
1717	1793
1717.2	1749
1717.4	1760
1717.6	1724
1717.8	1786
1718	1700
1718.2	1768
1718.4	1757
1718.6	1729
1718.8	1703
1719	1600
1719.2	1585
1719.4	1623
1719.6	1562
1719.8	1582
1720	1569
1720.2	1411
1720.4	1465
1720.6	1477
1720.8	1549
1721	1508
1721.2	1523
1721.4	1521
1721.6	1577
1721.8	1580
1722	1534
1722.2	1500
1722.4	1411
1722.6	1409
1722.8	1427
1723	1343
1723.2	1361
1723.4	1429
1723.6	1366
1723.8	1442
1724	1391
1724.2	1424
1724.4	1424
1724.6	1399
1724.8	1414
1725	1444
1725.2	1490
1725.4	1422
1725.6	1401
1725.8	1330
1726	1409
1726.2	1437
1726.4	1348
1726.6	1232
1726.8	1194
1727	1257
1727.2	1358
1727.4	1315
1727.6	1320
1727.8	1323
1728	1338
1728.2	1376
1728.4	1328
1728.6	1439
